,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2020-07-02,98000,127000,98000,127000,698642,88287720000,29.59,1073649000.0,-990838000.0,47909542000.0,-47992353000.0,0.0,698642.0,0.0,A326030
1,2020-07-03,165000,165000,165000,165000,711921,117466927000,29.92,1809720000.0,-1087020000.0,50515575000.0,-51238275000.0,0.0,711921.0,0.0,A326030
2,2020-07-06,214500,214500,193500,214500,7126211,1507033653000,30.0,81524039500.0,-13555645000.0,243114608000.0,-311083002500.0,100.0,7126211.0,0.0,A326030
3,2020-07-07,219000,269500,210000,216500,10105187,2356941130500,0.93,20926740000.0,-3329956500.0,198828182000.0,-216424965500.0,592.0,10105187.0,0.01,A326030
4,2020-07-08,214500,225000,198000,217000,5990009,1254046291500,0.23,59133747500.0,-1961072500.0,40368861000.0,-97541536000.0,174.0,5990009.0,0.0,A326030
5,2020-07-09,213500,220000,205500,205500,1897646,401794892000,-5.3,2618929500.0,4776496000.0,8109454000.0,-15504879500.0,64.0,1897646.0,0.0,A326030
6,2020-07-10,200500,213500,198500,205500,1825361,378293662500,0.0,5545658500.0,970439500.0,-6566639000.0,50541000.0,0.0,1825361.0,0.0,A326030
7,2020-07-13,206000,207500,199000,199000,1072716,216459608000,-3.16,1141125500.0,-341529500.0,3536746500.0,-4336342500.0,2.0,1072716.0,0.0,A326030
8,2020-07-14,199500,201500,188000,188500,1389588,266963098500,-5.28,3689883000.0,-275479500.0,8074195000.0,-11488598500.0,16.0,1389588.0,0.0,A326030
9,2020-07-15,190000,191000,174000,177000,1859251,333112048000,-6.1,2435581500.0,2658397000.0,22487319500.0,-27581298000.0,30.0,1859251.0,0.0,A326030
10,2020-07-16,179000,197500,179000,183500,3290169,622600862500,3.67,694411500.0,-3419473000.0,32563541000.0,-29838479500.0,148.0,3290169.0,0.0,A326030
11,2020-07-17,185000,193000,183500,191000,1109080,209408850500,4.09,8375949500.0,-358673000.0,-3858520500.0,-4158756000.0,29.0,1109080.0,0.0,A326030
12,2020-07-20,193500,195000,185000,187000,657860,124101475500,-2.09,1881017000.0,15292000.0,4937711000.0,-6834020000.0,25.0,657860.0,0.0,A326030
13,2020-07-21,186500,189000,184500,185500,564184,105892717500,-0.8,-2075005500.0,132668500.0,10051733500.0,-8109396500.0,70.0,564184.0,0.01,A326030
14,2020-07-22,192000,205000,188000,188000,2269779,443867133000,1.35,-1773399000.0,79228000.0,1007997500.0,686173500.0,27.0,2269779.0,0.0,A326030
15,2020-07-23,189000,190500,183000,186500,572644,106172204000,-0.8,1090722500.0,205769500.0,-4696667500.0,3400175500.0,58.0,572644.0,0.01,A326030
16,2020-07-24,184500,194500,183000,189000,806058,151646125500,1.34,2246935500.0,166886500.0,-11196562000.0,8782740000.0,21.0,806058.0,0.0,A326030
17,2020-07-27,192500,199500,190500,191500,913434,177633253500,1.32,3369869000.0,823270500.0,-2717071000.0,-1476068500.0,107.0,913434.0,0.01,A326030
18,2020-07-28,193000,193500,188000,190000,351351,66917044500,-0.78,4442799000.0,-473508000.0,-1525041000.0,-2444250000.0,31.0,351351.0,0.01,A326030
19,2020-07-29,190500,190500,185500,186500,281090,52532239000,-1.84,-468718500.0,59858500.0,1422507500.0,-1013647500.0,0.0,281090.0,0.0,A326030
20,2020-07-30,187000,189000,183500,185000,318789,58954088000,-0.8,-2426341500.0,-85989000.0,5505641000.0,-2993310500.0,0.0,318789.0,0.0,A326030
21,2020-07-31,184000,184500,182000,182000,222520,40608969000,-1.62,-1124483500.0,-578100500.0,2811696000.0,-1109112000.0,112.0,222520.0,0.05,A326030
22,2020-08-03,174000,178000,170000,175000,748436,130112451000,-3.85,-21885557000.0,3190732000.0,21214043000.0,-2519218000.0,4.0,748436.0,0.0,A326030
23,2020-08-04,176500,179000,175000,175500,334937,58999350500,0.29,227182000.0,234349000.0,7225608500.0,-7687139500.0,43.0,334937.0,0.01,A326030
24,2020-08-05,177500,183000,175500,179500,508410,91276966500,2.28,4875001500.0,2452852500.0,9552509000.0,-16880363000.0,171.0,508410.0,0.03,A326030
25,2020-08-06,182500,182500,178500,179500,257948,46354941000,0.0,-476928500.0,-241773000.0,-3490013000.0,4208714500.0,107.0,257948.0,0.04,A326030
26,2020-08-07,180000,181000,178000,179000,231477,41392078000,-0.28,1779213000.0,-70840500.0,-2518615500.0,810243000.0,120.0,231477.0,0.05,A326030
27,2020-08-10,185500,196000,184500,192500,1791403,341462175000,7.54,12340960000.0,332039000.0,-12925110500.0,252111500.0,244.0,1791403.0,0.01,A326030
28,2020-08-11,196000,196500,190000,191500,547133,105552495000,-0.52,290787500.0,530342500.0,-3106603000.0,2285473000.0,72.0,547133.0,0.01,A326030
