,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-11-29,82000,85000,73900,76000,8764092,679594959200,-7.32,-15062767600.0,-3575564100.0,51981697100.0,-33343365400.0,31811.0,8764092.0,0.36,A402340
1,2021-11-30,77900,80500,68000,68000,6863151,505360814700,-10.53,-55422611900.0,-3526102000.0,87279459500.0,-28330745600.0,451780.0,6863151.0,6.58,A402340
2,2021-12-01,68400,69400,61900,62700,4481654,287169196300,-7.79,-17299573100.0,1080560100.0,64212023900.0,-47993010900.0,303352.0,4481654.0,6.77,A402340
3,2021-12-02,61900,72100,61500,68700,7312303,495532935300,9.57,-8536994100.0,-352252400.0,-1458405000.0,10347651500.0,78959.0,7312303.0,1.08,A402340
4,2021-12-03,67400,70200,65500,66000,3301896,220987108600,-3.93,-27227059500.0,1513433100.0,51421408800.0,-25707782400.0,125536.0,3301896.0,3.8,A402340
5,2021-12-06,64000,69300,63700,66000,11832989,770954138400,0.0,40534294900.0,3934498100.0,36169361600.0,-80638154600.0,56934.0,11832989.0,0.48,A402340
6,2021-12-07,66800,68200,65500,65600,2244270,149026490700,-0.61,85050400.0,2904333200.0,39877338300.0,-42866721900.0,25425.0,2244270.0,1.13,A402340
7,2021-12-08,66700,67800,64600,64600,2294736,151431734800,-1.52,-528538600.0,508061700.0,21743291600.0,-21722814700.0,19143.0,2294736.0,0.83,A402340
8,2021-12-09,64500,65100,62800,65100,3184427,203522291700,0.77,28551763800.0,192123100.0,19648872000.0,-48392758900.0,27495.0,3184427.0,0.86,A402340
9,2021-12-10,64100,64900,63200,63300,1443615,91869679900,-2.76,-8376600300.0,184047400.0,25349714800.0,-17157161900.0,18340.0,1443615.0,1.27,A402340
10,2021-12-13,63300,64400,63000,63000,1178159,74768627200,-0.47,-1598103100.0,209341800.0,12674122200.0,-11285360900.0,4416.0,1178159.0,0.37,A402340
11,2021-12-14,62600,62800,60600,60600,1917405,117337366900,-3.81,-8893397700.0,-567483000.0,31981339300.0,-22520458600.0,19443.0,1917405.0,1.01,A402340
12,2021-12-15,59500,60900,58000,58200,2260768,133526283200,-3.96,-10439440700.0,-209896400.0,40418574200.0,-29769237100.0,52077.0,2260768.0,2.3,A402340
13,2021-12-16,59000,59400,56100,56400,2564560,146944972500,-3.09,-3479531000.0,1168537300.0,41107718400.0,-38796724700.0,50903.0,2564560.0,1.98,A402340
14,2021-12-17,55800,59300,54700,57000,3344436,191853299400,1.06,-223091800.0,609011800.0,22903793100.0,-23289713100.0,27114.0,3344436.0,0.81,A402340
15,2021-12-20,56600,60100,55900,58400,2704260,158734327800,2.46,13059897200.0,1273609900.0,4098750200.0,-18432257300.0,10453.0,2704260.0,0.39,A402340
16,2021-12-21,58800,61600,58200,60900,2579600,155057479600,4.28,22809529200.0,303940300.0,-1521441300.0,-21592028200.0,4815.0,2579600.0,0.19,A402340
17,2021-12-22,61700,65900,61200,65700,4156492,265354586800,7.88,34522743300.0,3449149800.0,-49553747200.0,11581854100.0,27374.0,4156492.0,0.66,A402340
18,2021-12-23,65400,65700,63700,64900,2251218,145975126100,-1.22,11456826000.0,-428756200.0,-4639344800.0,-6388725000.0,23474.0,2251218.0,1.04,A402340
19,2021-12-24,65100,67200,65100,65800,1920024,127307081800,1.39,2649297000.0,633847300.0,-13781091600.0,10497947300.0,4807.0,1920024.0,0.25,A402340
20,2021-12-27,66300,66600,64000,65200,1205094,78367381900,-0.91,7075241300.0,-445917400.0,-6858214800.0,228890900.0,14068.0,1205094.0,1.17,A402340
21,2021-12-28,65400,65400,63900,64800,1100056,70802463200,-0.61,4339791900.0,-1321196400.0,-13654784200.0,10636188700.0,800.0,1100056.0,0.07,A402340
22,2021-12-29,65300,65800,64500,64500,986784,64049639400,-0.46,-7495504000.0,519070200.0,5632547200.0,1343886600.0,15892.0,986784.0,1.61,A402340
23,2021-12-30,64800,68500,64800,66400,2543077,170441521200,2.95,-6434666500.0,-98506300.0,-6096416000.0,12629588800.0,29040.0,2543077.0,1.14,A402340
24,2022-01-03,66900,67300,65200,66500,1123222,74487746100,0.15,26149200.0,-266320700.0,-1363854100.0,1604025600.0,40592.0,1123222.0,3.61,A402340
25,2022-01-04,66800,70300,65900,70000,3183183,217897361900,5.26,24679482400.0,-2440793500.0,-42356414600.0,20117725700.0,51881.0,3183183.0,1.63,A402340
26,2022-01-05,69700,70500,67400,67600,2733991,187755614500,-3.43,531981100.0,-3454968600.0,16376710600.0,-13453723100.0,131659.0,2733991.0,4.82,A402340
27,2022-01-06,65900,66300,61300,61700,3617004,229698159000,-8.73,-28488973400.0,1133413500.0,39193252800.0,-11837692900.0,104736.0,3617004.0,2.9,A402340
28,2022-01-07,62600,62600,59700,61000,2312174,141610422700,-1.13,-2602021000.0,-4618971500.0,26997120000.0,-19776127500.0,81112.0,2312174.0,3.51,A402340
29,2022-01-10,60400,60800,57400,57500,2262799,132499043700,-5.74,-14325352400.0,1985355300.0,38167724400.0,-25827727300.0,41949.0,2262799.0,1.85,A402340
30,2022-01-11,58000,59500,56700,57200,1645760,95213980400,-0.52,1470180500.0,701896100.0,18046029500.0,-20218106100.0,52785.0,1645760.0,3.21,A402340
31,2022-01-12,57800,60900,57800,59400,2164247,129011200200,3.85,6129910600.0,-181427400.0,3728250200.0,-9676733400.0,305610.0,2164247.0,14.12,A402340
32,2022-01-13,59500,59700,57800,58000,1094076,63699031000,-2.36,-2483285500.0,243909300.0,15260790400.0,-13021414200.0,51961.0,1094076.0,4.75,A402340
33,2022-01-14,57000,59800,57000,59000,1422881,83031968300,1.72,-3262142000.0,450288400.0,-1580330400.0,4392184000.0,38673.0,1422881.0,2.72,A402340
34,2022-01-17,58700,59700,58200,59300,915485,53963230600,0.51,-2057000900.0,44438500.0,-1348347100.0,3360909500.0,58396.0,915485.0,6.38,A402340
35,2022-01-18,59900,63900,59800,62900,2986345,186641911600,6.07,5001656300.0,-2373525000.0,-37648065400.0,35019934100.0,90188.0,2986345.0,3.02,A402340
36,2022-01-19,62200,63700,61000,62300,1539452,96005305200,-0.95,2006500600.0,54338600.0,858432300.0,-2919271500.0,79377.0,1539452.0,5.16,A402340
37,2022-01-20,62600,63500,61500,62500,1170461,72925264500,0.32,698872700.0,-29664000.0,5595436600.0,-6264645300.0,49765.0,1170461.0,4.25,A402340
38,2022-01-21,61800,62800,59900,60800,1728551,105610795700,-2.72,403865400.0,-337433700.0,3256247200.0,-3322678900.0,63232.0,1728551.0,3.66,A402340
39,2022-01-24,60100,60700,59100,59200,1084225,64564165100,-2.63,1089804700.0,202769700.0,-7018994800.0,5726420400.0,32580.0,1084225.0,3.0,A402340
40,2022-01-25,59500,59700,56600,56700,1874355,107706967800,-4.22,-170959000.0,893175900.0,9685337400.0,-10407554300.0,69648.0,1874355.0,3.72,A402340
41,2022-01-26,57300,58500,56700,57200,1164928,67054922000,0.88,1692368900.0,266446200.0,-1948104500.0,-10710600.0,43573.0,1164928.0,3.74,A402340
42,2022-01-27,57400,57700,54800,54800,1770666,98303810700,-4.2,-6973968200.0,991032300.0,14054381300.0,-8071445400.0,47806.0,1770666.0,2.7,A402340
43,2022-01-28,55100,55300,51500,55000,2728488,146821086800,0.36,1342615500.0,1473313700.0,14210821100.0,-17026750300.0,40511.0,2728488.0,1.48,A402340
44,2022-02-03,56100,57000,55600,56200,1411048,79279907800,2.18,-912042300.0,102576000.0,708822200.0,100644100.0,9296.0,1411048.0,0.66,A402340
45,2022-02-04,55600,57800,55300,56900,1314467,74832184400,1.25,4291282600.0,57552800.0,1537849700.0,-5886685100.0,12439.0,1314467.0,0.95,A402340
46,2022-02-07,57200,59000,55500,58200,1446356,82410354200,2.28,-4284580000.0,16475000.0,2139890600.0,2128214400.0,53619.0,1446356.0,3.71,A402340
47,2022-02-08,58500,59700,57400,58600,1209806,71028602500,0.69,3964952000.0,-208842500.0,-9682997000.0,5926887500.0,31521.0,1209806.0,2.61,A402340
48,2022-02-09,59300,60300,58600,59800,1110182,66048255900,2.05,1476912100.0,213024300.0,-14548229000.0,12858292600.0,12702.0,1110182.0,1.14,A402340
49,2022-02-10,60400,60600,57100,57100,1864904,109019971200,-4.52,-9447080800.0,-796956000.0,6270094100.0,3973942700.0,48299.0,1864904.0,2.59,A402340
50,2022-02-11,56300,57800,56000,56800,832830,47543372600,-0.53,-3327912400.0,-242088800.0,-2179095700.0,5749096900.0,23409.0,832830.0,2.81,A402340
