,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-05-11,210000,222500,154000,154500,11320278,1925746879500,-26.43,14623428000.0,-6608572500.0,352514782500.0,-360529638000.0,1668.0,11320278.0,0.01,A361610
1,2021-05-12,152000,160000,141000,147500,4973674,748717034750,-4.53,5120629000.0,-672981500.0,77123338000.0,-81570985500.0,1315.0,4973674.0,0.03,A361610
2,2021-05-13,145500,149500,142500,144000,1853703,270875439000,-2.37,5176538000.0,412873500.0,-2771476500.0,-2817935000.0,494.0,1853703.0,0.03,A361610
3,2021-05-14,146500,148000,140000,141000,1510892,216996886500,-2.08,164992000.0,-1596743000.0,22502192500.0,-21070441500.0,20.0,1510892.0,0.0,A361610
4,2021-05-17,142500,143000,138000,138000,931047,130224343500,-2.13,1580033500.0,-203001000.0,4208807000.0,-5585839500.0,316.0,931047.0,0.03,A361610
5,2021-05-18,139000,146500,138500,144000,1474901,211766800500,4.35,2920628500.0,-763492500.0,-16525595500.0,14368459500.0,0.0,1474901.0,0.0,A361610
6,2021-05-20,145000,146500,141000,142000,585820,83788125500,-1.39,1204038500.0,387900500.0,3172016500.0,-4763955500.0,65.0,585820.0,0.01,A361610
7,2021-05-21,144000,145000,142000,143500,468288,67021848500,1.06,7399917000.0,-2081499000.0,-3132987500.0,-2185430500.0,0.0,468288.0,0.0,A361610
8,2021-05-24,144500,145000,141000,142500,368061,52565962000,-0.7,5105098000.0,47817000.0,-7444884500.0,2291969500.0,0.0,368061.0,0.0,A361610
9,2021-05-25,143500,144000,141000,142000,300026,42608730500,-0.35,2637836000.0,-280841000.0,-2254671000.0,-102324000.0,0.0,300026.0,0.0,A361610
10,2021-05-26,141000,142000,140500,141500,298091,42107460000,-0.35,3416941000.0,115191500.0,1378861500.0,-4910994000.0,0.0,298091.0,0.0,A361610
11,2021-05-27,141500,144500,141500,142000,298994,42581056000,0.35,1287591000.0,259304500.0,-1668911500.0,122016000.0,20.0,298994.0,0.01,A361610
12,2021-05-28,143000,146500,142000,145000,716415,103764251500,2.11,12390500000.0,139757000.0,-14410468000.0,1880211000.0,46.0,716415.0,0.01,A361610
13,2021-05-31,145500,149000,145500,149000,628140,93019431000,2.76,5265333500.0,1671557000.0,-22308075000.0,15371184500.0,9.0,628140.0,0.0,A361610
14,2021-06-01,149500,151000,147500,150000,497546,74371998500,0.67,786091500.0,132214000.0,-17447877500.0,16529572000.0,123.0,497546.0,0.02,A361610
15,2021-06-02,151000,151000,147000,149500,397954,59258054500,-0.33,3433430500.0,129918500.0,-14836256000.0,11272907000.0,120.0,397954.0,0.03,A361610
16,2021-06-03,149500,150500,148000,149500,294278,43918109000,0.0,4391672000.0,-150861000.0,-7350045000.0,3109234000.0,22.0,294278.0,0.01,A361610
17,2021-06-04,149000,149500,147000,147500,276515,40871363500,-1.34,7411401000.0,379600500.0,-1545987500.0,-6245014000.0,100.0,276515.0,0.04,A361610
18,2021-06-07,148000,148500,143000,143000,469107,67597311500,-3.05,-149944500.0,168334000.0,12149333500.0,-12167723000.0,0.0,469107.0,0.0,A361610
19,2021-06-08,142000,144000,141500,143000,243816,34750708500,0.0,767320500.0,-65745000.0,-436678000.0,-264897500.0,0.0,243816.0,0.0,A361610
20,2021-06-09,143000,143500,142000,142000,223769,31883329500,-0.7,5466541500.0,56208500.0,-3698775000.0,-1823975000.0,1706.0,223769.0,0.76,A361610
21,2021-06-10,142000,144500,141500,142500,493039,70364555500,0.35,19477959000.0,-388833000.0,-7146170000.0,-11942956000.0,5100.0,493039.0,1.03,A361610
22,2021-06-11,141500,157500,139500,157500,1458033,213564689000,10.53,71327924000.0,-3133457500.0,-35578866500.0,-32615600000.0,90062.0,1458033.0,6.18,A361610
23,2021-06-14,151500,153000,148000,148000,740629,110955543500,-6.03,3078869000.0,-398157000.0,15541182500.0,-18221894500.0,8279.0,740629.0,1.12,A361610
24,2021-06-15,149000,151500,148500,149500,417175,62506675500,1.01,11481613000.0,-65147000.0,-2666374000.0,-8750092000.0,10020.0,417175.0,2.4,A361610
25,2021-06-16,149000,153000,148000,152000,476285,72193349500,1.67,12349978500.0,322024000.0,-23215417000.0,10543414500.0,7018.0,476285.0,1.47,A361610
26,2021-06-17,151500,157000,150000,156000,648454,100165406500,2.63,16742442500.0,577627500.0,-29167381000.0,11847311000.0,7039.0,648454.0,1.09,A361610
27,2021-06-18,156500,159500,154500,158000,622211,98052841500,1.28,7090423000.0,-212873000.0,-23322034500.0,16444484500.0,5541.0,622211.0,0.89,A361610
28,2021-06-21,156500,160500,155500,158500,431581,68348778500,0.32,1095606500.0,1240605000.0,-1848917000.0,-487294500.0,1010.0,431581.0,0.23,A361610
29,2021-06-22,160000,160500,156000,159000,343775,54351958000,0.32,7895634000.0,-178689500.0,-9045543000.0,1328598500.0,1112.0,343775.0,0.32,A361610
30,2021-06-23,159000,167500,157000,166500,1317043,216348374500,4.72,32793888500.0,-3296503500.0,-68392104000.0,38894719000.0,11440.0,1317043.0,0.87,A361610
31,2021-06-24,167000,173500,165000,168500,907775,153733298000,1.2,12311481500.0,-369451000.0,-15964513000.0,4022482500.0,6828.0,907775.0,0.75,A361610
32,2021-06-25,170500,175000,169500,172500,795885,137421915500,2.37,20114387500.0,-1160184500.0,-28805261500.0,9851058500.0,4590.0,795885.0,0.58,A361610
33,2021-06-28,174000,177000,166000,167000,702510,119093767000,-3.19,-432625000.0,524945500.0,3482831500.0,-3575152000.0,2909.0,702510.0,0.41,A361610
34,2021-06-29,167500,173000,164000,173000,527489,89486100000,3.59,10325121000.0,-123589500.0,-22239488500.0,12037957000.0,4658.0,527489.0,0.88,A361610
35,2021-06-30,173500,184000,173000,183000,1167597,210385375500,5.78,17143738500.0,-1011842000.0,-54441559500.0,38309663000.0,8283.0,1167597.0,0.71,A361610
36,2021-07-01,182000,194500,179000,186500,1504043,281440621500,1.91,19649835500.0,1365500.0,-22790630000.0,3139429000.0,12739.0,1504043.0,0.85,A361610
37,2021-07-02,189000,193000,183500,186000,648311,121127423500,-0.27,2508222000.0,296140000.0,11006376500.0,-13810738500.0,10111.0,648311.0,1.56,A361610
38,2021-07-05,185000,188000,181500,185500,439884,81158099500,-0.27,-219199500.0,194487500.0,-17248604500.0,17273316500.0,2304.0,439884.0,0.52,A361610
39,2021-07-06,185000,194000,185000,193000,666659,127103343000,4.04,4018868500.0,796939000.0,-38221166000.0,33405358500.0,10285.0,666659.0,1.54,A361610
40,2021-07-07,192500,199000,191500,199000,678190,132651064000,3.11,22994026000.0,-479578500.0,-34998808500.0,12484361000.0,17771.0,678190.0,2.62,A361610
41,2021-07-08,200000,209500,199500,205000,1524306,313849254000,3.02,20110132000.0,-1337039500.0,-57058924500.0,38285832000.0,32110.0,1524306.0,2.11,A361610
42,2021-07-09,205500,212000,195000,209000,1257721,255911191500,1.95,18477148000.0,-1129366000.0,7727820500.0,-25075602500.0,28796.0,1257721.0,2.29,A361610
43,2021-07-12,212000,214000,207000,210000,423982,88856495500,0.48,-257662000.0,619696000.0,-1969951000.0,1607917000.0,28783.0,423982.0,6.79,A361610
