,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,142500,144500,139000,140500,334705,47148336000,-1.06,-17877469000.0,1337880000.0,15940540000.0,599049000.0,409.0,334705.0,0.12,A096770
1,2012-01-03,142500,151500,142000,149500,774059,114733185000,6.41,36850425500.0,-949412000.0,-36758486500.0,857473000.0,4731.0,774059.0,0.61,A096770
2,2012-01-04,151000,154000,149500,150500,505086,76678664500,0.67,8647169500.0,690712500.0,-14958227500.0,5620345500.0,7338.0,505086.0,1.45,A096770
3,2012-01-05,152500,157500,150500,154500,620897,96184410000,2.66,18702946000.0,1686518000.0,-22244360500.0,1854896500.0,1055.0,620897.0,0.17,A096770
4,2012-01-06,155000,155000,150000,153500,330408,50158912000,-0.65,1475114000.0,-571027500.0,-6090418000.0,5186331500.0,13309.0,330408.0,4.03,A096770
5,2012-01-09,152000,157000,149000,155500,442890,68157793000,1.3,4264782500.0,-862390500.0,-10682208000.0,7279816000.0,9408.0,442890.0,2.12,A096770
6,2012-01-10,157000,160000,156500,159000,493051,78277462500,2.25,12673564000.0,-291080000.0,-19850085000.0,7467601000.0,24581.0,493051.0,4.99,A096770
7,2012-01-11,160500,161500,155500,156500,383634,60574146500,-1.57,-828237000.0,-1489944500.0,1414566000.0,903615500.0,20293.0,383634.0,5.29,A096770
8,2012-01-12,154000,158500,152000,158000,508736,79363986000,0.96,745279000.0,-1717784000.0,145803000.0,826702000.0,12353.0,508736.0,2.43,A096770
9,2012-01-13,158000,159500,155000,157000,331420,52002920500,-0.63,-4194048000.0,-1091030500.0,617575000.0,4667503500.0,33983.0,331420.0,10.25,A096770
10,2012-01-16,154000,156500,152500,156000,237121,36666329000,-0.64,-824509000.0,1225050000.0,-741142000.0,340601000.0,5467.0,237121.0,2.31,A096770
11,2012-01-17,158500,160000,158000,159000,346278,55042369500,1.92,-1527764000.0,-208948000.0,-9269056500.0,11005768500.0,6295.0,346278.0,1.82,A096770
