,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,24414,24500,23983,24069,137095,19169470000,-1.41,-771116500.0,-719382500.0,1201955000.0,288544000.0,1405.0,137095.0,1.02,A017670
1,2012-01-03,23896,24414,23896,24328,251895,35390919000,1.08,-884422000.0,-20813000.0,-3100065000.0,4005300000.0,53.0,251895.0,0.02,A017670
2,2012-01-04,24500,24500,23810,23983,325491,45285397500,-1.42,-20935983500.0,-42064500.0,12911899500.0,8066148500.0,13.0,325491.0,0.0,A017670
3,2012-01-05,24155,24241,23724,23896,221012,30663807000,-0.36,-9878144000.0,-762324500.0,4562446000.0,6078022500.0,847.0,221012.0,0.38,A017670
4,2012-01-06,24155,24241,23292,23724,295613,40547741500,-0.72,-17711870000.0,871205000.0,5210971500.0,11629693500.0,800.0,295613.0,0.27,A017670
5,2012-01-09,23637,23637,23034,23292,202655,27284398500,-1.82,-1128108000.0,-37207000.0,1365055000.0,-199740000.0,1907.0,202655.0,0.94,A017670
6,2012-01-10,23465,23983,23379,23637,204286,28119418500,1.48,1956349000.0,-15106000.0,-3329962000.0,1388719000.0,398.0,204286.0,0.19,A017670
7,2012-01-11,23810,23896,23206,23379,148598,20161905876,-1.09,-2111347500.0,-92635000.0,4171497500.0,-1967515000.0,2274.0,148598.0,1.53,A017670
8,2012-01-12,23551,23637,23120,23292,246091,33174292500,-0.37,-4814873500.0,-236764500.0,1249693500.0,3801944500.0,279.0,246091.0,0.11,A017670
9,2012-01-13,23206,23983,23206,23724,139512,19029558000,1.85,1951398500.0,-237994000.0,-4809185500.0,3095781000.0,98.0,139512.0,0.07,A017670
10,2012-01-16,23724,23724,23206,23637,128332,17430315500,-0.36,-5308460500.0,-1159756500.0,3535562000.0,2932655000.0,431.0,128332.0,0.34,A017670
11,2012-01-17,23551,23896,23120,23206,275233,37260844000,-1.82,-9836021500.0,-434818500.0,10874800000.0,-603960000.0,1871.0,275233.0,0.68,A017670
12,2012-01-18,23379,23724,23292,23724,174769,23893215500,2.23,-368809500.0,-31977500.0,-12226814000.0,12627601000.0,33.0,174769.0,0.02,A017670
13,2012-01-19,23637,23810,23551,23724,171829,23634141500,0.0,2649120500.0,89264000.0,-1874087500.0,-864297000.0,34292.0,171829.0,19.96,A017670
14,2012-01-20,23637,23724,23465,23551,220462,30151765000,-0.73,-9502167500.0,1625785000.0,863279500.0,7013103000.0,3475.0,220462.0,1.58,A017670
15,2012-01-25,23724,24500,23637,24500,370720,52250831500,4.03,12461039000.0,57656000.0,-14890328000.0,2371633000.0,149.0,370720.0,0.04,A017670
16,2012-01-26,24500,25277,24241,24673,292388,42228527500,0.7,15109503000.0,345468500.0,-6088611000.0,-9366360500.0,11440.0,292388.0,3.91,A017670
17,2012-01-27,24586,24845,24241,24673,105506,15011461500,0.0,-2963053500.0,98898000.0,1192143000.0,1672012500.0,8543.0,105506.0,8.1,A017670
18,2012-01-30,24586,24586,24155,24500,137430,19364474500,-0.7,-3345120500.0,-408451500.0,1390556500.0,2363015500.0,3358.0,137430.0,2.44,A017670
19,2012-01-31,24328,24759,24241,24586,172516,24477323500,0.35,-4411343000.0,-83878000.0,-3238060000.0,7733281000.0,4669.0,172516.0,2.71,A017670
20,2012-02-01,24414,24586,24155,24241,147420,20785841500,-1.4,-3343468000.0,4245000.0,4263702500.0,-924479500.0,336.0,147420.0,0.23,A017670
21,2012-02-02,24241,24500,24155,24414,141915,20052484000,0.71,-5445428000.0,27570000.0,-2770862000.0,8188720000.0,25795.0,141915.0,18.18,A017670
22,2012-02-03,24500,24500,23637,23724,308112,42521764000,-2.83,-18362803500.0,-202085500.0,16675818000.0,1889071000.0,62.0,308112.0,0.02,A017670
23,2012-02-06,23810,23896,23465,23637,201935,27627838500,-0.36,-2816034000.0,480772500.0,2600605500.0,-265344000.0,16.0,201935.0,0.01,A017670
