,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,22700,23500,22600,23450,12170153,281873015800,6.83,93803251150.0,272199000.0,-106398144300.0,12322694150.0,378050.0,12170153.0,3.11,A000660
1,2012-01-03,23700,23850,23350,23650,7239708,171209173850,0.85,60869126300.0,640446000.0,-72221717300.0,10712145000.0,222471.0,7239708.0,3.07,A000660
2,2012-01-04,23850,24350,23650,23850,9643808,231478413250,0.85,27449181700.0,827650000.0,-72886593700.0,44609762000.0,211520.0,9643808.0,2.19,A000660
3,2012-01-05,23900,24550,23700,24000,5948158,143730446450,0.63,26970240850.0,286234500.0,-40822363850.0,13565888500.0,238047.0,5948158.0,4.0,A000660
4,2012-01-06,24450,24550,24050,24400,7633067,185849180960,1.67,2747032000.0,-1981705000.0,-62019959100.0,61254632100.0,117950.0,7633067.0,1.55,A000660
5,2012-01-09,24550,24600,23800,23850,5191657,125459986530,-2.25,-9472471500.0,-1809831000.0,4424571550.0,6857730950.0,268112.0,5191657.0,5.16,A000660
6,2012-01-10,24050,24350,23850,24350,4596542,111152994550,2.1,8014601350.0,-1657900000.0,-18952872400.0,12596171050.0,129020.0,4596542.0,2.81,A000660
7,2012-01-11,24400,24700,24100,24250,4747105,116040623150,-0.41,-8964263000.0,3252356000.0,-14755957250.0,20467864250.0,96150.0,4747105.0,2.03,A000660
8,2012-01-12,24200,24350,23850,24150,3566256,85841315300,-0.41,-8034039650.0,1124292950.0,9836540500.0,-2926793800.0,154920.0,3566256.0,4.34,A000660
9,2012-01-13,24350,25150,24300,25150,7993006,198994412800,4.14,16879895350.0,502823000.0,-48397115500.0,31014397150.0,282410.0,7993006.0,3.53,A000660
10,2012-01-16,25050,25600,24900,25400,6341825,160201188250,0.99,203530000.0,351942500.0,-21456163800.0,20900691300.0,174635.0,6341825.0,2.75,A000660
11,2012-01-17,25650,25800,25200,25550,5982819,152485173700,0.59,-18961216350.0,-663792500.0,-22220790150.0,41845799000.0,333395.0,5982819.0,5.57,A000660
12,2012-01-18,25500,25800,25050,25250,4764455,121056882800,-1.17,-16144144500.0,547293000.0,-5176422250.0,20773273750.0,274980.0,4764455.0,5.77,A000660
13,2012-01-19,25800,26500,25600,26300,8987450,235086820800,4.16,-10936742400.0,-1822165500.0,-58939988800.0,71698896700.0,366691.0,8987450.0,4.08,A000660
14,2012-01-20,26600,27150,26200,26950,8726770,233096455290,2.47,-11282005650.0,-601515650.0,-80124717700.0,92008239000.0,542010.0,8726770.0,6.21,A000660
15,2012-01-25,27000,28000,26900,27450,8693588,239277405800,1.86,-6032129050.0,-3303060250.0,-15880730600.0,25215919900.0,471445.0,8693588.0,5.42,A000660
