,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,305500,308500,299000,299000,36459,10979680500,-1.64,-3271692500.0,339499000.0,3870940000.0,-938746500.0,69.0,36459.0,0.19,A010130
1,2012-01-03,303500,317000,303500,317000,87823,27531892000,6.02,7585033000.0,332564000.0,-10319301500.0,2401704500.0,2024.0,87823.0,2.3,A010130
2,2012-01-04,321000,326000,317500,320500,93411,30171507000,1.1,11485485000.0,931674500.0,-14240677000.0,1823517500.0,875.0,93411.0,0.94,A010130
3,2012-01-05,327000,327000,317500,317500,36475,11751708500,-0.94,386683500.0,-101090500.0,-1314884000.0,1029291000.0,112.0,36475.0,0.31,A010130
4,2012-01-06,316500,323500,312000,315500,44755,14088576500,-0.63,-1472922500.0,3785500.0,771942000.0,697195000.0,316.0,44755.0,0.71,A010130
5,2012-01-09,311500,316000,305500,315000,50072,15516336000,-0.16,-360729000.0,79510500.0,1491858500.0,-1210640000.0,422.0,50072.0,0.84,A010130
6,2012-01-10,313500,325000,313000,320000,79903,25617730000,1.59,11219356000.0,168339500.0,-2994241000.0,-8393454500.0,934.0,79903.0,1.17,A010130
7,2012-01-11,326500,327500,321000,323500,69533,22581076000,1.09,9806704500.0,682149000.0,-8017771500.0,-2471082000.0,29.0,69533.0,0.04,A010130
8,2012-01-12,321000,347500,321000,338000,108855,36680825000,4.48,13000980500.0,681720000.0,-7842231500.0,-5840469000.0,1427.0,108855.0,1.31,A010130
9,2012-01-13,339500,354500,339500,350000,107080,37496819500,3.55,6484892000.0,210956000.0,-9821635000.0,3125787000.0,6349.0,107080.0,5.93,A010130
10,2012-01-16,348000,356000,339500,346500,86550,30310614000,-1.0,-1717869000.0,261652500.0,3053184000.0,-1596967500.0,6615.0,86550.0,7.64,A010130
11,2012-01-17,354000,355000,345500,350500,66869,23436990000,1.15,4273902500.0,263987500.0,1005666000.0,-5543556000.0,750.0,66869.0,1.12,A010130
12,2012-01-18,348000,365000,347000,360000,74031,26645347500,2.71,11463361500.0,-180462500.0,-9364133000.0,-1918766000.0,810.0,74031.0,1.09,A010130
13,2012-01-19,361000,370000,358000,360000,51753,18823166000,0.0,2720223500.0,-35684500.0,-4809034000.0,2124495000.0,3160.0,51753.0,6.11,A010130
14,2012-01-20,358000,371000,358000,371000,53312,19646527000,3.06,442393000.0,-413988500.0,-11046505000.0,11018100500.0,1484.0,53312.0,2.78,A010130
15,2012-01-25,368000,386000,365000,370000,80459,30131479000,-0.27,-8221797000.0,-379038000.0,1799337500.0,6801497500.0,1342.0,80459.0,1.67,A010130
16,2012-01-26,379000,383500,371000,382500,95578,36374534000,3.38,-2285867000.0,400937500.0,-3988048500.0,5872978000.0,636.0,95578.0,0.67,A010130
17,2012-01-27,386000,388500,379000,385000,54739,20978792000,0.65,-6620162000.0,449406500.0,-346129500.0,6516885000.0,3155.0,54739.0,5.76,A010130
18,2012-01-30,389500,389500,368000,368500,69188,25914303000,-4.29,-8047065000.0,-355949500.0,5475450500.0,2927564000.0,754.0,69188.0,1.09,A010130
19,2012-01-31,370000,386000,369000,383500,73830,27994573000,4.07,-4646990000.0,-1151182500.0,-1380140500.0,7178313000.0,9.0,73830.0,0.01,A010130
20,2012-02-01,378000,389000,378000,383500,34521,13283638000,0.0,-856622000.0,-1234044500.0,-57474500.0,2148141000.0,780.0,34521.0,2.26,A010130
21,2012-02-02,389000,408000,387000,400500,82466,33024212000,4.43,442483500.0,-1672596000.0,-9565764000.0,10795876500.0,468.0,82466.0,0.57,A010130
22,2012-02-03,404500,409000,396500,407000,60205,24257734500,1.62,-4058166500.0,-842960000.0,-641990000.0,5543116500.0,1486.0,60205.0,2.47,A010130
23,2012-02-06,409500,410500,391000,393000,84738,33774603500,-3.44,-1334488000.0,-319042500.0,3300626500.0,-1647096000.0,2468.0,84738.0,2.91,A010130
24,2012-02-07,390000,399000,388000,389000,80802,31572316000,-1.02,7595560000.0,4592500.0,345793500.0,-7945946000.0,372.0,80802.0,0.46,A010130
25,2012-02-08,399000,409000,393000,402500,71975,28831610500,3.47,-1647654500.0,51966000.0,-3438461000.0,5034149500.0,1058.0,71975.0,1.47,A010130
26,2012-02-09,401500,413000,395500,410000,73470,29850108000,1.86,6711254500.0,-249769000.0,-6153768500.0,-307717000.0,598.0,73470.0,0.81,A010130
27,2012-02-10,415000,425500,410500,418000,82626,34679911000,1.95,3731391500.0,-3155916000.0,-5108760000.0,4533284500.0,2519.0,82626.0,3.05,A010130
28,2012-02-13,419000,421500,406000,417500,65167,27064302500,-0.12,2382009500.0,-367532000.0,-4521607000.0,2507129500.0,3452.0,65167.0,5.3,A010130
29,2012-02-14,408500,413500,400500,401500,74969,30313646500,-3.83,-3207837000.0,-172836500.0,12324313000.0,-8943639500.0,2508.0,74969.0,3.35,A010130
30,2012-02-15,399500,407500,399000,406500,44115,17853057000,1.25,1239438000.0,32267000.0,-1909381000.0,637676000.0,365.0,44115.0,0.83,A010130
31,2012-02-16,398000,405000,387500,390500,65097,25828293500,-3.94,-117042000.0,-86009000.0,7376097500.0,-7173046500.0,1180.0,65097.0,1.81,A010130
32,2012-02-17,406000,409000,396000,403500,74878,30283888500,3.33,-2136495000.0,-754030000.0,-2674717500.0,5565242500.0,9.0,74878.0,0.01,A010130
33,2012-02-20,409500,420000,403500,419000,44806,18612723500,3.84,6795716500.0,-359404000.0,-7724190000.0,1287877500.0,435.0,44806.0,0.97,A010130
34,2012-02-21,419500,427000,403500,412500,72936,30028770996,-1.55,-3298836496.0,255422500.0,5439135500.0,-2395721504.0,2480.0,72936.0,3.4,A010130
35,2012-02-22,421000,427500,417000,427500,64721,27418566500,3.64,6162328000.0,-100038000.0,-11151454500.0,5089164500.0,3346.0,64721.0,5.17,A010130
36,2012-02-23,428000,435000,419000,435000,73439,31616452000,1.75,9861751000.0,-965707500.0,-7005595500.0,-1890448000.0,8416.0,73439.0,11.46,A010130
37,2012-02-24,435500,440000,432500,438000,55820,24412967500,0.69,8878294000.0,1211305500.0,-4553284000.0,-5536315500.0,8799.0,55820.0,15.76,A010130
38,2012-02-27,438000,438000,422500,431500,65149,27949049500,-1.48,469761000.0,-132126500.0,1206244000.0,-1543878500.0,1743.0,65149.0,2.68,A010130
39,2012-02-28,440000,449500,432000,441500,75868,33538553500,2.32,15653686000.0,-309721500.0,-6619809500.0,-8724155000.0,3097.0,75868.0,4.08,A010130
40,2012-02-29,445500,449500,437500,438500,52389,23150754000,-0.68,2446481000.0,921053000.0,-161150500.0,-3206383500.0,4243.0,52389.0,8.1,A010130
