,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,11700,11800,11350,11450,122389,1407086050,-2.97,-429277500.0,86097500.0,255707000.0,87473000.0,0.0,122389.0,0.0,A000060
1,2012-01-03,11500,11950,11400,11850,219608,2575690500,3.49,-546520800.0,0.0,-904568700.0,1451089500.0,10.0,219608.0,0.0,A000060
2,2012-01-04,11800,11900,11650,11800,183532,2165674700,-0.42,-197560800.0,-14210500.0,-614866200.0,826637500.0,10.0,183532.0,0.01,A000060
3,2012-01-05,11800,11800,11600,11600,105222,1234494200,-1.69,628342700.0,-10846300.0,-515580900.0,-101915500.0,30.0,105222.0,0.03,A000060
4,2012-01-06,11750,11750,11250,11400,144337,1649612300,-1.72,-449558200.0,0.0,394729700.0,54828500.0,0.0,144337.0,0.0,A000060
5,2012-01-09,11500,11500,11250,11300,61913,702885200,-0.88,-59668500.0,0.0,-77276000.0,136944500.0,0.0,61913.0,0.0,A000060
6,2012-01-10,11400,11700,11300,11600,191504,2219790450,2.65,-75782500.0,-17266100.0,-739703300.0,832751900.0,0.0,191504.0,0.0,A000060
7,2012-01-11,11600,11650,11200,11200,164564,1867713300,-3.45,-452274500.0,0.0,533829000.0,-81554500.0,0.0,164564.0,0.0,A000060
8,2012-01-12,11250,11650,11100,11500,146196,1682121500,2.68,141752500.0,0.0,-1021168500.0,879416000.0,0.0,146196.0,0.0,A000060
9,2012-01-13,11500,11700,11300,11400,132067,1511711950,-0.87,-1090991300.0,11926500.0,564157800.0,514907000.0,10.0,132067.0,0.01,A000060
10,2012-01-16,11400,11400,11000,11050,205742,2280674100,-3.07,-1477782450.0,-188285350.0,1623544300.0,42523500.0,0.0,205742.0,0.0,A000060
11,2012-01-17,11150,11250,11000,11150,254438,2822294050,0.9,-1485242050.0,24756500.0,2005937050.0,-545451500.0,20.0,254438.0,0.01,A000060
12,2012-01-18,11150,11200,11000,11200,194797,2161764500,0.45,-408829200.0,-3581000.0,-65201800.0,477612000.0,20.0,194797.0,0.01,A000060
13,2012-01-19,11200,11300,11050,11150,137933,1536119950,-0.45,-745318550.0,98691500.0,530388550.0,116238500.0,110.0,137933.0,0.08,A000060
14,2012-01-20,11250,11300,10900,11000,398007,4413454100,-1.35,-3026381000.0,406429000.0,2006537500.0,613414500.0,100.0,398007.0,0.03,A000060
15,2012-01-25,11050,11150,10900,11050,289775,3190334000,0.45,-1902314500.0,403990000.0,1485710500.0,12614000.0,30.0,289775.0,0.01,A000060
16,2012-01-26,11050,11250,11000,11250,444551,4960962750,1.81,-188210750.0,108878000.0,-276605750.0,355938500.0,160.0,444551.0,0.04,A000060
17,2012-01-27,11250,11300,11050,11150,252360,2811256500,-0.89,-56187250.0,55900500.0,-220661750.0,220948500.0,20.0,252360.0,0.01,A000060
18,2012-01-30,11200,11700,11150,11700,648595,7446661500,4.93,2480295600.0,-18434000.0,-3341229600.0,879368000.0,0.0,648595.0,0.0,A000060
19,2012-01-31,11800,11800,11600,11800,207129,2426764700,0.85,199870900.0,0.0,-855397900.0,655527000.0,10.0,207129.0,0.0,A000060
20,2012-02-01,11850,11950,11700,11950,398208,4727591700,1.27,1059710550.0,-80149500.0,-834646050.0,-144915000.0,2170.0,398208.0,0.54,A000060
21,2012-02-02,12050,12450,12000,12350,402336,4927930050,3.35,1631183500.0,-17274000.0,-2708579500.0,1094670000.0,160.0,402336.0,0.04,A000060
22,2012-02-03,12200,12350,11800,12000,357990,4319765700,-2.83,-197288500.0,-5262000.0,9207500.0,193343000.0,0.0,357990.0,0.0,A000060
23,2012-02-06,12100,12100,11800,11900,178206,2119817000,-0.83,-360720800.0,-82593000.0,145238800.0,298075000.0,0.0,178206.0,0.0,A000060
24,2012-02-07,11900,12350,11900,12300,339530,4153932300,3.36,1035931600.0,-314478500.0,-1264706100.0,543253000.0,10.0,339530.0,0.0,A000060
25,2012-02-08,12200,12350,11750,11850,594561,7077484050,-3.66,-4238120350.0,-100774050.0,2086655800.0,2252238600.0,0.0,594561.0,0.0,A000060
26,2012-02-09,11850,11850,11500,11650,798147,9322173700,-1.69,-2843036650.0,-387580000.0,2182608650.0,1048008000.0,60.0,798147.0,0.01,A000060
27,2012-02-10,11700,12050,11650,12050,379515,4515865750,3.43,1045022550.0,-4853000.0,-2175865050.0,1135695500.0,100.0,379515.0,0.03,A000060
28,2012-02-13,12100,12150,11950,12100,184479,2223054850,0.41,141053700.0,-66489000.0,-501403900.0,426839200.0,70.0,184479.0,0.04,A000060
29,2012-02-14,12150,12200,12000,12150,129505,1571749150,0.41,349591400.0,302163450.0,-338082550.0,-313672300.0,100.0,129505.0,0.08,A000060
30,2012-02-15,12150,12250,11950,12250,238281,2893272800,0.82,242548000.0,-117435000.0,-544786500.0,419673500.0,100.0,238281.0,0.04,A000060
31,2012-02-16,12200,12200,11900,11900,186679,2238800600,-2.86,-385027300.0,0.0,620427200.0,-235399900.0,10.0,186679.0,0.01,A000060
32,2012-02-17,11950,12100,11900,12000,170195,2041747350,0.84,-329557000.0,78098000.0,-5791500.0,257250500.0,400.0,170195.0,0.24,A000060
