,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,10216,10216,9874,10118,1266194,12996573950,-0.48,-643076400.0,3752596000.0,-2304806100.0,-804713500.0,270.0,1266194.0,0.02,A006800
1,2012-01-03,10216,10607,10216,10607,2010588,21546022300,4.83,1131672850.0,6385942400.0,-8940205750.0,1422590500.0,200.0,2010588.0,0.01,A006800
2,2012-01-04,10656,10656,10509,10558,1137183,12296006100,-0.46,574708950.0,4028569000.0,-4737763950.0,134486000.0,20.0,1137183.0,0.0,A006800
3,2012-01-05,10558,10656,10460,10558,772093,8344788050,0.0,575527300.0,2440937500.0,-3019664300.0,3199500.0,210.0,772093.0,0.03,A006800
4,2012-01-06,10607,10656,10216,10411,884160,9378047050,-1.39,-1473076000.0,2875271000.0,-1433963500.0,31768500.0,3100.0,884160.0,0.35,A006800
5,2012-01-09,10314,10314,10118,10314,853943,8924230800,-0.94,-2325295200.0,2399150500.0,-852589800.0,778734500.0,4710.0,853943.0,0.55,A006800
6,2012-01-10,10314,10802,10314,10754,2167623,23614766500,4.27,-1281017650.0,7995270500.0,-7419326350.0,705073500.0,0.0,2167623.0,0.0,A006800
7,2012-01-11,10705,10802,10607,10607,1558173,17057659950,-1.36,-1589862950.0,4457462950.0,-2336518000.0,-531082000.0,250.0,1558173.0,0.02,A006800
8,2012-01-12,10705,11340,10656,11242,4623572,52007446700,5.99,-4998876550.0,15968557500.0,-12358814200.0,1389133250.0,24000.0,4623572.0,0.52,A006800
9,2012-01-13,11242,11585,11193,11340,2448118,28540122250,0.87,359071500.0,5922821000.0,-7020787000.0,738894500.0,1140.0,2448118.0,0.05,A006800
10,2012-01-16,11193,11585,11145,11438,1711695,19825161350,0.86,137309000.0,3506914000.0,-3678215400.0,33992400.0,10350.0,1711695.0,0.6,A006800
11,2012-01-17,11682,12171,11682,12024,3623505,44274390500,5.13,3879456600.0,914788000.0,-5889675100.0,1095430500.0,130780.0,3623505.0,3.61,A006800
12,2012-01-18,12024,12122,11731,11927,2262169,27713832650,-0.81,717679300.0,-1310236000.0,-9862300.0,602419000.0,220.0,2262169.0,0.01,A006800
13,2012-01-19,12171,12367,11829,12024,2067223,25532466450,0.82,639469000.0,619884000.0,-1427169500.0,167816500.0,5180.0,2067223.0,0.25,A006800
14,2012-01-20,12122,12562,12073,12464,3450757,43732331950,3.66,110558500.0,4263665500.0,-6382658000.0,2008434000.0,3530.0,3450757.0,0.1,A006800
15,2012-01-25,12415,12709,12171,12464,1836213,23412377750,0.0,1016114750.0,-554436000.0,-3108626750.0,2646948000.0,950.0,1836213.0,0.05,A006800
16,2012-01-26,12562,12611,12318,12464,1383497,17592821450,0.0,277250250.0,-391039500.0,-1053229250.0,1167018500.0,11560.0,1383497.0,0.84,A006800
17,2012-01-27,12562,13002,12367,12807,2666080,34776547150,2.75,1069561000.0,-290517500.0,-2488266500.0,1709223000.0,540.0,2666080.0,0.02,A006800
18,2012-01-30,12709,12904,12464,12709,1784296,23108855250,-0.76,-1284574500.0,3214701500.0,-2831573000.0,901446000.0,540.0,1784296.0,0.03,A006800
19,2012-01-31,12660,12904,12611,12855,1497237,19595827850,1.15,-1219374350.0,2818418500.0,-4545136750.0,2946092600.0,230.0,1497237.0,0.02,A006800
20,2012-02-01,12807,13149,12709,13100,2229407,29707704850,1.9,1178437300.0,5839975500.0,-5546586500.0,-1471826300.0,10770.0,2229407.0,0.48,A006800
21,2012-02-02,13393,13589,13246,13442,3152912,43351991900,2.61,2504908500.0,6412829250.0,-10412349250.0,1494611500.0,180.0,3152912.0,0.01,A006800
22,2012-02-03,13442,13735,13198,13540,1862367,25748132200,0.73,1627684700.0,4621854100.0,-5748799800.0,-500739000.0,12480.0,1862367.0,0.67,A006800
23,2012-02-06,13931,13980,13540,13686,1905228,26731391800,1.08,6855335000.0,164241000.0,-3306825000.0,-3712751000.0,15620.0,1905228.0,0.82,A006800
24,2012-02-07,13637,13686,13198,13344,1897490,25964502300,-2.5,-3387078450.0,32883500.0,-3100244800.0,6454439750.0,830.0,1897490.0,0.04,A006800
25,2012-02-08,13344,13784,13295,13686,1278353,17813429100,2.56,804261450.0,10841700.0,-1786458150.0,971355000.0,1170.0,1278353.0,0.09,A006800
26,2012-02-09,13344,13442,12953,13442,3413990,46075987000,-1.79,-457958250.0,630901500.0,-3516118750.0,3343175500.0,1450.0,3413990.0,0.04,A006800
27,2012-02-10,13491,13637,13198,13344,1310705,17909123350,-0.73,200839750.0,59805500.0,-193948750.0,-66696500.0,220.0,1310705.0,0.02,A006800
