,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,81000,81200,80000,80400,150811,12113194300,-0.62,-4364353500.0,87647900.0,5141490400.0,-864784800.0,280.0,150811.0,0.19,A032830
1,2012-01-03,80200,82500,80200,82500,209239,17153292800,2.61,9660418400.0,-58304000.0,-10702909800.0,1100795400.0,149.0,209239.0,0.07,A032830
2,2012-01-04,82100,82500,81700,82300,89152,7318921400,-0.24,882128200.0,-68053000.0,-1604304600.0,790229400.0,101.0,89152.0,0.11,A032830
3,2012-01-05,82000,82700,81400,82400,97334,8007935600,0.12,3028367200.0,-32783800.0,-4361672100.0,1366088700.0,87.0,97334.0,0.09,A032830
4,2012-01-06,82400,82400,80600,81500,154111,12483829300,-1.09,-3208359100.0,236051000.0,6948777700.0,-3976469600.0,0.0,154111.0,0.0,A032830
5,2012-01-09,80800,81000,80100,80500,181812,14604940200,-1.23,-5356968200.0,59926800.0,7626388000.0,-2329346600.0,2061.0,181812.0,1.13,A032830
6,2012-01-10,80600,81800,80500,81200,200090,16282195400,0.87,6216481700.0,4133200.0,-5135960400.0,-1084654500.0,34.0,200090.0,0.02,A032830
7,2012-01-11,81200,81200,80200,81200,200196,16136902834,0.0,-3588718800.0,-78345200.0,4666114800.0,-999050800.0,218.0,200196.0,0.11,A032830
8,2012-01-12,81200,81400,80300,81200,197802,15978646400,0.0,-230949000.0,-40755900.0,3018542400.0,-2746837500.0,49.0,197802.0,0.02,A032830
9,2012-01-13,80700,81400,80600,80700,190715,15425690900,-0.62,1745260500.0,90698900.0,4020080100.0,-5856039500.0,316.0,190715.0,0.17,A032830
10,2012-01-16,80400,80500,80000,80100,205699,16486800900,-0.74,-2501327600.0,37646000.0,8949131200.0,-6485449600.0,196.0,205699.0,0.1,A032830
11,2012-01-17,80400,81300,80400,81300,236346,19129013200,1.5,6548901600.0,-184866600.0,-7082844400.0,718809400.0,74.0,236346.0,0.03,A032830
12,2012-01-18,81100,81900,80800,81900,284085,23172682800,0.74,6170616000.0,715947000.0,-3182657900.0,-3703905100.0,355.0,284085.0,0.12,A032830
13,2012-01-19,82200,82500,81800,81800,246710,20286091900,-0.12,5722970100.0,104970300.0,-4433670000.0,-1394270400.0,1731.0,246710.0,0.7,A032830
14,2012-01-20,81600,84000,81600,83600,374857,31174975000,2.2,3747487400.0,74223700.0,-12430250100.0,8608539000.0,2992.0,374857.0,0.8,A032830
15,2012-01-25,83700,85100,83600,84800,382598,32417773700,1.44,-155710500.0,-200560000.0,-16872211400.0,17228481900.0,1611.0,382598.0,0.42,A032830
16,2012-01-26,84600,85600,84500,84900,212217,18031497700,0.12,-1173149700.0,-842328300.0,-10109227800.0,12124705800.0,633.0,212217.0,0.3,A032830
