,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,125610,130597,125610,129662,145014,29793722000,3.23,9152685000.0,68239000.0,-5516100000.0,-3704824000.0,298.0,145014.0,0.21,A028050
1,2012-01-03,131221,133714,130597,132779,172486,36714754000,2.4,9280524500.0,-324918000.0,-17737254000.0,8781647500.0,2289.0,172486.0,1.33,A028050
2,2012-01-04,132156,134961,131844,133091,162466,34773851000,0.23,8203882000.0,81806500.0,-11147799500.0,2862111000.0,207.0,162466.0,0.13,A028050
3,2012-01-05,133403,136208,131844,135584,181555,39370366000,1.87,-5681544500.0,-710546000.0,-14286010500.0,20678101000.0,4126.0,181555.0,2.27,A028050
4,2012-01-06,136208,136208,128727,130286,167696,35066017000,-3.91,-284384500.0,-494027500.0,9650566000.0,-8872154000.0,6660.0,167696.0,3.97,A028050
5,2012-01-09,129662,129974,127481,129039,92075,18973471500,-0.96,-2519231500.0,-585919000.0,3376698500.0,-271548000.0,3324.0,92075.0,3.61,A028050
6,2012-01-10,129974,130909,128416,128727,220419,45728713000,-0.24,-3542242500.0,-709848000.0,8623713000.0,-4371622500.0,1654.0,220419.0,0.75,A028050
7,2012-01-11,129039,130597,127481,128727,197347,40901827440,0.0,-9976167500.0,-527032500.0,1849794500.0,8653405500.0,954.0,197347.0,0.48,A028050
8,2012-01-12,125610,129351,125610,128416,175772,35983418000,-0.24,-6350087500.0,-172702000.0,4423461500.0,2099328000.0,130.0,175772.0,0.07,A028050
9,2012-01-13,129662,131532,127481,129039,201902,41898382500,0.49,-19901073000.0,1890452000.0,7315815500.0,10694805500.0,672.0,201902.0,0.33,A028050
10,2012-01-16,127792,128104,126234,126857,86449,17582846500,-1.69,-6112309000.0,-63091500.0,5623128500.0,552272000.0,3117.0,86449.0,3.61,A028050
11,2012-01-17,127792,129039,125922,127169,354598,72202011000,0.25,-8844054000.0,1010351000.0,26034821000.0,-18201118000.0,1104.0,354598.0,0.31,A028050
12,2012-01-18,127792,131532,127169,130909,290025,60471966000,2.94,-1876106000.0,599328500.0,-987033500.0,2263811000.0,460.0,290025.0,0.16,A028050
13,2012-01-19,134026,136519,133091,136519,493672,107054079500,4.29,-32411319500.0,-1602727500.0,-39291198000.0,73305245000.0,1735.0,493672.0,0.35,A028050
14,2012-01-20,136208,137143,133091,135896,267049,57936029000,-0.46,-12340371000.0,-477127000.0,-4198051000.0,17015549000.0,6822.0,267049.0,2.55,A028050
15,2012-01-25,137143,139325,135896,138078,273122,60551705000,1.61,-15140330500.0,-1307483000.0,-19912428500.0,36360242000.0,816.0,273122.0,0.3,A028050
16,2012-01-26,139948,140571,134338,134961,257906,56305933000,-2.26,-18084267000.0,-381070500.0,4938614500.0,13526723000.0,798.0,257906.0,0.31,A028050
17,2012-01-27,136208,136208,133091,134026,181182,38921857500,-0.69,-3881221500.0,-834363000.0,5861095500.0,-1145511000.0,803.0,181182.0,0.44,A028050
18,2012-01-30,134338,135273,127792,128104,259036,54273817500,-4.42,-10434627500.0,271781000.0,15942051500.0,-5779205000.0,192.0,259036.0,0.07,A028050
19,2012-01-31,129351,134338,128416,133714,358102,75559715660,4.38,-13596348000.0,-347557000.0,-10091296500.0,24035201500.0,349.0,358102.0,0.1,A028050
20,2012-02-01,132156,140260,130909,140260,425159,92999564500,4.9,16416201500.0,-655310500.0,-33176418500.0,17415527500.0,1389.0,425159.0,0.33,A028050
21,2012-02-02,141506,142130,137455,139325,287710,64902118536,-0.67,-13734305000.0,-785487500.0,-11181758000.0,25701550500.0,7775.0,287710.0,2.7,A028050
22,2012-02-03,139325,140571,135896,138390,223901,49574742500,-0.67,-5450403000.0,617829500.0,40658000.0,4791915500.0,1633.0,223901.0,0.73,A028050
23,2012-02-06,139948,140883,132779,135584,280666,61483197500,-2.03,10068754000.0,-1740389500.0,5194813000.0,-13523177500.0,7744.0,280666.0,2.76,A028050
24,2012-02-07,134961,136831,130597,133714,251583,53628825500,-1.38,-2079008500.0,-198549000.0,16302082500.0,-14024525000.0,659.0,251583.0,0.26,A028050
25,2012-02-08,134649,137143,133714,137143,251062,54661307000,2.56,3872691000.0,152335000.0,-3260389000.0,-764637000.0,1963.0,251062.0,0.78,A028050
26,2012-02-09,137143,138078,134026,137455,265584,58040990500,0.23,-2372964500.0,1536123500.0,14917151000.0,-14080310000.0,740.0,265584.0,0.28,A028050
27,2012-02-10,139013,139013,134338,134649,225305,49039323000,-2.04,-6285464500.0,1154411000.0,14475333000.0,-9344279500.0,945.0,225305.0,0.42,A028050
28,2012-02-13,135584,139013,134961,138078,185918,41135975000,2.55,5482818500.0,-6974500.0,-9214875500.0,3739031500.0,851.0,185918.0,0.46,A028050
29,2012-02-14,139013,140883,137455,140571,259703,58269797000,1.81,5001040500.0,383276500.0,-6694564000.0,1310247000.0,2377.0,259703.0,0.92,A028050
