,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,21400,21600,21300,21600,263300,282680417000,2.08,96491681000.0,5177903000.0,-39939004000.0,-61730580000.0,4994.0,263300.0,1.9,A005930
1,2012-01-03,21860,22100,21840,22100,339046,373085591000,2.31,120746065000.0,-5404547000.0,-129683524000.0,14342006000.0,10698.0,339046.0,3.16,A005930
2,2012-01-04,22100,22200,21500,21600,342389,372043473000,-2.26,-15369700000.0,1958240000.0,22560492000.0,-9149032000.0,6132.0,342389.0,1.79,A005930
3,2012-01-05,21460,21580,21100,21100,346691,368336278288,-2.31,34374351000.0,538044000.0,85901302000.0,-120813697000.0,50308.0,346691.0,14.51,A005930
4,2012-01-06,21120,21320,20600,20800,376753,391885116160,-1.42,-38646486000.0,6927424000.0,134496600000.0,-102777538000.0,4395.0,376753.0,1.17,A005930
5,2012-01-09,20800,20820,20300,20320,387166,394889428788,-2.31,-25438297000.0,4485025000.0,122813355000.0,-101860083000.0,6325.0,387166.0,1.63,A005930
6,2012-01-10,20420,20720,20420,20520,409381,421468696000,0.98,122392566000.0,225779000.0,20954487000.0,-143572832000.0,27213.0,409381.0,6.65,A005930
7,2012-01-11,20340,20480,20280,20420,382904,389817847580,-0.49,-3968606000.0,2491426000.0,55131747000.0,-53654567000.0,1160.0,382904.0,0.3,A005930
8,2012-01-12,20320,20580,20220,20560,371462,378761433000,0.69,16725543000.0,2443064000.0,38564808000.0,-57733415000.0,2779.0,371462.0,0.75,A005930
9,2012-01-13,20560,21000,20520,20920,293017,305291366000,1.75,12892206000.0,646648000.0,-51387642000.0,37848788000.0,1607.0,293017.0,0.55,A005930
10,2012-01-16,20800,20800,20400,20600,232948,239196205000,-1.53,-46385991000.0,-1847373000.0,25704798000.0,22528566000.0,1863.0,232948.0,0.8,A005930
11,2012-01-17,20820,20960,20480,20720,342322,355152027000,0.58,16013265000.0,-6158596000.0,-75898098000.0,66043429000.0,13747.0,342322.0,4.02,A005930
12,2012-01-18,21020,21040,20440,20600,307608,317113618000,-0.58,-88782715000.0,2098597000.0,9969645000.0,76714473000.0,2081.0,307608.0,0.68,A005930
13,2012-01-19,20760,21440,20740,21440,448056,474049879419,4.08,31782356000.0,-4540187000.0,-146242413000.0,119000244000.0,36693.0,448056.0,8.19,A005930
14,2012-01-20,21800,22100,21520,22100,512607,561666930000,3.08,-57631651000.0,-17504141000.0,-238860679000.0,313996471000.0,16287.0,512607.0,3.18,A005930
