,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,47917,48014,47238,47480,271760,13295843700,-0.91,-2963097000.0,87890500.0,2070084000.0,805122500.0,170.0,271760.0,0.06,A016360
1,2012-01-03,47771,49177,47771,48886,408109,20469394600,2.96,2324299800.0,6404700.0,-2291141500.0,-39563000.0,100.0,408109.0,0.02,A016360
2,2012-01-04,49371,49371,48014,48305,341107,17086350250,-1.19,-3838736150.0,-796766750.0,3021631800.0,1613871100.0,73.0,341107.0,0.02,A016360
3,2012-01-05,48498,48498,47868,48305,277485,13766720600,0.0,-1007488200.0,120086000.0,-620038300.0,1507440500.0,30.0,277485.0,0.01,A016360
4,2012-01-06,48305,48353,47286,47529,278168,13641495100,-1.61,-2896680900.0,-350935000.0,3354580900.0,-106965000.0,0.0,278168.0,0.0,A016360
5,2012-01-09,47238,47335,46753,47335,268683,12997482400,-0.41,-4043803100.0,-57986000.0,2854717600.0,1247071500.0,3820.0,268683.0,1.42,A016360
6,2012-01-10,47335,48692,47335,48353,334415,16611707650,2.15,932521900.0,527618000.0,-3527022850.0,2066882950.0,20.0,334415.0,0.01,A016360
7,2012-01-11,48498,48595,47917,48256,227775,11320083150,-0.2,-763355950.0,-215064500.0,190767950.0,787652500.0,140.0,227775.0,0.06,A016360
8,2012-01-12,48256,49759,48208,49468,659212,33483406250,2.51,-51063250.0,381627000.0,-2721166750.0,2390603000.0,2020.0,659212.0,0.31,A016360
9,2012-01-13,49468,50341,49177,49565,441180,22678149400,0.2,968812600.0,109609900.0,-2755288600.0,1676866100.0,465.0,441180.0,0.11,A016360
10,2012-01-16,48983,49177,48256,49080,353154,17709573650,-0.98,-4342452100.0,-225213400.0,3957514750.0,610150750.0,80.0,353154.0,0.02,A016360
11,2012-01-17,49759,52960,49662,52960,1924564,102944234100,7.91,34601564000.0,-303974800.0,-31043619700.0,-3253969500.0,7.0,1924564.0,0.0,A016360
12,2012-01-18,52572,54512,51796,53348,1519311,83527556300,0.73,14463429800.0,919605200.0,-26565672600.0,11182637600.0,5636.0,1519311.0,0.37,A016360
13,2012-01-19,54706,55094,53542,53930,874476,48923100200,1.09,5309413900.0,-350424800.0,-14208138100.0,9249149000.0,1018.0,874476.0,0.12,A016360
14,2012-01-20,54124,56355,53930,55773,1262644,72245602300,3.42,15952808200.0,159720700.0,-18678952600.0,2566423700.0,2809.0,1262644.0,0.22,A016360
15,2012-01-25,55385,56258,54609,54900,794401,45326583500,-1.57,-5611941300.0,-604981200.0,1320507600.0,4896414900.0,6357.0,794401.0,0.8,A016360
16,2012-01-26,55676,56064,54997,55094,500786,28676802300,0.35,638908600.0,542557800.0,-3931718900.0,2750252500.0,3595.0,500786.0,0.72,A016360
17,2012-01-27,55191,58586,54997,58295,1409853,83736110000,5.81,19708355600.0,380789200.0,-22723834100.0,2634689300.0,6482.0,1409853.0,0.46,A016360
18,2012-01-30,58101,60720,57713,59071,1377275,84340729500,1.33,15413238600.0,1402574700.0,-15425438400.0,-1390374900.0,2404.0,1377275.0,0.17,A016360
19,2012-01-31,58392,59750,58004,59459,571764,34790901900,0.66,-401099800.0,-326503100.0,-2350326000.0,3077928900.0,335.0,571764.0,0.06,A016360
20,2012-02-01,59168,61496,58683,60429,877114,54836374700,1.63,12577016000.0,-429938700.0,-15103462800.0,2956385500.0,3200.0,877114.0,0.36,A016360
21,2012-02-02,61690,62272,61302,61399,744609,47376216600,1.61,10603068800.0,21822500.0,-14432493400.0,3807602100.0,6167.0,744609.0,0.83,A016360
22,2012-02-03,61399,63048,60914,61787,575558,36731101000,0.63,898750900.0,770853300.0,-5469849100.0,3800244900.0,582.0,575558.0,0.1,A016360
23,2012-02-06,63048,63921,62369,62563,898109,58381171100,1.26,16740571200.0,-1185227400.0,-11828209400.0,-3727134400.0,3488.0,898109.0,0.39,A016360
24,2012-02-07,63145,63242,59265,60623,1227815,76423920400,-3.1,-10773410700.0,-106237600.0,2675448300.0,8204200000.0,775.0,1227815.0,0.06,A016360
25,2012-02-08,59944,62466,59944,61690,979683,62082854400,1.76,8821071800.0,-72244200.0,-7932054200.0,-816773400.0,5022.0,979683.0,0.51,A016360
26,2012-02-09,60817,61205,59071,61205,1338432,82730826100,-0.79,-12140048600.0,-305632800.0,12252136900.0,193544500.0,1327.0,1338432.0,0.1,A016360
27,2012-02-10,61108,61205,58780,59362,1073974,65953490000,-3.01,-19155166500.0,-269856200.0,12277649400.0,7147373300.0,940.0,1073974.0,0.09,A016360
