,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,39300,39300,38500,39000,56631,2197168800,0.26,-331855000.0,78357000.0,-337404500.0,590902500.0,130.0,56631.0,0.23,A029780
1,2012-01-03,38750,39700,38750,39700,128709,5079252000,1.79,791579700.0,-57052000.0,-3255020700.0,2520493000.0,80.0,128709.0,0.06,A029780
2,2012-01-04,40000,40500,39750,40000,119277,4789706500,0.76,206287000.0,-8415500.0,-1633524500.0,1435653000.0,30.0,119277.0,0.03,A029780
3,2012-01-05,40100,40300,40000,40000,87334,3506078100,0.0,-1258661000.0,-8010000.0,-826232000.0,2092903000.0,0.0,87334.0,0.0,A029780
4,2012-01-06,40000,40100,39650,40050,90341,3611341000,0.13,-918124850.0,-20000000.0,-1246815150.0,2184940000.0,0.0,90341.0,0.0,A029780
5,2012-01-09,40000,40150,39700,40150,290606,11624885650,0.25,-760442550.0,-4019997000.0,-1185397950.0,5965837500.0,700.0,290606.0,0.24,A029780
6,2012-01-10,40200,40550,40000,40000,108803,4370605500,-0.37,1382171000.0,-686768500.0,-154821000.0,-540581500.0,20.0,108803.0,0.02,A029780
7,2012-01-11,40100,40100,39700,40000,203485,8132286750,0.0,-1364578000.0,1994000.0,-515384500.0,1877968500.0,100.0,203485.0,0.05,A029780
8,2012-01-12,40000,40300,39850,40300,145393,5817013500,0.75,-171861500.0,-100005000.0,-538201000.0,810067500.0,20.0,145393.0,0.01,A029780
9,2012-01-13,40000,40200,39950,40100,99110,3971485700,-0.5,641256800.0,0.0,-104891100.0,-536365700.0,210.0,99110.0,0.21,A029780
10,2012-01-16,39950,40000,39600,40000,120813,4804423100,-0.25,-1460122500.0,0.0,-1306320000.0,2766442500.0,60.0,120813.0,0.05,A029780
11,2012-01-17,40000,40600,39950,40200,173525,6970205600,0.5,-104705900.0,110527500.0,-332579600.0,326758000.0,0.0,173525.0,0.0,A029780
12,2012-01-18,40150,40350,40000,40150,147852,5925336050,-0.12,-1437032050.0,72073500.0,1144522000.0,220436550.0,160.0,147852.0,0.11,A029780
13,2012-01-19,40600,41150,40350,40850,209583,8557656900,1.74,-727395250.0,-147516500.0,-213496250.0,1088408000.0,630.0,209583.0,0.3,A029780
14,2012-01-20,40750,41450,40550,41100,209429,8610336200,0.61,-708031300.0,-432527000.0,-74325900.0,1214884200.0,1290.0,209429.0,0.62,A029780
15,2012-01-25,41100,41900,41000,41500,274306,11398842400,0.97,-3432001500.0,-72116000.0,-1605692500.0,5109810000.0,830.0,274306.0,0.3,A029780
