,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,32447,32492,31558,31781,711840,25530518700,-1.52,-3411402250.0,200419700.0,5016880450.0,-1805897900.0,262.0,711840.0,0.04,A068270
1,2012-01-03,31958,32181,31692,31781,712938,25554321350,0.0,-1943807950.0,78330700.0,3151129850.0,-1285652600.0,60734.0,712938.0,8.52,A068270
2,2012-01-04,32003,32403,31692,31781,714486,25680775100,0.0,-775234600.0,202865300.0,-569215450.0,1141584750.0,7350.0,714486.0,1.03,A068270
3,2012-01-05,32225,32314,31292,31380,893898,31970600900,-1.26,-1340739700.0,174229800.0,3396455550.0,-2229945650.0,60511.0,893898.0,6.77,A068270
4,2012-01-06,31558,31603,30403,30669,1088893,37733489800,-2.27,-2914517600.0,-482483100.0,4628405200.0,-1231404500.0,1726.0,1088893.0,0.16,A068270
5,2012-01-09,30669,31114,30180,30803,861537,29562011300,0.43,-1568891450.0,-405312900.0,1341741450.0,632462900.0,80000.0,861537.0,9.29,A068270
6,2012-01-10,30980,31425,30758,30758,717503,25044545700,-0.14,-651725350.0,-493662300.0,226182450.0,919205200.0,11606.0,717503.0,1.62,A068270
7,2012-01-11,30847,30980,30225,30225,769048,26378564600,-1.73,-5138620750.0,-506725500.0,3483240250.0,2162106000.0,40.0,769048.0,0.01,A068270
8,2012-01-12,30136,30847,30136,30447,590681,20271262500,0.74,414841100.0,-20356550.0,-2347974950.0,1953490400.0,5521.0,590681.0,0.93,A068270
9,2012-01-13,30714,32803,30625,32625,2577319,92925524700,7.15,17956378050.0,972073300.0,-25261481050.0,6333029700.0,25450.0,2577319.0,0.99,A068270
10,2012-01-16,32625,32803,31914,32225,956689,34823460450,-1.23,1330580750.0,-36444600.0,-1130864250.0,-163271900.0,20018.0,956689.0,2.09,A068270
11,2012-01-17,32447,32714,32047,32181,1061193,38640588300,-0.14,4230901800.0,5760450.0,-2048877750.0,-2187784500.0,57426.0,1061193.0,5.41,A068270
12,2012-01-18,32981,33558,32803,33070,1977122,73757588850,2.76,-2440359400.0,139519850.0,-5287356950.0,7588196500.0,23335.0,1977122.0,1.18,A068270
13,2012-01-19,33158,33514,32714,32803,1170566,43324324850,-0.81,-1206682700.0,119814800.0,-1270961400.0,2357829300.0,265544.0,1170566.0,22.69,A068270
14,2012-01-20,32892,33425,32758,33070,1016838,37808085650,0.81,4227330200.0,-249978850.0,-5792551850.0,1815200500.0,34350.0,1016838.0,3.38,A068270
15,2012-01-25,33114,33603,32981,33603,1074598,40262471000,1.61,3220324850.0,-496533350.0,-6140813250.0,3417021750.0,102342.0,1074598.0,9.52,A068270
16,2012-01-26,34359,34759,34092,34181,1803355,69810443150,1.72,12361796100.0,-343522250.0,-8842104550.0,-3176169300.0,33240.0,1803355.0,1.84,A068270
17,2012-01-27,34092,34359,33914,34003,674219,25888651350,-0.52,5034538300.0,1018298850.0,-6439174700.0,386337550.0,3521.0,674219.0,0.52,A068270
