,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,39600,39900,38800,39600,612935,24044856750,-0.38,-4121396500.0,12635100.0,3068629700.0,1040131700.0,5120.0,612935.0,0.84,A055550
1,2012-01-03,39650,41350,39650,41350,1062177,43587523950,4.42,15878077000.0,-156125750.0,-20128393350.0,4406442100.0,120.0,1062177.0,0.01,A055550
2,2012-01-04,41000,41500,40200,40550,792094,32284408150,-1.93,5523634900.0,-1128404950.0,-1105812550.0,-3289417400.0,20.0,792094.0,0.0,A055550
3,2012-01-05,40300,40650,39800,40200,754394,30333034050,-0.86,5425262100.0,-238959500.0,1025839900.0,-6212142500.0,100.0,754394.0,0.01,A055550
4,2012-01-06,39750,40000,39000,39650,1018212,40024986750,-1.37,-8233420000.0,2545436900.0,13269553750.0,-7581570650.0,0.0,1018212.0,0.0,A055550
5,2012-01-09,39250,39250,38600,39000,879755,34147931250,-1.64,-10928668000.0,705321500.0,11632092000.0,-1408745500.0,8530.0,879755.0,0.97,A055550
6,2012-01-10,39200,39850,39100,39400,1284533,50821881100,1.03,13039693200.0,21673500.0,-1372421300.0,-11688945400.0,900.0,1284533.0,0.07,A055550
7,2012-01-11,39350,39550,38450,38650,1383058,53595815970,-1.9,4385315350.0,96544000.0,16732958800.0,-21214818150.0,70.0,1383058.0,0.01,A055550
8,2012-01-12,38950,39400,38650,39400,767283,29974566300,1.94,4193843700.0,277670500.0,-3095299400.0,-1376214800.0,50.0,767283.0,0.01,A055550
9,2012-01-13,39050,39850,38900,39650,1681847,66500251550,0.63,19410414150.0,1528404000.0,2267435000.0,-23206253150.0,250.0,1681847.0,0.01,A055550
10,2012-01-16,38800,39100,38450,38800,1051146,40698013700,-2.14,2551544900.0,1715529500.0,12141290500.0,-16408364900.0,0.0,1051146.0,0.0,A055550
11,2012-01-17,39200,41700,39100,41650,3951641,160531245750,7.35,35384855800.0,-1993782750.0,-39244187450.0,5853114400.0,2040.0,3951641.0,0.05,A055550
