,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2019-03-05,15097,16209,14800,15616,3952178,246165256900,3.44,-4627186800.0,-9214973400.0,10904502000.0,2937658200.0,0.0,3952178.0,0.0,A247540
1,2019-03-06,15912,17197,15739,16975,1484460,98263979300,8.7,20432428400.0,-32262908600.0,9910740500.0,1919739700.0,35.0,1484460.0,0.0,A247540
2,2019-03-07,17370,17889,17098,17296,1019641,72305267800,1.89,4605430100.0,-10304526100.0,4973636500.0,725459500.0,14.0,1019641.0,0.0,A247540
3,2019-03-08,17296,17493,16703,17271,472140,32596959300,-0.14,4418108700.0,-9891750400.0,6124567200.0,-650925500.0,0.0,472140.0,0.0,A247540
4,2019-03-11,17197,17370,16332,17098,394610,26878052900,-1.0,-2458394000.0,-358615400.0,993557800.0,1823451600.0,0.0,394610.0,0.0,A247540
5,2019-03-12,17148,17419,16480,16604,335275,22793829100,-2.89,-495284600.0,517897400.0,2114827000.0,-2137439800.0,2000.0,335275.0,0.6,A247540
6,2019-03-13,16579,16604,15789,16307,450481,29414107600,-1.79,1574349900.0,-1992384500.0,97181500.0,320853100.0,0.0,450481.0,0.0,A247540
7,2019-03-14,16555,17469,16332,17296,696862,48110621800,6.06,3126317700.0,-7826351500.0,4529664400.0,170369400.0,0.0,696862.0,0.0,A247540
8,2019-03-15,17320,17592,16406,16900,478728,33015047600,-2.29,649754000.0,-3925936800.0,4011327600.0,-735144800.0,1752.0,478728.0,0.37,A247540
9,2019-03-18,16802,17073,16258,16703,397879,26795672400,-1.17,582941400.0,-4188983900.0,2670231300.0,935811200.0,510.0,397879.0,0.13,A247540
10,2019-03-19,16876,17963,16727,17963,983813,69627921500,7.54,2906569100.0,-15511692800.0,11102425200.0,1502698500.0,110.0,983813.0,0.01,A247540
11,2019-03-20,18086,18284,17395,17642,598601,42986108400,-1.79,-50707900.0,-7390725800.0,6665477400.0,775956300.0,204.0,598601.0,0.03,A247540
12,2019-03-21,17839,18408,17666,18037,632634,46233706700,2.24,2428938700.0,-8391027600.0,4778101900.0,1183987000.0,90.0,632634.0,0.01,A247540
13,2019-03-22,18062,18161,16900,17271,1087240,76202504500,-4.25,17538988100.0,-46582088200.0,30032384200.0,-989284100.0,1.0,1087240.0,0.0,A247540
