,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,8112,8462,8073,8345,92557,982705000,2.38,-311098900.0,2120000.0,289913100.0,19065800.0,0.0,92557.0,0.0,A066970
1,2012-01-03,8539,8617,8229,8500,131149,1423480800,1.86,-285158350.0,2160000.0,304092950.0,-21094600.0,0.0,131149.0,0.0,A066970
2,2012-01-04,8539,8539,8190,8268,88866,950224000,-2.74,-290269050.0,1620000.0,285626350.0,3022700.0,0.0,88866.0,0.0,A066970
3,2012-01-05,8268,8500,8151,8229,133154,1421881300,-0.47,-297872800.0,1590000.0,287127900.0,9154900.0,1100.0,133154.0,0.83,A066970
4,2012-01-06,8268,8345,8073,8229,49341,519801200,0.0,0.0,8465000.0,17801850.0,-26266850.0,0.0,49341.0,0.0,A066970
5,2012-01-09,8229,8306,8073,8151,42956,452276500,-0.94,0.0,-6330150.0,22421450.0,-16091300.0,0.0,42956.0,0.0,A066970
6,2012-01-10,8268,9354,8151,9354,262121,3065539950,14.76,15363050.0,6530000.0,-9208900.0,-12684150.0,1629.0,262121.0,0.62,A066970
7,2012-01-11,9704,9859,9044,9315,495108,6080364900,-0.41,-169227650.0,-7390000.0,230835600.0,-54217950.0,1039.0,495108.0,0.21,A066970
8,2012-01-12,9432,9587,9121,9160,219958,2643480800,-1.67,-606359900.0,11875000.0,598317900.0,-3833000.0,4097.0,219958.0,1.86,A066970
9,2012-01-13,9199,9510,8927,9393,218893,2617799750,2.54,-657908550.0,-5850000.0,623965850.0,39792700.0,415.0,218893.0,0.19,A066970
10,2012-01-16,9315,9471,9083,9315,107244,1288335700,-0.83,0.0,6369000.0,98511550.0,-104880550.0,9122.0,107244.0,8.51,A066970
11,2012-01-17,9432,9820,9277,9548,298794,3678748250,2.5,-482560600.0,32825800.0,449662450.0,72350.0,600.0,298794.0,0.2,A066970
12,2012-01-18,9665,9665,9238,9238,96313,1160728100,-3.25,0.0,-6425700.0,19848650.0,-13422950.0,0.0,96313.0,0.0,A066970
13,2012-01-19,9277,9432,9083,9160,144047,1710359850,-0.84,-402119550.0,3012500.0,400430000.0,-1322950.0,307.0,144047.0,0.21,A066970
14,2012-01-20,9238,9315,8850,9083,122841,1423516500,-0.85,-230242800.0,4127500.0,184122400.0,41992900.0,415.0,122841.0,0.34,A066970
15,2012-01-25,9160,9277,8927,9044,69149,812477100,-0.43,-135241600.0,6648000.0,122967050.0,5626550.0,0.0,69149.0,0.0,A066970
16,2012-01-26,9121,9432,9044,9354,129451,1551340700,3.43,-119507700.0,14803500.0,13893900.0,90810300.0,1200.0,129451.0,0.93,A066970
17,2012-01-27,9432,9587,9238,9393,116794,1415892550,0.41,0.0,13708000.0,12909450.0,-26617450.0,0.0,116794.0,0.0,A066970
18,2012-01-30,9548,10053,9471,9471,318040,3991118750,0.83,-245476850.0,-4512500.0,295320650.0,-45331300.0,2128.0,318040.0,0.67,A066970
19,2012-01-31,9510,9587,9199,9354,110435,1335962100,-1.23,0.0,2989000.0,16801150.0,-19790150.0,1658.0,110435.0,1.5,A066970
20,2012-02-01,9471,9471,8927,9160,144844,1708630550,-2.07,-290714700.0,11258000.0,308054350.0,-28597650.0,2817.0,144844.0,1.94,A066970
21,2012-02-02,9277,9315,8772,8889,162900,1892697500,-2.97,-368506600.0,54954300.0,301597750.0,11954550.0,1606.0,162900.0,0.99,A066970
22,2012-02-03,8927,9199,8850,9044,73178,852008550,1.75,-116767000.0,0.0,119807650.0,-3040650.0,0.0,73178.0,0.0,A066970
23,2012-02-06,9199,9199,8889,8966,86889,1003558050,-0.86,-76422600.0,3862750.0,107636450.0,-35076600.0,2361.0,86889.0,2.72,A066970
24,2012-02-07,9005,9005,8850,8889,67134,771237350,-0.87,-114891000.0,2991000.0,107958700.0,3941300.0,0.0,67134.0,0.0,A066970
25,2012-02-08,8889,9277,8850,9121,85872,1006072600,2.62,-58437500.0,3318500.0,-10652250.0,65771250.0,0.0,85872.0,0.0,A066970
26,2012-02-09,9160,9510,9121,9393,120122,1436786150,2.98,0.0,119000.0,-14396800.0,14277800.0,2796.0,120122.0,2.33,A066970
27,2012-02-10,9393,9626,9315,9393,101392,1237773050,0.0,0.0,1955000.0,4947100.0,-6902100.0,740.0,101392.0,0.73,A066970
28,2012-02-13,9548,9898,9393,9820,193422,2391820800,4.55,0.0,-6811500.0,-7748900.0,14560400.0,2247.0,193422.0,1.16,A066970
29,2012-02-14,9937,9937,9665,9781,95642,1203905950,-0.4,-62889000.0,1518000.0,80785300.0,-19414300.0,110.0,95642.0,0.12,A066970
30,2012-02-15,9781,9820,9587,9704,96368,1206421950,-0.79,-11723150.0,0.0,9754950.0,1968200.0,30.0,96368.0,0.03,A066970
31,2012-02-16,9704,9742,9199,9315,138437,1682583200,-4.0,-122233600.0,0.0,102436600.0,19797000.0,0.0,138437.0,0.0,A066970
32,2012-02-17,9354,9665,9354,9548,95664,1164633700,2.5,-157924750.0,3992000.0,81348050.0,72584700.0,0.0,95664.0,0.0,A066970
33,2012-02-20,9548,10014,9548,9937,169840,2146768750,4.07,-254006250.0,8079000.0,219770900.0,26156350.0,1000.0,169840.0,0.59,A066970
34,2012-02-21,10014,10053,9665,9742,126541,1599137600,-1.95,-63118900.0,1109250.0,181191550.0,-119181900.0,1475.0,126541.0,1.17,A066970
35,2012-02-22,9820,9859,9665,9742,55357,694373350,0.0,-47287000.0,0.0,83116400.0,-35829400.0,2858.0,55357.0,5.16,A066970
36,2012-02-23,9742,9742,9510,9626,54303,671643800,-1.2,0.0,0.0,21831100.0,-21831100.0,1700.0,54303.0,3.13,A066970
37,2012-02-24,9665,10635,9626,10441,294176,3868364850,8.47,0.0,-14682600.0,-11187450.0,25870050.0,246.0,294176.0,0.08,A066970
38,2012-02-27,10402,10480,10014,10014,135430,1776407400,-4.09,0.0,28488200.0,-28011950.0,-476250.0,728.0,135430.0,0.54,A066970
39,2012-02-28,10169,10286,10014,10092,66694,869467000,0.78,0.0,0.0,38233750.0,-38233750.0,2980.0,66694.0,4.47,A066970
40,2012-02-29,10092,10325,10014,10286,49490,648916450,1.92,0.0,0.0,-5699000.0,5699000.0,264.0,49490.0,0.53,A066970
41,2012-03-02,10247,10829,10247,10674,134188,1831665650,3.77,0.0,0.0,68118650.0,-68118650.0,2994.0,134188.0,2.23,A066970
42,2012-03-05,10674,10674,10363,10402,61458,828795100,-2.55,-27778550.0,0.0,18634800.0,9143750.0,1.0,61458.0,0.0,A066970
43,2012-03-06,10402,10596,10092,10325,77926,1033173050,-0.75,0.0,-26084600.0,10606300.0,15478300.0,1000.0,77926.0,1.28,A066970
44,2012-03-07,10092,10519,10014,10402,55200,732231750,0.75,0.0,0.0,-31193900.0,31193900.0,200.0,55200.0,0.36,A066970
45,2012-03-08,10558,10558,10325,10441,44719,600219000,0.37,45555150.0,0.0,-31499400.0,-14055750.0,0.0,44719.0,0.0,A066970
46,2012-03-09,10441,10635,10286,10286,54063,726077500,-1.49,188150.0,0.0,-2803200.0,2615050.0,88.0,54063.0,0.16,A066970
47,2012-03-12,10325,10402,10053,10053,52591,687450950,-2.26,0.0,1000.0,-18966800.0,18965800.0,0.0,52591.0,0.0,A066970
48,2012-03-13,10053,10208,9665,9742,79198,1011917650,-3.09,-43622900.0,0.0,29101000.0,14521900.0,17.0,79198.0,0.02,A066970
49,2012-03-14,9859,9975,9665,9742,73442,924932000,0.0,0.0,-39850650.0,-16286350.0,56137000.0,1160.0,73442.0,1.58,A066970
50,2012-03-15,9742,9859,9471,9626,57552,716757300,-1.2,0.0,0.0,-12866900.0,12866900.0,1831.0,57552.0,3.18,A066970
51,2012-03-16,9937,9937,9626,9665,37660,471809500,0.4,0.0,-37699200.0,20164950.0,17534250.0,0.0,37660.0,0.0,A066970
52,2012-03-19,9704,10092,9704,9781,37740,481245250,1.2,0.0,0.0,39571500.0,-39571500.0,430.0,37740.0,1.14,A066970
53,2012-03-20,10053,10053,9587,9781,39394,494451950,0.0,-75126250.0,0.0,76834950.0,-1708700.0,0.0,39394.0,0.0,A066970
54,2012-03-21,9704,9704,9587,9665,23698,294282650,-1.19,0.0,0.0,18170200.0,-18170200.0,0.0,23698.0,0.0,A066970
55,2012-03-22,9626,9665,9315,9393,56508,691261900,-2.81,0.0,0.0,23158250.0,-23158250.0,177.0,56508.0,0.31,A066970
56,2012-03-23,9199,9393,8811,8966,89023,1036583850,-4.55,-100644150.0,4792200.0,108783700.0,-12931750.0,2610.0,89023.0,2.93,A066970
57,2012-03-26,8850,8927,8617,8656,51748,583960850,-3.46,0.0,-15013800.0,22776300.0,-7762500.0,708.0,51748.0,1.37,A066970
58,2012-03-27,8694,8772,8306,8345,73689,803330550,-3.59,-97455000.0,5420000.0,107017400.0,-14982400.0,1662.0,73689.0,2.26,A066970
59,2012-03-28,8462,8500,8306,8384,41299,446817150,0.47,-176450600.0,-432000.0,172974700.0,3907900.0,298.0,41299.0,0.72,A066970
60,2012-03-29,8578,8578,8035,8190,34662,364532300,-2.31,0.0,5220000.0,27986600.0,-33206600.0,3244.0,34662.0,9.36,A066970
61,2012-03-30,8073,8384,8073,8345,15348,162938750,1.9,0.0,0.0,-1152650.0,1152650.0,988.0,15348.0,6.44,A066970
62,2012-04-02,8423,8811,8423,8539,40081,446254100,2.33,0.0,-16500000.0,15755950.0,744050.0,0.0,40081.0,0.0,A066970
63,2012-04-03,8617,8966,8462,8578,54626,606668650,0.45,-84433200.0,0.0,88383300.0,-3950100.0,0.0,54626.0,0.0,A066970
64,2012-04-04,8617,8656,8306,8462,41481,451360250,-1.36,0.0,2150000.0,-4095750.0,1945750.0,0.0,41481.0,0.0,A066970
65,2012-04-05,8384,8539,8268,8384,21075,227858400,-0.92,0.0,0.0,-593350.0,593350.0,139.0,21075.0,0.66,A066970
66,2012-04-06,8423,8539,8384,8384,15630,169455100,0.0,0.0,0.0,-10307900.0,10307900.0,0.0,15630.0,0.0,A066970
67,2012-04-09,8345,8384,7918,7957,41899,438676100,-5.09,0.0,-5345000.0,21958050.0,-16613050.0,608.0,41899.0,1.45,A066970
68,2012-04-10,7879,8073,7724,7841,34216,346637310,-1.46,0.0,2030000.0,-15137700.0,13107700.0,152.0,34216.0,0.44,A066970
69,2012-04-12,7957,8035,7724,7763,33211,334692930,-0.99,-70244180.0,-9013200.0,89170290.0,-9912910.0,243.0,33211.0,0.73,A066970
70,2012-04-13,7763,8151,7763,7996,30291,311495200,3.0,-123150300.0,0.0,96464250.0,26686050.0,0.0,30291.0,0.0,A066970
