,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2017-07-07,87100,89700,75700,82300,1619864,130558364900,-5.51,-22776805000.0,763359800.0,-9069514900.0,31082960100.0,55788.0,1619864.0,3.44,A271560
1,2017-07-10,82300,88000,81000,88000,840451,71293143300,6.93,-11302052200.0,-3040917100.0,-11927982000.0,26270951300.0,52385.0,840451.0,6.23,A271560
2,2017-07-11,88000,88000,82700,82800,422303,35699357000,-5.91,-8670850000.0,-166563000.0,5683439700.0,3153973300.0,82678.0,422303.0,19.58,A271560
3,2017-07-12,83700,84600,80000,83500,238407,19612081700,0.85,-2255114200.0,4890000.0,-4019856500.0,6270080700.0,26089.0,238407.0,10.94,A271560
4,2017-07-13,83400,84000,80800,81600,218138,17940038900,-2.28,-5358462300.0,-174514900.0,-453158800.0,5986136000.0,29610.0,218138.0,13.57,A271560
5,2017-07-14,81000,83200,80500,81000,195088,15928736000,-0.74,-815550900.0,-39164800.0,-2619490200.0,3474205900.0,39227.0,195088.0,20.11,A271560
6,2017-07-17,81800,83000,80900,82200,141369,11598981300,1.48,963361000.0,2441200.0,-3937299000.0,2971496800.0,27883.0,141369.0,19.72,A271560
7,2017-07-18,82400,83300,81500,83300,165584,13628182100,1.34,-208568300.0,0.0,-3436799700.0,3645368000.0,39981.0,165584.0,24.15,A271560
8,2017-07-19,83400,85100,83200,84600,223083,18831712300,1.56,2234827000.0,11552700.0,-3624400200.0,1378020500.0,121.0,223083.0,0.05,A271560
9,2017-07-20,84600,84900,80000,80500,183151,14858677600,-4.85,-169443700.0,-202493000.0,2717889700.0,-2345953000.0,5958.0,183151.0,3.25,A271560
10,2017-07-21,80500,81700,80200,81200,92821,7506671600,0.87,-1393226400.0,0.0,-1924876300.0,3318102700.0,9120.0,92821.0,9.83,A271560
11,2017-07-24,81900,83000,81300,83000,123728,10187897900,2.22,82243700.0,-67114900.0,-4745646800.0,4730518000.0,16.0,123728.0,0.01,A271560
12,2017-07-25,83400,83800,82600,83300,116806,9728049900,0.36,802827400.0,-496344700.0,-3495599600.0,3189116900.0,16609.0,116806.0,14.22,A271560
13,2017-07-26,83300,85400,83100,85100,121061,10221451500,2.16,740487700.0,22107900.0,-5598738200.0,4836142600.0,7447.0,121061.0,6.15,A271560
14,2017-07-27,85100,85600,84100,84200,68816,5832421600,-1.06,-407298400.0,0.0,-629449300.0,1036747700.0,14631.0,68816.0,21.26,A271560
15,2017-07-28,83700,85500,83300,84800,95657,8112425700,0.71,814560800.0,244480800.0,-3165879700.0,2106838100.0,6075.0,95657.0,6.35,A271560
16,2017-07-31,81800,84500,81800,82100,77011,6374882300,-3.18,-55558100.0,-402653200.0,-1204122800.0,1662334100.0,3017.0,77011.0,3.92,A271560
17,2017-08-01,82500,84900,82400,83500,89377,7464650500,1.71,-167506800.0,-101759300.0,-375904300.0,645170400.0,17527.0,89377.0,19.61,A271560
18,2017-08-02,83100,83600,81900,82900,62216,5132298800,-0.72,-861541500.0,-37295500.0,324753400.0,574083600.0,9528.0,62216.0,15.31,A271560
19,2017-08-03,82000,83800,81000,83700,82484,6833257719,0.97,1535865200.0,-697600.0,-2515726800.0,980559200.0,15647.0,82484.0,18.97,A271560
20,2017-08-04,84500,85300,83800,85300,63572,5400787700,1.91,920388000.0,6815000.0,-2290665300.0,1363462300.0,6034.0,63572.0,9.49,A271560
21,2017-08-07,85600,85800,84300,85600,40097,3425836100,0.35,588593200.0,-129890200.0,-1078326000.0,619623000.0,3544.0,40097.0,8.84,A271560
22,2017-08-08,86000,86000,84600,85000,40475,3453721600,-0.7,-774177800.0,-34000000.0,-363216900.0,1171394700.0,4323.0,40475.0,10.68,A271560
23,2017-08-09,84100,85900,84100,85600,38950,3316675700,0.71,714223200.0,-146660500.0,-1494887800.0,927325100.0,5114.0,38950.0,13.13,A271560
24,2017-08-10,85000,87300,84500,85300,75619,6488063696,-0.35,795073800.0,3311000.0,-970684600.0,172299800.0,9520.0,75619.0,12.59,A271560
25,2017-08-11,85200,86900,84600,86500,60086,5136004700,1.41,989567500.0,-80261900.0,-2118949200.0,1209643600.0,3368.0,60086.0,5.61,A271560
26,2017-08-14,87200,90000,86600,89400,106552,9464612600,3.35,1684792100.0,-554240300.0,-3982067000.0,2851515200.0,12979.0,106552.0,12.18,A271560
27,2017-08-16,89400,98500,89200,95300,239188,22716828200,6.6,1607833600.0,-404900500.0,-7243511300.0,6040578200.0,20224.0,239188.0,8.46,A271560
28,2017-08-17,95200,95200,91000,92200,129941,12146568900,-3.25,-2583182300.0,-238492800.0,1399121400.0,1422553700.0,33038.0,129941.0,25.43,A271560
29,2017-08-18,91900,95800,90900,95400,94515,8921511800,3.47,817065200.0,23927400.0,-2864067700.0,2023075100.0,6601.0,94515.0,6.98,A271560
30,2017-08-21,96400,96400,92400,92500,63817,5990089500,-3.04,-887008400.0,-9460000.0,118961500.0,777506900.0,10124.0,63817.0,15.86,A271560
31,2017-08-22,92700,94800,90800,93600,98102,9154998500,1.19,-886802800.0,-438480000.0,-1216198200.0,2541481000.0,17410.0,98102.0,17.75,A271560
32,2017-08-23,93000,95400,93000,94300,78239,7392755200,0.75,-781943700.0,-40053200.0,-987427500.0,1809424400.0,5604.0,78239.0,7.16,A271560
33,2017-08-24,94400,94800,93100,93900,50476,4736321500,-0.42,990233400.0,0.0,-734833100.0,-255400300.0,7341.0,50476.0,14.54,A271560
34,2017-08-25,93800,93800,91100,92200,60684,5595976300,-1.81,1168790200.0,-184100.0,-238574700.0,-930031400.0,8544.0,60684.0,14.08,A271560
35,2017-08-28,91400,92000,89000,89600,101907,9134148200,-2.82,-1744961400.0,-5040000.0,1746643200.0,3358200.0,11928.0,101907.0,11.7,A271560
36,2017-08-29,89300,91000,89300,90800,74316,6708890000,1.34,-729818600.0,0.0,163146000.0,566672600.0,8796.0,74316.0,11.84,A271560
37,2017-08-30,90300,90800,88600,90300,54611,4893862500,-0.55,161000500.0,0.0,-273663300.0,112662800.0,3186.0,54611.0,5.83,A271560
38,2017-08-31,89700,91400,87300,87300,104709,9324983000,-3.32,533749000.0,-538500.0,76145600.0,-609356100.0,5171.0,104709.0,4.94,A271560
39,2017-09-01,88000,88800,87300,87400,59116,5190339200,0.11,-350708100.0,0.0,494505800.0,-143797700.0,2319.0,59116.0,3.92,A271560
40,2017-09-04,87500,88700,85500,86400,47663,4120956400,-1.14,964283200.0,0.0,-1263031800.0,298748600.0,2663.0,47663.0,5.59,A271560
41,2017-09-05,86900,87600,84300,85200,61294,5239274600,-1.39,565599100.0,0.0,-345575900.0,-220023200.0,1420.0,61294.0,2.32,A271560
42,2017-09-06,85300,88700,85100,86300,103961,9065415000,1.29,1604583100.0,-600.0,-502853900.0,-1101728600.0,8266.0,103961.0,7.95,A271560
43,2017-09-07,86900,87700,85400,86900,47383,4110170528,0.7,146535300.0,0.0,-459829300.0,313294000.0,4731.0,47383.0,9.98,A271560
44,2017-09-08,86200,89000,86200,87300,49147,4308127800,0.46,468642100.0,28560400.0,-766255000.0,269052500.0,6481.0,49147.0,13.19,A271560
45,2017-09-11,88400,92300,88400,91700,98648,9003214400,5.04,2244111400.0,-226667100.0,-2776088900.0,758644600.0,10693.0,98648.0,10.84,A271560
46,2017-09-12,91800,92600,90200,92500,58778,5383995700,0.87,769448800.0,179787500.0,26196400.0,-975432700.0,13613.0,58778.0,23.16,A271560
47,2017-09-13,92100,94500,90400,93300,87262,8132630600,0.86,-565451300.0,-74624500.0,-2137259300.0,2777335100.0,14100.0,87262.0,16.16,A271560
48,2017-09-14,93400,96700,93400,96000,150398,14372028600,2.89,-214022600.0,-372707200.0,-4964327100.0,5551056900.0,12076.0,150398.0,8.03,A271560
49,2017-09-15,96000,96600,95300,96600,135228,13029758700,0.63,943027400.0,-29069700.0,-3676295500.0,2762337800.0,6585.0,135228.0,4.87,A271560
50,2017-09-18,96700,97500,96200,97000,55832,5418911400,0.41,917060700.0,973000.0,-2468922000.0,1550888300.0,3732.0,55832.0,6.68,A271560
51,2017-09-19,96300,97300,95600,97100,70406,6772408000,0.1,-2838337400.0,0.0,-1613216500.0,4451553900.0,6026.0,70406.0,8.56,A271560
52,2017-09-20,97400,98700,96500,97500,87986,8610661700,0.41,651372300.0,196600.0,-3440366100.0,2788797200.0,18494.0,87986.0,21.02,A271560
53,2017-09-21,96200,99400,96100,99100,117504,11555859800,1.64,-3278306100.0,96020100.0,-1997061100.0,5179347100.0,11718.0,117504.0,9.97,A271560
54,2017-09-22,99500,100500,98400,99400,119851,11933200500,0.3,-151652800.0,-9990000.0,-2192245000.0,2353887800.0,12008.0,119851.0,10.02,A271560
55,2017-09-25,99900,100000,95500,95900,96876,9435712500,-3.52,-2140871700.0,-53756600.0,-937774800.0,3132403100.0,13084.0,96876.0,13.51,A271560
56,2017-09-26,95700,99400,94400,99000,88680,8707660600,3.23,498740000.0,8780500.0,-2580664300.0,2073143800.0,6026.0,88680.0,6.8,A271560
57,2017-09-27,98500,99100,96400,98000,53926,5263477300,-1.01,-1045969700.0,-5057200.0,17320900.0,1033706000.0,8495.0,53926.0,15.75,A271560
58,2017-09-28,96300,97700,94000,95100,210687,17359569300,-2.96,-7941849200.0,2842000.0,-809873900.0,8748881100.0,115207.0,210687.0,54.68,A271560
59,2017-09-29,95500,98400,94900,97000,130721,12599409300,2.0,1852299700.0,5790000.0,-815291500.0,-1042798200.0,1129.0,130721.0,0.86,A271560
60,2017-10-10,94700,96000,94200,95000,121490,11524738800,-2.06,-769068000.0,-30715800.0,872399800.0,-72616000.0,8556.0,121490.0,7.04,A271560
61,2017-10-11,93400,94700,90500,91000,161332,14747935400,-4.21,-5538986300.0,0.0,2157530600.0,3381455700.0,10492.0,161332.0,6.5,A271560
62,2017-10-12,90600,94000,90600,94000,94760,8752858800,3.3,-903554100.0,0.0,-1829756000.0,2733310100.0,4977.0,94760.0,5.25,A271560
63,2017-10-13,92800,95300,92300,94300,58961,5519192900,0.32,-25709600.0,-122810800.0,-860110900.0,1008631300.0,4088.0,58961.0,6.93,A271560
64,2017-10-16,93500,95200,92400,94800,41409,3895924000,0.53,-520031000.0,0.0,-149149300.0,669180300.0,3880.0,41409.0,9.37,A271560
65,2017-10-17,93800,95100,92800,93800,40727,3804585600,-1.05,-1465113800.0,8810500.0,632062300.0,824241000.0,857.0,40727.0,2.1,A271560
66,2017-10-18,93800,94000,93000,93800,31656,2955657300,0.0,46573600.0,-6990000.0,-217026000.0,177442400.0,250.0,31656.0,0.79,A271560
67,2017-10-19,93700,94000,92600,93000,43544,4063762300,-0.85,134659500.0,0.0,222995500.0,-357655000.0,85.0,43544.0,0.2,A271560
68,2017-10-20,92100,95100,92100,94700,75668,7140404900,1.83,942408600.0,0.0,-1210528900.0,268120300.0,7131.0,75668.0,9.42,A271560
69,2017-10-23,93300,95500,92500,93100,68072,6351707100,-1.69,280100300.0,0.0,727128200.0,-1007228500.0,2428.0,68072.0,3.57,A271560
70,2017-10-24,92600,95700,92600,95600,62675,5939629500,2.69,103149300.0,0.0,-1664218000.0,1561068700.0,1838.0,62675.0,2.93,A271560
71,2017-10-25,94400,95600,93500,94600,58262,5498037500,-1.05,593747500.0,0.0,124673300.0,-718420800.0,5618.0,58262.0,9.64,A271560
72,2017-10-26,94000,102000,94000,100500,241723,24107974100,6.24,5838612900.0,-86820100.0,-7812132400.0,2060339600.0,4536.0,241723.0,1.88,A271560
73,2017-10-27,99800,103500,99800,100500,243765,24612176200,0.0,2530061500.0,-13671000.0,-1397127400.0,-1119263100.0,5646.0,243765.0,2.32,A271560
74,2017-10-30,100500,107000,100000,105500,146117,15276769000,4.98,1195347000.0,-66638500.0,-4106358500.0,2977650000.0,4222.0,146117.0,2.89,A271560
75,2017-10-31,106000,108500,103000,106000,105842,11215779000,0.47,-332712500.0,-70853500.0,-1674412000.0,2077978000.0,3692.0,105842.0,3.49,A271560
