,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,19636,19636,18943,19636,14695,1834686500,0.0,-55244500.0,24675000.0,84383000.0,-53813500.0,21.0,14695.0,0.14,A000100
1,2012-01-03,19328,19790,19328,19559,21598,2734622000,-0.39,1294965000.0,0.0,-170481000.0,-1124484000.0,3113.0,21598.0,14.41,A000100
2,2012-01-04,19790,19790,19482,19790,8549,1094671000,1.18,482626000.0,0.0,-668700000.0,186074000.0,262.0,8549.0,3.06,A000100
3,2012-01-05,19636,20252,19559,20175,17696,2299212020,1.95,928502000.0,-71425000.0,-1048354500.0,191277500.0,165.0,17696.0,0.93,A000100
4,2012-01-06,20329,20329,19559,19713,15026,1923278500,-2.29,-202344000.0,0.0,309152000.0,-106808000.0,182.0,15026.0,1.21,A000100
5,2012-01-09,19713,19867,19174,19251,20084,2522127500,-2.34,-340973000.0,-7279000.0,501026000.0,-152774000.0,247.0,20084.0,1.23,A000100
6,2012-01-10,19482,20021,19405,19790,26417,3395201000,2.8,1337397000.0,0.0,-563796000.0,-773601000.0,0.0,26417.0,0.0,A000100
7,2012-01-11,19790,20175,19636,20175,17146,2220326500,1.95,1045723000.0,258500.0,-639177000.0,-406804500.0,513.0,17146.0,2.99,A000100
8,2012-01-12,20329,20560,19867,20560,15813,2089946000,1.91,1193006500.0,0.0,-1204148500.0,11142000.0,343.0,15813.0,2.17,A000100
9,2012-01-13,20252,20637,20021,20637,15898,2122860500,0.37,1005096500.0,0.0,-1063974500.0,58878000.0,781.0,15898.0,4.91,A000100
10,2012-01-16,20483,20483,20021,20098,16973,2237515500,-2.61,957092000.0,0.0,42288500.0,-999380500.0,696.0,16973.0,4.1,A000100
11,2012-01-17,20252,20637,20252,20637,22104,2954720000,2.68,2072136000.0,0.0,-886934500.0,-1185201500.0,0.0,22104.0,0.0,A000100
12,2012-01-18,20406,20560,20175,20483,13253,1759153500,-0.75,50878000.0,0.0,84701500.0,-135579500.0,12.0,13253.0,0.09,A000100
13,2012-01-19,20483,20714,20406,20483,24602,3288134500,0.0,380809000.0,-12735000.0,-340914500.0,-27159500.0,690.0,24602.0,2.8,A000100
14,2012-01-20,20406,20791,20329,20791,23081,3092071500,1.5,398478000.0,-3079500.0,-1120059500.0,724661000.0,282.0,23081.0,1.22,A000100
15,2012-01-25,20560,21099,20560,20868,21205,2891168000,0.37,109997000.0,0.0,-1009063000.0,899066000.0,724.0,21205.0,3.41,A000100
16,2012-01-26,20791,21099,20714,20714,14601,1987672000,-0.74,428008500.0,-682500.0,-168125500.0,-259200500.0,377.0,14601.0,2.58,A000100
17,2012-01-27,20714,21022,20483,20945,15555,2101553500,1.12,92402500.0,0.0,-712659500.0,620257000.0,6.0,15555.0,0.04,A000100
18,2012-01-30,20791,20868,20406,20714,10197,1367942500,-1.1,158138500.0,0.0,-69244500.0,-88894000.0,710.0,10197.0,6.96,A000100
19,2012-01-31,20791,21022,20560,20714,20057,2698556500,0.0,84250000.0,-945500.0,-364576000.0,281271500.0,899.0,20057.0,4.48,A000100
20,2012-02-01,20560,20791,20329,20560,14562,1943898000,-0.74,-826536500.0,-667500.0,201858500.0,625345500.0,728.0,14562.0,5.0,A000100
21,2012-02-02,20406,20945,20406,20637,15348,2065894500,0.37,-183764500.0,0.0,-516990000.0,700754500.0,287.0,15348.0,1.87,A000100
22,2012-02-03,20637,20945,20329,20945,10672,1432446500,1.49,158321500.0,0.0,-574312500.0,415991000.0,0.0,10672.0,0.0,A000100
23,2012-02-06,20791,21099,20637,21099,13827,1880376000,0.74,310049500.0,536500.0,-1265667500.0,955081500.0,299.0,13827.0,2.16,A000100
24,2012-02-07,21099,21484,20868,20945,18991,2624281707,-0.73,-36305500.0,0.0,-733490000.0,769795500.0,1252.0,18991.0,6.59,A000100
25,2012-02-08,20945,21099,20714,20791,10333,1401213000,-0.74,-144349000.0,0.0,-66598500.0,210947500.0,174.0,10333.0,1.68,A000100
26,2012-02-09,20714,20791,20329,20560,16383,2180578500,-1.11,-120750500.0,0.0,526231000.0,-405480500.0,517.0,16383.0,3.16,A000100
27,2012-02-10,20406,20406,19944,19944,20056,2615237000,-3.0,-64367000.0,0.0,803276000.0,-738909000.0,885.0,20056.0,4.41,A000100
28,2012-02-13,19944,20329,19944,19944,10556,1382424500,0.0,255187500.0,0.0,-171098500.0,-84089000.0,160.0,10556.0,1.52,A000100
29,2012-02-14,19867,19867,19482,19559,19245,2450515000,-1.93,-428049500.0,0.0,1000912500.0,-572863000.0,427.0,19245.0,2.22,A000100
30,2012-02-15,19559,20021,19559,19944,10524,1358241000,1.97,278609500.0,-6993000.0,-143151500.0,-128465000.0,427.0,10524.0,4.06,A000100
31,2012-02-16,19636,19867,19482,19713,11366,1449396500,-1.16,-20833500.0,0.0,529825500.0,-508992000.0,201.0,11366.0,1.77,A000100
32,2012-02-17,19636,19790,19328,19559,15901,2019406000,-0.78,-283269000.0,127000.0,280094500.0,3047500.0,112.0,15901.0,0.7,A000100
33,2012-02-20,19405,19790,19251,19328,15717,1972892000,-1.18,-24508000.0,0.0,496040000.0,-471532000.0,300.0,15717.0,1.91,A000100
34,2012-02-21,19251,19405,19020,19097,14491,1807370500,-1.2,-570240500.0,0.0,873892000.0,-303651500.0,383.0,14491.0,2.64,A000100
35,2012-02-22,19097,19174,18404,19020,30373,3720377500,-0.4,59729500.0,365405500.0,263257500.0,-688392500.0,736.0,30373.0,2.42,A000100
36,2012-02-23,19020,19251,18789,19251,14698,1818866000,1.21,570205000.0,0.0,-219677000.0,-350528000.0,315.0,14698.0,2.14,A000100
37,2012-02-24,19251,19251,18712,18789,16962,2080328000,-2.4,-321991000.0,0.0,602144500.0,-280153500.0,209.0,16962.0,1.23,A000100
38,2012-02-27,18789,18866,18481,18712,11790,1432446000,-0.41,128636000.0,0.0,129350000.0,-257986000.0,67.0,11790.0,0.57,A000100
39,2012-02-28,18635,18789,18481,18481,10952,1321425000,-1.23,-427205500.0,0.0,474506000.0,-47300500.0,18.0,10952.0,0.16,A000100
40,2012-02-29,18404,18635,18250,18404,25044,2995320000,-0.42,-740836000.0,0.0,797619000.0,-56783000.0,123.0,25044.0,0.49,A000100
41,2012-03-02,18481,19097,18327,18558,29105,3545076000,0.84,-575123500.0,0.0,-72005500.0,647129000.0,701.0,29105.0,2.41,A000100
42,2012-03-05,18481,18481,17942,18096,15966,1884890000,-2.49,-11357000.0,-236000.0,786975000.0,-775382000.0,0.0,15966.0,0.0,A000100
43,2012-03-06,18096,18481,18096,18096,21428,2555788500,0.0,622554000.0,119615000.0,-337497500.0,-404671500.0,852.0,21428.0,3.98,A000100
44,2012-03-07,18096,18327,17711,17788,20163,2346106000,-1.7,-378975000.0,11600000.0,838698000.0,-471323000.0,963.0,20163.0,4.78,A000100
45,2012-03-08,17788,17865,17249,17403,48671,5513212500,-2.16,-313227500.0,40822500.0,1758662500.0,-1486257500.0,119.0,48671.0,0.24,A000100
46,2012-03-09,17557,17942,17403,17865,13752,1577282000,2.65,162382000.0,-346500.0,-238489000.0,76453500.0,0.0,13752.0,0.0,A000100
47,2012-03-12,17634,17942,17403,17865,13932,1599185500,0.0,197972000.0,0.0,67301000.0,-265273000.0,227.0,13932.0,1.63,A000100
48,2012-03-13,18019,18250,18019,18173,16663,1960503000,1.72,759632000.0,-20800500.0,-683681000.0,-55150500.0,1265.0,16663.0,7.59,A000100
49,2012-03-14,18404,18481,18096,18327,19866,2364369000,0.85,-45213500.0,0.0,-365501000.0,410714500.0,863.0,19866.0,4.34,A000100
50,2012-03-15,18250,18558,18173,18481,32707,3921466000,0.84,2150524000.0,-12000000.0,-634063500.0,-1504460500.0,763.0,32707.0,2.33,A000100
51,2012-03-16,18327,18481,18096,18481,18795,2239360000,0.0,612050500.0,0.0,-538565000.0,-73485500.0,2565.0,18795.0,13.65,A000100
52,2012-03-19,18250,18481,18173,18481,12324,1470332000,0.0,288563000.0,0.0,-208384000.0,-80179000.0,863.0,12324.0,7.0,A000100
53,2012-03-20,18327,18481,18173,18250,11038,1311747000,-1.25,170685500.0,-119829500.0,146208500.0,-197064500.0,2166.0,11038.0,19.62,A000100
54,2012-03-21,18173,18327,17942,18019,13809,1627019000,-1.27,327606000.0,-236207000.0,-44280500.0,-47118500.0,3045.0,13809.0,22.05,A000100
55,2012-03-22,18250,18250,17942,18019,8713,1025580500,0.0,382922500.0,-177000000.0,-152898000.0,-53024500.0,1656.0,8713.0,19.01,A000100
56,2012-03-23,18250,18404,18096,18096,10900,1290356500,0.43,-26070000.0,0.0,-87158500.0,113228500.0,266.0,10900.0,2.44,A000100
57,2012-03-26,18096,18404,17788,18327,15323,1803979000,1.28,146717000.0,235000.0,-134397500.0,-12554500.0,301.0,15323.0,1.96,A000100
58,2012-03-27,18404,18481,18019,18019,10953,1294429000,-1.68,118756000.0,-58995000.0,-162128500.0,102367500.0,770.0,10953.0,7.03,A000100
59,2012-03-28,18019,18250,17865,18173,10108,1186240000,0.85,293553000.0,0.0,-209038500.0,-84514500.0,545.0,10108.0,5.39,A000100
60,2012-03-29,18096,18327,17865,18327,14178,1671271000,0.85,263195500.0,-708000.0,-333883500.0,71396000.0,220.0,14178.0,1.55,A000100
61,2012-03-30,18404,18404,18096,18173,16877,2000312000,-0.84,89189500.0,0.0,172103500.0,-261293000.0,3137.0,16877.0,18.59,A000100
62,2012-04-02,18096,18635,18096,18096,19228,2292422000,-0.42,99544500.0,480000000.0,-197571500.0,-381973000.0,2561.0,19228.0,13.32,A000100
63,2012-04-03,18173,18481,18096,18481,21932,2611125500,2.13,565095000.0,0.0,-370600500.0,-194494500.0,7897.0,21932.0,36.01,A000100
64,2012-04-04,18481,18481,18250,18327,14736,1758367500,-0.83,557142000.0,0.0,-297045000.0,-260097000.0,3104.0,14736.0,21.06,A000100
65,2012-04-05,18481,18481,18096,18173,11628,1378912500,-0.84,69479000.0,-14787500.0,-91690500.0,36999000.0,2613.0,11628.0,22.47,A000100
66,2012-04-06,18250,18250,17865,17942,8011,937471000,-1.27,-194393000.0,0.0,222789500.0,-28396500.0,846.0,8011.0,10.56,A000100
67,2012-04-09,18096,18096,17480,17634,11467,1314187000,-1.72,-40053500.0,115000.0,166202500.0,-126264000.0,2052.0,11467.0,17.89,A000100
68,2012-04-10,17557,18173,17480,18173,16157,1874680000,3.06,681379000.0,0.0,-626534000.0,-54845000.0,3510.0,16157.0,21.72,A000100
