,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,24382,25088,24181,24926,95726,11768463900,3.08,590039800.0,-308038300.0,-94607500.0,-187394000.0,2.0,95726.0,0.0,A035720
1,2012-01-03,24987,25652,24826,25612,104827,13232434700,2.75,-537418000.0,-37334600.0,-4505057800.0,5079810400.0,22.0,104827.0,0.02,A035720
2,2012-01-04,25612,25612,25027,25088,93494,11713124600,-2.05,-2411739100.0,-1314515100.0,1361073000.0,2365181200.0,17.0,93494.0,0.02,A035720
3,2012-01-05,25370,25853,25148,25309,76121,9637941500,0.88,-24150900.0,42752500.0,42218700.0,-60820300.0,51.0,76121.0,0.07,A035720
4,2012-01-06,25390,25672,24584,24584,46053,5713338500,-2.87,-895308000.0,30030800.0,993600000.0,-128322800.0,107.0,46053.0,0.23,A035720
5,2012-01-09,24584,25370,24261,25229,83724,10440400900,2.62,4290086200.0,-207245500.0,-2172746400.0,-1910094300.0,420.0,83724.0,0.5,A035720
6,2012-01-10,25491,26478,25491,26478,156554,20242270700,4.95,11302749600.0,82775500.0,-5552370400.0,-5833154700.0,1090.0,156554.0,0.7,A035720
7,2012-01-11,26458,26941,25914,26599,84066,11111789100,0.46,3581402500.0,-75966400.0,-4776165100.0,1270729000.0,1954.0,84066.0,2.32,A035720
8,2012-01-12,26418,26458,26055,26095,68560,8907003753,-1.89,-2765541700.0,458505900.0,-521505800.0,2828541600.0,1.0,68560.0,0.0,A035720
9,2012-01-13,25934,26035,25188,25249,124383,15754249100,-3.24,-7600614800.0,13764000.0,2639857600.0,4946993200.0,9.0,124383.0,0.01,A035720
10,2012-01-16,25269,26196,25269,26035,77037,9897155400,3.11,4445411200.0,-77647300.0,-4451999500.0,84235600.0,0.0,77037.0,0.0,A035720
11,2012-01-17,26498,26800,26236,26700,63595,8423554000,2.55,1836868700.0,-256655000.0,-4241180000.0,2660966300.0,369.0,63595.0,0.58,A035720
12,2012-01-18,26760,26760,26055,26397,67716,8907603300,-1.13,4151284900.0,-127214900.0,-785571500.0,-3238498500.0,61.0,67716.0,0.09,A035720
13,2012-01-19,26740,26760,26055,26397,70104,9187784700,0.0,1832746000.0,-74308800.0,-1106531000.0,-651906200.0,2874.0,70104.0,4.1,A035720
14,2012-01-20,26659,26659,25591,25773,138539,17732318300,-2.37,-7372662600.0,-252421300.0,3800455600.0,3824628300.0,627.0,138539.0,0.45,A035720
15,2012-01-25,25894,25894,25309,25329,132331,16700387900,-1.72,-5796996800.0,-55970200.0,5356717000.0,496250000.0,0.0,132331.0,0.0,A035720
16,2012-01-26,25350,25934,25350,25692,60287,7701954400,1.43,1161502700.0,134453000.0,-1965647700.0,669692000.0,1.0,60287.0,0.0,A035720
17,2012-01-27,25591,26317,25571,25994,82876,10713904500,1.18,4138249500.0,-27663800.0,-2536501600.0,-1574084100.0,430.0,82876.0,0.52,A035720
18,2012-01-30,26015,26659,26015,26438,98032,12873171800,1.71,4699406800.0,-221698000.0,-5609854200.0,1132145400.0,104.0,98032.0,0.11,A035720
19,2012-01-31,26438,26800,26115,26579,143038,18840413900,0.53,961540100.0,-173099600.0,-2979761100.0,2191320600.0,1464.0,143038.0,1.02,A035720
20,2012-02-01,26337,26518,25934,26035,60816,7900118000,-2.05,-2422070000.0,58160700.0,2927451300.0,-563542000.0,1064.0,60816.0,1.75,A035720
21,2012-02-02,26196,26196,24846,25007,249589,31220300600,-3.95,-11296852200.0,-1484881200.0,13729662500.0,-947929100.0,1815.0,249589.0,0.73,A035720
22,2012-02-03,25108,25269,24362,24644,202851,24826091200,-1.45,-686545000.0,-235003500.0,5838203300.0,-4916654800.0,77.0,202851.0,0.04,A035720
23,2012-02-06,24785,24785,22992,23073,365604,42720206800,-6.38,-11678600600.0,-135151900.0,11591019600.0,222732900.0,8371.0,365604.0,2.29,A035720
