,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2020-09-10,48000,62400,48000,62400,561750,35028245500,30.0,-6292012800.0,-7106040000.0,19604798400.0,-6206745600.0,0.0,561750.0,0.0,A293490
1,2020-09-11,81100,81100,81100,81100,5013124,406563945000,29.97,-63752142300.0,-73194453100.0,168411530100.0,-31464934700.0,0.0,5013124.0,0.0,A293490
2,2020-09-14,86500,89100,73400,73800,20213705,1634549354100,-9.0,-48509633700.0,-33864489600.0,170834381200.0,-88460257900.0,0.0,20213705.0,0.0,A293490
3,2020-09-15,69900,71200,67100,67500,8309414,571735411600,-8.54,-2516127500.0,13260500.0,6991840300.0,-4488973300.0,0.0,8309414.0,0.0,A293490
4,2020-09-16,66200,69500,65400,66300,5054826,341766014500,-1.78,-1238077900.0,-190501900.0,2721587000.0,-1293007200.0,0.0,5054826.0,0.0,A293490
5,2020-09-17,67000,67800,64600,64600,2373993,156469644300,-2.56,-3548198800.0,158151700.0,2293969900.0,1096077200.0,0.0,2373993.0,0.0,A293490
6,2020-09-18,65400,65700,62800,63400,1914512,121975407300,-1.86,-99445000.0,262702900.0,1292716000.0,-1455973900.0,0.0,1914512.0,0.0,A293490
7,2020-09-21,63400,63400,59000,59500,2796724,169754651500,-6.15,77140300.0,644342400.0,-732213600.0,10730900.0,0.0,2796724.0,0.0,A293490
8,2020-09-22,59400,59400,55700,55800,2177965,123916193600,-6.22,-179584000.0,-253141000.0,150317400.0,282407600.0,0.0,2177965.0,0.0,A293490
9,2020-09-23,56500,58500,55700,55800,2348911,133767176200,0.0,-100215900.0,292647700.0,560947500.0,-753379300.0,0.0,2348911.0,0.0,A293490
10,2020-09-24,54100,54700,51200,51200,1817508,95666797800,-8.24,-34190600.0,-724548700.0,1825634300.0,-1066895000.0,0.0,1817508.0,0.0,A293490
11,2020-09-25,51800,52700,50000,50200,1460915,74647958100,-1.95,-5940973800.0,25059400.0,6192635000.0,-276720600.0,0.0,1460915.0,0.0,A293490
12,2020-09-28,51000,52300,50300,51200,1175400,60236150700,1.99,589156400.0,213472600.0,-859412800.0,56783800.0,0.0,1175400.0,0.0,A293490
13,2020-09-29,51900,59000,51600,56200,5973601,337143904100,9.77,537078400.0,77146600.0,-63066300.0,-551158700.0,0.0,5973601.0,0.0,A293490
14,2020-10-05,55400,55700,53500,54200,1084588,58878552500,-3.56,-300954900.0,-523605000.0,1226023600.0,-401463700.0,0.0,1084588.0,0.0,A293490
