,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-11-03,180000,230000,173000,193000,11799881,2236488450500,7.22,307035033500.0,-6590494500.0,-103430724500.0,-197013814500.0,1200.0,11799881.0,0.01,A377300
1,2021-11-04,190000,191000,166000,169000,3487030,621079664500,-12.44,64228088500.0,-215646500.0,42200279000.0,-106212721000.0,1249.0,3487030.0,0.04,A377300
2,2021-11-05,167500,179000,167500,170000,1597937,277788690000,0.59,16501616500.0,670266500.0,-35260367500.0,18088484500.0,473.0,1597937.0,0.03,A377300
3,2021-11-08,168500,169500,152000,153500,1394625,218036633000,-9.71,3563225000.0,-175800000.0,4283423000.0,-7670848000.0,834.0,1394625.0,0.06,A377300
4,2021-11-09,153500,157500,146000,147000,892617,134365354500,-4.23,5270287500.0,621690500.0,1542206500.0,-7434184500.0,564.0,892617.0,0.06,A377300
5,2021-11-10,148000,153500,147000,150500,615031,92701655000,2.38,8853421000.0,25128500.0,-15837500000.0,6958950500.0,121.0,615031.0,0.02,A377300
6,2021-11-11,148000,150000,140000,145500,768779,110269883500,-3.32,-7478871500.0,-7848500.0,-58655500.0,7545375500.0,44.0,768779.0,0.01,A377300
7,2021-11-12,146000,158000,146000,157500,705982,107361532000,8.25,7275554000.0,238616000.0,-31862974500.0,24348804500.0,1044.0,705982.0,0.15,A377300
8,2021-11-15,157500,166000,155000,163000,472684,76079568000,3.49,6914881500.0,146867500.0,-15194187000.0,8132438000.0,76.0,472684.0,0.02,A377300
9,2021-11-16,163500,170000,160000,166500,497032,82289573500,2.15,12093730000.0,-1037769500.0,-13299349000.0,2243388500.0,71.0,497032.0,0.01,A377300
10,2021-11-17,170000,174000,167500,171000,575581,98294617000,2.7,20148244000.0,264490000.0,-2139735000.0,-18272999000.0,15.0,575581.0,0.0,A377300
11,2021-11-18,171000,173500,165000,172500,274048,46632665000,0.88,8066425500.0,20604500.0,-12016613000.0,3929583000.0,14.0,274048.0,0.01,A377300
12,2021-11-19,172000,176500,169500,173500,302251,52383563000,0.58,18771490500.0,42078500.0,-16148791000.0,-2664778000.0,16.0,302251.0,0.01,A377300
13,2021-11-22,172500,173000,166000,170000,216939,36760713000,-2.02,4405734000.0,-46732000.0,-6288083000.0,1929081000.0,2554.0,216939.0,1.18,A377300
14,2021-11-23,167500,177000,167000,177000,388843,67501573500,4.12,10624146000.0,-193442500.0,-25494627000.0,15063923500.0,1060.0,388843.0,0.27,A377300
15,2021-11-24,178500,188000,177000,183000,694628,127646453500,3.39,26437918500.0,-519707000.0,-35459476000.0,9541264500.0,152.0,694628.0,0.02,A377300
16,2021-11-25,185500,229500,183000,216500,2164946,440194460000,18.31,39712878000.0,11213752500.0,-73434457500.0,22507827000.0,0.0,2164946.0,0.0,A377300
17,2021-11-26,213000,243500,207000,222500,3201357,727451783500,2.77,55586545500.0,1994081000.0,-46412541000.0,-11168085500.0,31.0,3201357.0,0.0,A377300
18,2021-11-29,221000,240000,216000,238500,1259486,292558190000,7.19,37924977500.0,-802570000.0,-47862620500.0,10740213000.0,677.0,1259486.0,0.05,A377300
19,2021-11-30,240500,248500,216500,218000,1395664,319918894500,-8.6,8558447000.0,-850007500.0,-11181388500.0,3472949000.0,782.0,1395664.0,0.06,A377300
20,2021-12-01,221000,229500,203500,207500,1100138,234509248000,-4.82,-24154259000.0,243126000.0,3073158000.0,20837975000.0,45.0,1100138.0,0.0,A377300
21,2021-12-02,204000,214500,198000,208000,692763,143074362500,0.24,9410512500.0,-196800500.0,-16409904000.0,7196192000.0,22.0,692763.0,0.0,A377300
22,2021-12-03,201000,206000,197000,204500,1076728,216637114000,-1.68,-14739698500.0,-6178212000.0,52358298500.0,-31440388000.0,0.0,1076728.0,0.0,A377300
23,2021-12-06,200500,205000,194500,201500,582451,116736229500,-1.47,15117639000.0,-1465538500.0,-8432543000.0,-5219557500.0,79.0,582451.0,0.01,A377300
24,2021-12-07,201500,204000,193500,194500,507608,99775240000,-3.47,1660701500.0,-5857740000.0,-2696462500.0,6893501000.0,35.0,507608.0,0.01,A377300
25,2021-12-08,195500,203000,190000,202000,726919,144061863500,3.86,7921303000.0,-6459623500.0,-12769447000.0,11307767500.0,255.0,726919.0,0.04,A377300
26,2021-12-09,199000,216000,199000,208500,1752401,367610840500,3.22,101378475000.0,-1990918500.0,-23834912500.0,-75552644000.0,18726.0,1752401.0,1.07,A377300
27,2021-12-10,195000,200000,193500,196000,2217271,445493526968,-6.0,161907434172.0,478016000.0,-124796041172.0,-37589409000.0,87677.0,2217271.0,3.95,A377300
28,2021-12-13,192000,194500,187000,190000,662983,126563555500,-3.06,20890206000.0,768611000.0,-20852802500.0,-806014500.0,50399.0,662983.0,7.6,A377300
29,2021-12-14,188000,192500,175500,178500,598053,110291095000,-6.05,6269378000.0,1722850000.0,2859098500.0,-10851326500.0,75762.0,598053.0,12.67,A377300
30,2021-12-15,177500,183000,177000,180000,369689,66569892500,0.84,4270969500.0,-294418500.0,-10289603500.0,6313052500.0,60098.0,369689.0,16.26,A377300
31,2021-12-16,182500,186000,182000,184500,297229,54846227500,2.5,8129279000.0,-832253500.0,-13818490000.0,6521464500.0,24965.0,297229.0,8.4,A377300
32,2021-12-17,182000,184000,173000,177000,502516,88479868500,-4.07,-790505500.0,593016500.0,16281372500.0,-16083883500.0,35246.0,502516.0,7.01,A377300
33,2021-12-20,175500,176000,171000,172500,246385,42610001000,-2.54,1764617000.0,383272500.0,-7681204500.0,5533315000.0,9122.0,246385.0,3.7,A377300
34,2021-12-21,173500,176000,170500,171000,161986,27948274500,-0.87,433840000.0,226284000.0,916033000.0,-1576157000.0,8203.0,161986.0,5.06,A377300
35,2021-12-22,172000,173500,166000,167500,255618,43231025000,-2.05,-4966538500.0,95194500.0,87130000.0,4784214000.0,6243.0,255618.0,2.44,A377300
36,2021-12-23,168500,175500,165000,174500,385455,66156321500,4.18,4742104000.0,-143856000.0,-14923526500.0,10325278500.0,11552.0,385455.0,3.0,A377300
37,2021-12-24,174500,175500,169000,169000,230914,39477085000,-3.15,-89324500.0,1255575000.0,11245812000.0,-12412062500.0,10590.0,230914.0,4.59,A377300
38,2021-12-27,169500,171500,168000,168500,152906,25889620500,-0.3,-6755070500.0,16593500.0,733549000.0,6004928000.0,5384.0,152906.0,3.52,A377300
39,2021-12-28,170000,181500,169500,181500,514305,91095915000,7.72,20234060500.0,-622834500.0,-35776804000.0,16165578000.0,20855.0,514305.0,4.05,A377300
40,2021-12-29,179500,183500,176500,176500,248828,44584294500,-2.75,-7853743500.0,-149638000.0,7783205500.0,220176000.0,19818.0,248828.0,7.96,A377300
41,2021-12-30,176500,179000,172000,174500,363144,63359837500,-1.13,-9455668500.0,49462500.0,5762668500.0,3643537500.0,20869.0,363144.0,5.75,A377300
42,2022-01-03,174500,178000,173500,176500,238214,41779682000,1.15,-14300840500.0,-3192534000.0,-2030423000.0,19523797500.0,9900.0,238214.0,4.16,A377300
43,2022-01-04,175000,175500,168000,169000,320863,54524048000,-4.25,-17873626500.0,568811500.0,18680372500.0,-1375557500.0,28112.0,320863.0,8.76,A377300
44,2022-01-05,168000,168000,156000,158000,613883,97903220000,-6.51,-38317472500.0,236767500.0,39388239000.0,-1307534000.0,92740.0,613883.0,15.11,A377300
45,2022-01-06,154500,156500,151000,152000,368852,56544187500,-3.8,-4270350000.0,38584500.0,7671576500.0,-3439811000.0,72322.0,368852.0,19.61,A377300
