,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-08-10,448500,480000,400500,454000,5121520,2247958937500,1.23,108186298000.0,-65057920000.0,119404050500.0,-162532428500.0,0.0,5121520.0,0.0,A259960
1,2021-08-11,444500,446000,405000,407000,1647759,698968688500,-10.35,-36614611500.0,4652812000.0,143093304500.0,-111131505000.0,951.0,1647759.0,0.06,A259960
2,2021-08-12,414000,420500,402000,406000,947958,389252898000,-0.25,2441962000.0,438442000.0,26990356000.0,-29870760000.0,0.0,947958.0,0.0,A259960
3,2021-08-13,415000,445500,408500,437000,1669847,714090917500,7.64,94695913500.0,-7178892500.0,-104427537000.0,16910516000.0,592.0,1669847.0,0.04,A259960
4,2021-08-17,433000,460000,423000,451500,1189500,528035261000,3.32,52417933000.0,-18562649000.0,-61947879000.0,28092595000.0,90.0,1189500.0,0.01,A259960
5,2021-08-18,449000,480000,437000,469000,1168167,541536914000,3.88,40758536000.0,-11986955000.0,-76631701500.0,47860120500.0,571.0,1168167.0,0.05,A259960
6,2021-08-19,472500,498500,469500,492500,1258932,617581834000,5.01,68155831500.0,-26388448500.0,-65766861500.0,23999478500.0,114.0,1258932.0,0.01,A259960
7,2021-08-20,506000,510000,467500,491500,1100068,541710327000,-0.2,44025427000.0,-23776816500.0,27912316000.0,-48160926500.0,797.0,1100068.0,0.07,A259960
8,2021-08-23,492000,499500,480000,484500,462461,225745283500,-1.42,25205502500.0,-19602110000.0,-11065669000.0,5462276500.0,381.0,462461.0,0.08,A259960
9,2021-08-24,487500,489000,455000,460000,651528,303669472500,-5.06,27774118000.0,-11331140000.0,16909304000.0,-33352282000.0,68.0,651528.0,0.01,A259960
10,2021-08-25,462500,474000,434500,451000,547287,249835003500,-1.96,20756501000.0,-9551537000.0,-13180308000.0,1975344000.0,3.0,547287.0,0.0,A259960
11,2021-08-26,455500,471500,449500,469500,356488,164113321500,4.1,26046863000.0,-8509088500.0,-25562644000.0,8024869500.0,1.0,356488.0,0.0,A259960
12,2021-08-27,473000,498000,463500,497000,779064,381314770000,5.86,71701618000.0,-7412332000.0,-78859967500.0,14570681500.0,2.0,779064.0,0.0,A259960
13,2021-08-30,494000,499500,485000,497000,358146,177506171500,0.0,47034525500.0,-1888906000.0,-47520385500.0,2374766000.0,547.0,358146.0,0.15,A259960
14,2021-08-31,480000,494500,470500,491500,409300,197471759000,-1.11,26098490000.0,-4365989500.0,-18003712000.0,-3728788500.0,352.0,409300.0,0.09,A259960
15,2021-09-01,487000,507000,487000,507000,529067,265174099000,3.15,61631793500.0,-16786571500.0,-57883092500.0,13037870500.0,392.0,529067.0,0.07,A259960
16,2021-09-02,505000,520000,491500,491500,573318,290222591000,-3.06,13154393500.0,-2667976000.0,-36543883000.0,26057465500.0,938.0,573318.0,0.16,A259960
17,2021-09-03,495000,510000,489000,509000,338553,170713514000,3.56,36047720000.0,-5797328500.0,-66792930500.0,36542539000.0,78.0,338553.0,0.02,A259960
18,2021-09-06,500000,503000,478500,482500,400109,194571451500,-5.21,-10677701500.0,-1653269000.0,9568314500.0,2762656000.0,272.0,400109.0,0.07,A259960
