,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2020-10-15,267300,347490,250965,255420,6557212,1956198783000,-4.44,-8195155000.0,-176981812500.0,243534119000.0,-58357151500.0,84.0,6557212.0,0.0,A352820
1,2020-10-16,250470,250470,197010,198495,4504395,972147609000,-22.29,-4794288500.0,-132093550500.0,160243922000.0,-23356083000.0,5.0,4504395.0,0.0,A352820
2,2020-10-19,196515,200475,185130,187110,1977996,385653891500,-5.74,-8214886500.0,822364000.0,11180815500.0,-3788293000.0,333.0,1977996.0,0.02,A352820
3,2020-10-20,188100,191565,174240,180675,1811616,331405013500,-3.44,-38579201500.0,1052270500.0,40862639500.0,-3335708500.0,22.0,1811616.0,0.0,A352820
4,2020-10-21,178695,183645,175230,177210,1658643,300793826500,-1.92,-28304872500.0,-71478000.0,25220873500.0,3155477000.0,75.0,1658643.0,0.0,A352820
5,2020-10-22,174735,183150,173745,178200,1193994,216271556000,0.56,9405708000.0,493309500.0,-13065803500.0,3166786000.0,445.0,1193994.0,0.04,A352820
6,2020-10-23,181170,182160,169785,170775,905547,160912383500,-4.17,302231500.0,-566828500.0,-4271835500.0,4536432500.0,29.0,905547.0,0.0,A352820
7,2020-10-26,171270,171765,154440,154440,987951,160658926000,-9.57,-9953306500.0,-268497000.0,9660354500.0,561449000.0,230.0,987951.0,0.02,A352820
8,2020-10-27,152955,164340,150975,160875,1118487,178566445500,4.17,5857161500.0,-48038000.0,-8328215500.0,2519092000.0,229.0,1118487.0,0.02,A352820
9,2020-10-28,159885,161865,155925,156915,581195,93020931500,-2.46,2606433500.0,74382500.0,-3536809000.0,855993000.0,269.0,581195.0,0.05,A352820
10,2020-10-29,153945,159885,152955,155430,518248,82084225000,-0.95,849298000.0,-1033574500.0,-240860500.0,425137000.0,322.0,518248.0,0.06,A352820
11,2020-10-30,147510,149985,140580,140580,1142310,168170753500,-9.55,-13835197000.0,66125000.0,20245654500.0,-6476582500.0,4.0,1142310.0,0.0,A352820
12,2020-11-02,141075,145035,139590,142065,412881,59339350500,1.06,2629928500.0,-21427500.0,-2983091000.0,374590000.0,2.0,412881.0,0.0,A352820
13,2020-11-03,143055,150480,143055,150480,689435,103133726000,5.92,10678674500.0,190069500.0,-18725753000.0,7857009000.0,8.0,689435.0,0.0,A352820
14,2020-11-04,151965,151965,145530,147510,329773,49403898500,-1.97,2674926000.0,261303500.0,-3338404500.0,402175000.0,42.0,329773.0,0.01,A352820
15,2020-11-05,148995,171270,148500,162360,1565701,256317118500,10.07,12192279000.0,180114000.0,-13736971500.0,1364578500.0,86.0,1565701.0,0.01,A352820
16,2020-11-06,162855,164340,157905,160380,413106,67278281500,-1.22,2689561500.0,-193434000.0,-4350269000.0,1854141500.0,231.0,413106.0,0.06,A352820
