,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,234371,237096,232100,234825,122023,31506134000,0.58,-9745826500.0,-780035000.0,3921159000.0,6604702500.0,636.0,122023.0,0.52,A009540
1,2012-01-03,238913,248906,237551,248452,385774,104236365500,5.8,36926356500.0,-835689000.0,-53488579500.0,17397912000.0,2154.0,385774.0,0.56,A009540
2,2012-01-04,249814,255265,249360,252994,481650,134561036500,1.83,39388847500.0,5091716500.0,-78928168000.0,34447604000.0,6186.0,481650.0,1.28,A009540
3,2012-01-05,252994,255265,249814,252085,209282,58253469500,-0.36,14241943000.0,720194500.0,-17776347500.0,2814210000.0,8054.0,209282.0,3.85,A009540
4,2012-01-06,248906,252085,247089,252085,209602,57644759000,0.0,3468778000.0,-106736000.0,-7588089500.0,4226047500.0,6282.0,209602.0,3.0,A009540
5,2012-01-09,250268,250723,243909,247997,226082,61463091000,-1.62,-5240841000.0,-447469000.0,1412798500.0,4275511500.0,4497.0,226082.0,1.99,A009540
6,2012-01-10,250268,259807,249360,257990,458639,129327702000,4.03,41597912500.0,-3084345000.0,-38492781000.0,-20786500.0,1451.0,458639.0,0.32,A009540
7,2012-01-11,257990,265257,257536,261624,432043,124657872500,1.41,38164065500.0,-424993500.0,-60003706000.0,22264634000.0,3092.0,432043.0,0.72,A009540
8,2012-01-12,262078,265257,260261,264803,319728,92708082500,1.22,14123265500.0,782467500.0,-22981717000.0,8075984000.0,6087.0,319728.0,1.9,A009540
9,2012-01-13,260715,265257,259353,262532,3249057,916773414000,-0.86,301334546000.0,-697976236500.0,8882894500.0,387758796000.0,7115.0,3249057.0,0.22,A009540
10,2012-01-16,260261,262986,257536,260715,358361,102357857000,-0.69,9684645500.0,23376500.0,10589264500.0,-20297286500.0,261.0,358361.0,0.07,A009540
11,2012-01-17,265711,270254,264803,270254,649306,191230132500,3.66,54421416500.0,465835000.0,-57609351500.0,2722100000.0,5162.0,649306.0,0.8,A009540
12,2012-01-18,271162,281609,267982,278883,730291,223101874500,3.19,23069362500.0,415524000.0,-92825197000.0,69340310500.0,1466.0,730291.0,0.2,A009540
13,2012-01-19,279338,281154,271162,275704,644783,195383113500,-1.14,-30572379500.0,1110973500.0,26958059000.0,2503347000.0,7554.0,644783.0,1.17,A009540
14,2012-01-20,273887,287968,273887,287968,727495,226484846000,4.45,198556000.0,6140225000.0,-83089808500.0,76751027500.0,1069.0,727495.0,0.15,A009540
15,2012-01-25,289784,293872,284788,288422,496746,158525519500,0.16,-32691067000.0,-1448821000.0,-18385646500.0,52525534500.0,16388.0,496746.0,3.3,A009540
16,2012-01-26,289330,291601,278883,279338,585249,182131976000,-3.15,-58687358500.0,-2592222500.0,48371000500.0,12908580500.0,6916.0,585249.0,1.18,A009540
17,2012-01-27,279792,281154,275704,278883,407953,125026109000,-0.16,-25780663000.0,-1300249000.0,7739589000.0,19341323000.0,3696.0,407953.0,0.91,A009540
18,2012-01-30,276158,277975,271162,272070,441044,132529656000,-2.44,-36763288000.0,-1160773500.0,18824270000.0,19099791500.0,1359.0,441044.0,0.31,A009540
19,2012-01-31,270708,282971,270708,282971,488510,150182508000,4.01,-10282703000.0,221676500.0,-18701182500.0,28762209000.0,18155.0,488510.0,3.72,A009540
20,2012-02-01,285242,287513,282517,285242,343690,108111592000,0.8,-5644438500.0,-1469552500.0,-22922959000.0,30036950000.0,1684.0,343690.0,0.49,A009540
21,2012-02-02,289330,290693,286605,288422,350104,111326884500,1.11,-9793180500.0,222302000.0,-22158407500.0,31729286000.0,4888.0,350104.0,1.4,A009540
22,2012-02-03,277521,280246,265257,266166,1368055,408466490500,-7.72,-30362201500.0,1952152500.0,118062103000.0,-89652054000.0,60867.0,1368055.0,4.45,A009540
23,2012-02-06,269799,270708,265257,267074,559742,164584876000,0.34,24191013000.0,507016500.0,15670930500.0,-40368960000.0,7206.0,559742.0,1.29,A009540
24,2012-02-07,268891,274341,267982,268891,456859,136441318000,0.68,23840252500.0,1593760000.0,-7265468000.0,-18168544500.0,6037.0,456859.0,1.32,A009540
25,2012-02-08,268891,287059,268891,284788,883935,272209616000,5.91,33002645500.0,4425343500.0,-34391712500.0,-3036276500.0,5688.0,883935.0,0.64,A009540
26,2012-02-09,285697,296143,283426,296143,847618,271643889500,3.99,78160663500.0,-1544636000.0,-74081140000.0,-2534887500.0,10067.0,847618.0,1.19,A009540
27,2012-02-10,299777,305682,296143,298414,664740,219791425000,0.77,-3345864000.0,-1690939000.0,-33269325000.0,38306128000.0,17599.0,664740.0,2.65,A009540
28,2012-02-13,295689,303865,292055,298414,364347,119398818500,0.0,4982800500.0,-288847500.0,-3104617500.0,-1589335500.0,6421.0,364347.0,1.76,A009540
29,2012-02-14,296598,302956,296143,299323,322200,106491109500,0.3,9302712000.0,3596098500.0,-6867789500.0,-6031021000.0,5811.0,322200.0,1.8,A009540
30,2012-02-15,302048,305227,299323,302956,351706,117285433000,1.21,12502892000.0,-507903500.0,-24126600500.0,12131612000.0,18149.0,351706.0,5.16,A009540
31,2012-02-16,297960,299323,285697,288876,564660,181273693705,-4.65,-9176801000.0,241610500.0,29167592000.0,-20232401500.0,19628.0,564660.0,3.48,A009540
32,2012-02-17,293872,297960,288876,292055,388710,125564050500,1.1,-1553022500.0,-24562500.0,6953258000.0,-5375673000.0,3591.0,388710.0,0.92,A009540
33,2012-02-20,295689,298414,294327,295235,246420,79324296500,1.09,7855660000.0,1329434500.0,-17015535000.0,7830440500.0,17378.0,246420.0,7.05,A009540
34,2012-02-21,295235,296143,287968,293418,267679,85715968000,-0.62,-11995101000.0,319039500.0,2692229000.0,8983832500.0,14214.0,267679.0,5.31,A009540
35,2012-02-22,291601,292510,287059,288422,232229,73934690000,-1.7,-2955837500.0,-123134000.0,5654287500.0,-2575316000.0,15707.0,232229.0,6.76,A009540
36,2012-02-23,287513,294781,287059,290693,279990,89791397500,0.79,-7848957500.0,-3181024500.0,-14840341500.0,25870323500.0,5496.0,279990.0,1.96,A009540
37,2012-02-24,291147,293418,280246,288876,295866,93275307000,-0.63,-4566604500.0,87822500.0,12106686500.0,-7627904500.0,4687.0,295866.0,1.58,A009540
38,2012-02-27,287059,291601,282063,287059,245362,77712741500,-0.63,10986775000.0,-1160538500.0,-20029546000.0,10203309500.0,4919.0,245362.0,2.0,A009540
39,2012-02-28,289330,306136,288876,302502,588022,193618207000,5.38,68533844000.0,-96253500.0,-60451976500.0,-7985614000.0,1190.0,588022.0,0.2,A009540
40,2012-02-29,303411,312495,302956,308407,583445,198740594500,1.95,47364435000.0,-2559880500.0,-76454305500.0,31649751000.0,8355.0,583445.0,1.43,A009540
41,2012-03-02,311132,314766,307499,313403,356463,122582437500,1.62,38811314500.0,-2401028000.0,-60608124500.0,24197838000.0,5259.0,356463.0,1.48,A009540
42,2012-03-05,312041,312949,303411,307953,244679,82862048000,-1.74,15932506500.0,500470500.0,-2610027000.0,-13822950000.0,5074.0,244679.0,2.07,A009540
43,2012-03-06,307953,308861,294327,298414,373706,122908182000,-3.1,830420000.0,334451500.0,34556943000.0,-35721814500.0,2388.0,373706.0,0.64,A009540
44,2012-03-07,291147,301594,289784,297960,218475,71372619500,-0.15,6820245500.0,11139500.0,-307147000.0,-6524238000.0,6280.0,218475.0,2.87,A009540
45,2012-03-08,297506,305227,296143,301140,350183,116159029519,1.07,-4507990000.0,-428599000.0,5660436500.0,-723847500.0,4691.0,350183.0,1.34,A009540
46,2012-03-09,306136,307044,301594,304319,264451,88566189500,1.06,18625442000.0,-60799500.0,-9131994000.0,-9432648500.0,6094.0,264451.0,2.3,A009540
47,2012-03-12,303865,303865,294327,296598,240986,78675768500,-2.54,-7621186000.0,-1462006000.0,12766510000.0,-3683318000.0,1736.0,240986.0,0.72,A009540
48,2012-03-13,299777,301594,293872,296143,239425,78177828500,-0.15,-18119286000.0,-771612000.0,11951774000.0,6939124000.0,633.0,239425.0,0.26,A009540
49,2012-03-14,302502,307953,298869,302502,376442,126319157500,2.15,8020007000.0,-134467500.0,-23391773500.0,15506234000.0,13534.0,376442.0,3.6,A009540
50,2012-03-15,303865,308861,300231,301140,196792,65678933000,-0.45,3589198000.0,-97292500.0,-8402515000.0,4910609500.0,864.0,196792.0,0.44,A009540
51,2012-03-16,302502,303865,295235,297960,188817,61829937000,-1.06,-8416385500.0,-14338000.0,8300043000.0,130680500.0,14201.0,188817.0,7.52,A009540
52,2012-03-19,297506,299323,292510,297960,196294,63752208000,0.0,-7735614000.0,-897789500.0,7469660000.0,1163743500.0,4157.0,196294.0,2.12,A009540
53,2012-03-20,293872,299323,293872,295689,193847,63025611500,-0.76,-13126194000.0,-2023303000.0,9759747000.0,5389750000.0,1109.0,193847.0,0.57,A009540
54,2012-03-21,291601,298414,287513,289330,352736,112980401000,-2.15,-1267536000.0,-985593000.0,30854323000.0,-28601194000.0,12026.0,352736.0,3.41,A009540
55,2012-03-22,288422,291147,281609,283880,275471,86359478000,-1.88,-6825893000.0,-128836500.0,15666747500.0,-8712018000.0,6053.0,275471.0,2.2,A009540
56,2012-03-23,280700,292055,280700,288876,282322,89524293500,1.76,4653270000.0,362409000.0,-5759055000.0,743376000.0,6422.0,282322.0,2.27,A009540
57,2012-03-26,292964,295235,289784,291147,235361,75905628500,0.79,20522183000.0,465848500.0,-15284115000.0,-5703916500.0,2909.0,235361.0,1.24,A009540
58,2012-03-27,297506,302956,296143,300231,416457,137940795500,3.12,32218528500.0,1177059500.0,-36509517000.0,3113929000.0,5346.0,416457.0,1.28,A009540
59,2012-03-28,298414,308407,298414,302502,356351,119746170000,0.76,43685443500.0,7832737000.0,-46318196000.0,-5199984500.0,12917.0,356351.0,3.62,A009540
60,2012-03-29,299777,302048,289784,293418,303197,97651466000,-3.0,-1017441500.0,-586422500.0,15233546000.0,-13629682000.0,10683.0,303197.0,3.52,A009540
61,2012-03-30,288876,294781,287968,292055,322984,103559234577,-0.46,15302957000.0,128032000.0,15287318500.0,-30718307500.0,5300.0,322984.0,1.64,A009540
62,2012-04-02,292510,294781,288876,291601,200257,64236258000,-0.16,-3739850500.0,-415279500.0,15975373000.0,-11820243000.0,5587.0,200257.0,2.79,A009540
63,2012-04-03,293872,299777,292510,297960,282160,92124474500,2.18,23442301500.0,-276347500.0,-13227146000.0,-9938808000.0,7617.0,282160.0,2.7,A009540
64,2012-04-04,296143,299777,286151,291147,281068,90003583000,-2.29,-12239323000.0,-309392000.0,7946733500.0,4601981500.0,11187.0,281068.0,3.98,A009540
65,2012-04-05,285242,287968,282971,287513,201387,63285957500,-1.25,-19772413500.0,-651299500.0,13937781000.0,6485932000.0,10226.0,201387.0,5.08,A009540
66,2012-04-06,286151,292510,282517,284334,294591,92759027400,-1.11,-26919205500.0,-905165000.0,23791363500.0,4033007000.0,2376.0,294591.0,0.81,A009540
67,2012-04-09,281609,281609,272979,275250,309414,93798647500,-3.19,-21596244500.0,-627877000.0,15644951000.0,6579170500.0,9531.0,309414.0,3.08,A009540
68,2012-04-10,275250,280700,273433,275250,229511,69788425500,0.0,-10769394000.0,-314900000.0,5739940500.0,5344353500.0,1819.0,229511.0,0.79,A009540
69,2012-04-12,275250,276612,271616,274796,163629,49250340000,-0.17,1642529000.0,-1021611500.0,11682291000.0,-12303208500.0,1603.0,163629.0,0.98,A009540
70,2012-04-13,280700,286151,279792,281609,215505,67129562000,2.48,17712292000.0,1132650000.0,-7922152000.0,-10922790000.0,2274.0,215505.0,1.06,A009540
71,2012-04-16,280700,281609,276158,279338,120847,37123962000,-0.81,-380715500.0,42820000.0,4235471500.0,-3897576000.0,342.0,120847.0,0.28,A009540
72,2012-04-17,281154,286605,279792,281609,217830,68003094500,0.81,12513206000.0,658257000.0,-9568915500.0,-3602547500.0,11731.0,217830.0,5.39,A009540
73,2012-04-18,287968,290239,284788,286605,232838,73773751500,1.77,22490277500.0,92031000.0,-10569286500.0,-12013022000.0,6673.0,232838.0,2.87,A009540
74,2012-04-19,284788,289330,284334,285697,144162,45568881500,-0.32,19274588500.0,75632000.0,-10549906000.0,-8800314500.0,1996.0,144162.0,1.38,A009540
