,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,40050,40150,39250,39350,437220,17291684000,-0.51,1326900000.0,676178500.0,-889743500.0,-1113335000.0,1910.0,437220.0,0.44,A047810
1,2012-01-03,39400,39450,38850,39300,550816,21560561750,-0.13,-669556900.0,354470000.0,-914643600.0,1229730500.0,2720.0,550816.0,0.49,A047810
2,2012-01-04,39350,39650,38900,38900,486948,19016202200,-1.02,299049000.0,-135567500.0,-914259000.0,750777500.0,10750.0,486948.0,2.21,A047810
3,2012-01-05,39150,39200,38500,38600,617792,23907926750,-0.77,511633000.0,-86900000.0,973470500.0,-1398203500.0,44260.0,617792.0,7.16,A047810
4,2012-01-06,38600,38900,38150,38350,432810,16632243950,-0.65,1285813000.0,545948500.0,-441277000.0,-1390484500.0,34280.0,432810.0,7.92,A047810
5,2012-01-09,38350,38450,37100,37250,867958,32618210200,-2.87,-396504250.0,-79417000.0,2716944250.0,-2241023000.0,11686.0,867958.0,1.35,A047810
6,2012-01-10,37300,38150,37300,37750,552229,20886162800,1.34,3997735250.0,75914500.0,-2935776750.0,-1137873000.0,40120.0,552229.0,7.27,A047810
7,2012-01-11,37800,38850,37800,38600,850369,32758975700,2.25,3339957100.0,1346178000.0,-6349482100.0,1663347000.0,31050.0,850369.0,3.65,A047810
8,2012-01-12,38900,38900,38000,38100,439052,16794727750,-1.3,-174395900.0,488597000.0,3342988900.0,-3657190000.0,56260.0,439052.0,12.81,A047810
9,2012-01-13,38100,38300,37200,37400,784087,29524957350,-1.84,-4480328300.0,-673660500.0,10729443800.0,-5575455000.0,165410.0,784087.0,21.1,A047810
10,2012-01-16,37150,37700,36200,36450,894738,32834412450,-2.54,-3869180100.0,240403000.0,4583298600.0,-954521500.0,52190.0,894738.0,5.83,A047810
11,2012-01-17,36300,36900,35400,35600,1250756,44989634400,-2.33,-8504345700.0,-1532805100.0,11085758800.0,-1048608000.0,9670.0,1250756.0,0.77,A047810
12,2012-01-18,35850,36300,33050,33800,2375333,81906767900,-5.06,-11254319200.0,1126628300.0,25445876400.0,-15318185500.0,71050.0,2375333.0,2.99,A047810
13,2012-01-19,34050,34400,33000,33000,1946609,65364366600,-2.37,-14836565000.0,-77178500.0,20096593500.0,-5182850000.0,135320.0,1946609.0,6.95,A047810
14,2012-01-20,32800,34550,31450,33900,4619674,153276744700,2.73,-4075900900.0,507209000.0,2539367400.0,1029324500.0,15800.0,4619674.0,0.34,A047810
15,2012-01-25,33700,33800,32100,32100,1588955,52033453250,-5.31,-8460457500.0,623697000.0,11812466500.0,-3975706000.0,180.0,1588955.0,0.01,A047810
16,2012-01-26,32350,33350,32300,33050,1078994,35541401550,2.96,1766788500.0,308420000.0,-1174125500.0,-901083000.0,42650.0,1078994.0,3.95,A047810
17,2012-01-27,33300,33750,32050,32250,1170242,38333954350,-2.42,-5610989500.0,856303500.0,8410748500.0,-3656062500.0,38340.0,1170242.0,3.28,A047810
18,2012-01-30,32950,33650,32450,32650,1103684,36372758600,1.24,-5335173950.0,-23132500.0,6377582450.0,-1019276000.0,10540.0,1103684.0,0.95,A047810
19,2012-01-31,32500,32650,31450,32000,1522177,48374164800,-1.99,-10171565000.0,338029000.0,7031897500.0,2801638500.0,4360.0,1522177.0,0.29,A047810
20,2012-02-01,32000,33350,31750,33200,1497685,48890857250,3.75,580035400.0,315142000.0,2028404100.0,-2923581500.0,94270.0,1497685.0,6.29,A047810
21,2012-02-02,33100,33850,32750,32900,1009127,33471621950,-0.9,165333600.0,708962500.0,115694400.0,-989990500.0,39650.0,1009127.0,3.93,A047810
22,2012-02-03,33150,33500,32200,32350,835098,27409551100,-1.67,-1625318200.0,174521000.0,3280370200.0,-1829573000.0,55050.0,835098.0,6.59,A047810
23,2012-02-06,32600,32650,31150,31150,1140444,35955777050,-3.71,-5201194500.0,-478100500.0,8508144000.0,-2828849000.0,19550.0,1140444.0,1.71,A047810
24,2012-02-07,30950,31750,30500,31300,901983,28130965250,0.48,-2598664500.0,11146000.0,-21120500.0,2608639000.0,44610.0,901983.0,4.95,A047810
25,2012-02-08,31350,31700,30550,30700,1162025,35941940100,-1.92,-8556339000.0,224374000.0,7323927500.0,1008037500.0,7630.0,1162025.0,0.66,A047810
