,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,4300,4480,4240,4260,167046,3586448900,-2.29,-1657312500.0,-222492100.0,1853351600.0,26453000.0,1040.0,167046.0,0.62,A018880
1,2012-01-03,4280,4370,4280,4370,262304,5680948400,2.58,241758000.0,-108383000.0,-1008244000.0,874869000.0,2290.0,262304.0,0.87,A018880
2,2012-01-04,4390,4400,4220,4230,391092,8411563250,-3.2,-2034801650.0,-104420500.0,1980100150.0,159122000.0,4670.0,391092.0,1.19,A018880
3,2012-01-05,4250,4370,4220,4260,247744,5277859600,0.71,-1744512000.0,364357000.0,957264000.0,422891000.0,470.0,247744.0,0.19,A018880
4,2012-01-06,4290,4300,4170,4230,191818,4051876150,-0.7,-1653684500.0,0.0,-23505500.0,1677190000.0,1590.0,191818.0,0.83,A018880
5,2012-01-09,4230,4230,4160,4210,139555,2922836750,-0.47,-999834500.0,-4399500.0,-142898500.0,1147132500.0,1350.0,139555.0,0.97,A018880
6,2012-01-10,4190,4260,4190,4200,288741,6084347500,-0.24,-1878118500.0,-5250000.0,1301270500.0,582098000.0,1340.0,288741.0,0.46,A018880
7,2012-01-11,4220,4270,4180,4180,313870,6614902200,-0.48,634862400.0,-5300000.0,219473100.0,-849035500.0,280.0,313870.0,0.09,A018880
8,2012-01-12,4240,4260,4190,4220,220927,4672280200,0.96,-509930500.0,0.0,-79756000.0,589686500.0,30.0,220927.0,0.01,A018880
9,2012-01-13,4250,4450,4250,4440,521287,11420567400,5.21,-743310300.0,189146500.0,-3254800200.0,3808964000.0,7090.0,521287.0,1.36,A018880
10,2012-01-16,4400,4470,4370,4430,218881,4855246850,-0.23,190670300.0,-7342500.0,-1327661800.0,1144334000.0,25030.0,218881.0,11.44,A018880
11,2012-01-17,4520,4540,4420,4480,261291,5850396850,1.13,-1511865700.0,-113000000.0,-1227385300.0,2852251000.0,44910.0,261291.0,17.19,A018880
12,2012-01-18,4440,4470,4310,4310,202166,4412134050,-3.79,-1966519550.0,0.0,747330050.0,1219189500.0,12490.0,202166.0,6.18,A018880
13,2012-01-19,4370,4470,4320,4420,294972,6478054200,2.55,-1796039800.0,-121500000.0,-618104700.0,2535644500.0,3890.0,294972.0,1.32,A018880
14,2012-01-20,4440,4450,4330,4440,296278,6491250250,0.45,-2198025200.0,0.0,198523500.0,1999501700.0,15890.0,296278.0,5.36,A018880
15,2012-01-25,4430,4490,4310,4350,360656,7904440050,-2.03,-3083442750.0,0.0,1766890000.0,1316552750.0,8070.0,360656.0,2.24,A018880
16,2012-01-26,4350,4450,4350,4380,169828,3719347300,0.69,214565700.0,-438000.0,-587746600.0,373618900.0,1490.0,169828.0,0.88,A018880
17,2012-01-27,4410,4420,4360,4410,169519,3723366800,0.68,-1459065500.0,-198150000.0,-504822500.0,2162038000.0,2270.0,169519.0,1.34,A018880
18,2012-01-30,4410,4490,4230,4280,463593,10038634200,-2.95,-3609767400.0,221059500.0,1954192400.0,1434515500.0,12530.0,463593.0,2.7,A018880
19,2012-01-31,4260,4350,4240,4280,278422,5983908650,0.0,-570533600.0,-603985000.0,-10798200.0,1185316800.0,3110.0,278422.0,1.12,A018880
20,2012-02-01,4260,4360,4260,4320,344982,7445517200,0.93,586788300.0,-65400000.0,182854700.0,-704243000.0,790.0,344982.0,0.23,A018880
21,2012-02-02,4330,4420,4290,4350,292348,6377513500,0.69,-2420633250.0,0.0,-300701500.0,2721334750.0,1280.0,292348.0,0.44,A018880
22,2012-02-03,4410,4420,4330,4400,248403,5445185000,1.15,-1231095500.0,570744500.0,-1097978000.0,1758329000.0,2990.0,248403.0,1.2,A018880
23,2012-02-06,4450,4450,4390,4440,343968,7596306050,0.91,-2796495800.0,342090000.0,-1131946700.0,3586352500.0,9150.0,343968.0,2.66,A018880
24,2012-02-07,4440,4460,4350,4380,303275,6663811600,-1.35,-1809716700.0,-90726500.0,768455000.0,1131988200.0,37320.0,303275.0,12.31,A018880
25,2012-02-08,4380,4410,4290,4300,304095,6586835150,-1.83,-2382045000.0,-86255000.0,2108211000.0,360089000.0,8310.0,304095.0,2.73,A018880
26,2012-02-09,4330,4340,4260,4330,305958,6565188600,0.7,-2941122500.0,-223947000.0,349262000.0,2815807500.0,2090.0,305958.0,0.68,A018880
27,2012-02-10,4330,4420,4310,4420,332862,7283354400,2.08,-1432279000.0,-21275000.0,-1005933400.0,2459487400.0,2950.0,332862.0,0.89,A018880
28,2012-02-13,4400,4440,4360,4440,192801,4253651850,0.45,-812159300.0,-270345400.0,939661200.0,142843500.0,1590.0,192801.0,0.82,A018880
29,2012-02-14,4460,4600,4400,4600,490116,11092101100,3.6,-233399500.0,471859000.0,-1520413000.0,1281953500.0,4380.0,490116.0,0.89,A018880
30,2012-02-15,4560,4630,4560,4600,169566,3893484500,0.0,250424500.0,275298000.0,-729023500.0,203301000.0,37830.0,169566.0,22.31,A018880
31,2012-02-16,4600,4600,4430,4490,288671,6473355950,-2.39,-17005500.0,-223963500.0,828665600.0,-587696600.0,64650.0,288671.0,22.4,A018880
32,2012-02-17,4520,4590,4480,4550,217518,4926102450,1.34,963368500.0,227500.0,-363012000.0,-600584000.0,18320.0,217518.0,8.42,A018880
33,2012-02-20,4530,4580,4440,4470,165063,3691616550,-1.76,29855350.0,27244000.0,661464300.0,-718563650.0,8290.0,165063.0,5.02,A018880
34,2012-02-21,4470,4540,4460,4510,139138,3133445300,0.89,723180150.0,0.0,-1105220650.0,382040500.0,15630.0,139138.0,11.23,A018880
35,2012-02-22,4610,4610,4520,4540,154884,3527336800,0.67,-409142300.0,-138610500.0,-140195200.0,687948000.0,3420.0,154884.0,2.21,A018880
36,2012-02-23,4540,4660,4530,4620,178058,4102542100,1.76,633546400.0,-9260000.0,-2189134400.0,1564848000.0,3460.0,178058.0,1.94,A018880
37,2012-02-24,4690,4690,4590,4610,160312,3713497150,-0.22,-507641100.0,476904000.0,-367529400.0,398266500.0,21260.0,160312.0,13.26,A018880
38,2012-02-27,4630,4670,4480,4500,154820,3514583700,-2.39,-163278500.0,-6554000.0,895448000.0,-725615500.0,4690.0,154820.0,3.03,A018880
39,2012-02-28,4480,4670,4470,4660,269924,6247649200,3.56,1284846200.0,116861500.0,-1878463200.0,476755500.0,12390.0,269924.0,4.59,A018880
40,2012-02-29,4700,4710,4530,4660,245477,5662078600,0.0,-237143600.0,-23166000.0,1197525100.0,-937215500.0,19250.0,245477.0,7.84,A018880
41,2012-03-02,4770,5220,4660,4780,894166,21625547700,2.58,-6625572200.0,-357299000.0,3611335200.0,3371536000.0,20680.0,894166.0,2.31,A018880
42,2012-03-05,4900,4940,4660,4760,330866,7941588400,-0.42,-29367000.0,146400000.0,45523500.0,-162556500.0,1000.0,330866.0,0.3,A018880
43,2012-03-06,4700,4790,4580,4610,292051,6797321050,-3.15,839847800.0,-49482000.0,422285700.0,-1212651500.0,1520.0,292051.0,0.52,A018880
44,2012-03-07,4510,4650,4480,4600,300695,6842397500,-0.22,-309889500.0,-24000.0,-325018000.0,634931500.0,4920.0,300695.0,1.64,A018880
45,2012-03-08,4580,4600,4380,4380,1044660,23124300850,-4.78,-8863688900.0,6391000.0,7460920900.0,1396377000.0,7360.0,1044660.0,0.7,A018880
46,2012-03-09,4400,4450,4370,4440,473070,10446708700,1.37,-3419814500.0,36186000.0,1202899500.0,2180729000.0,24030.0,473070.0,5.08,A018880
47,2012-03-12,4460,4480,4430,4470,208973,4657417350,0.68,-900279000.0,0.0,-66007500.0,966286500.0,3080.0,208973.0,1.47,A018880
48,2012-03-13,4490,4520,4460,4500,352408,7919666800,0.67,-2385644000.0,-213541000.0,-571197000.0,3170382000.0,10990.0,352408.0,3.12,A018880
49,2012-03-14,4560,4580,4470,4490,359667,8114661650,-0.22,-4218087100.0,-4732500.0,-609384900.0,4832204500.0,6550.0,359667.0,1.82,A018880
50,2012-03-15,4540,4620,4410,4460,521460,11742709800,-0.67,-3629969000.0,-23050000.0,2998158500.0,654860500.0,12370.0,521460.0,2.37,A018880
51,2012-03-16,4500,4500,4380,4380,314406,6933354900,-1.79,-3082495700.0,4400000.0,1876395700.0,1201700000.0,5930.0,314406.0,1.89,A018880
52,2012-03-19,4370,4440,4290,4310,381098,8266570650,-1.6,-4922294150.0,-3056000.0,2233022650.0,2692327500.0,15680.0,381098.0,4.11,A018880
53,2012-03-20,4360,4420,4320,4420,426111,9311653100,2.55,-3053785000.0,-1097000.0,869497000.0,2185385000.0,4610.0,426111.0,1.08,A018880
54,2012-03-21,4420,4480,4380,4450,381667,8450854950,0.68,-1089425250.0,880000.0,2240823750.0,-1152278500.0,13270.0,381667.0,3.48,A018880
