,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,23991,24184,23506,23651,720523,17642254400,-0.81,-563155200.0,172725500.0,1433201700.0,-1042772000.0,17050.0,720523.0,2.37,A009830
1,2012-01-03,24136,24524,24136,24378,1366494,34284115200,3.07,798319950.0,664578800.0,-5742190250.0,4279291500.0,32400.0,1366494.0,2.37,A009830
2,2012-01-04,24572,24621,24039,24039,919098,23005404900,-1.39,358720000.0,168648500.0,-1111992500.0,584624000.0,7900.0,919098.0,0.86,A009830
3,2012-01-05,24475,24766,24233,24281,1626430,41105105500,1.01,1410533850.0,97038500.0,-1874382350.0,366810000.0,59340.0,1626430.0,3.65,A009830
4,2012-01-06,24524,24524,23845,24233,912940,22791745800,-0.2,-917111500.0,328204500.0,84938500.0,503968500.0,30640.0,912940.0,3.36,A009830
5,2012-01-09,24087,24136,23797,23991,690883,17042558200,-1.0,-3681058250.0,133154500.0,1546017750.0,2001886000.0,23270.0,690883.0,3.37,A009830
6,2012-01-10,24136,24475,24087,24330,1054415,26418378900,1.41,-3145297000.0,-140206500.0,-329280800.0,3614784300.0,6390.0,1054415.0,0.61,A009830
7,2012-01-11,24524,24621,24039,24087,1403797,35232375550,-1.0,3220224500.0,107635000.0,303511000.0,-3631370500.0,35760.0,1403797.0,2.55,A009830
8,2012-01-12,24814,26365,24814,25929,6522015,173320869050,7.65,15722453750.0,-1702175500.0,-16631393250.0,2611115000.0,116150.0,6522015.0,1.78,A009830
9,2012-01-13,26171,26171,25348,25590,2033140,53771190100,-1.31,-1905102800.0,424368100.0,1127433200.0,353301500.0,14530.0,2033140.0,0.71,A009830
10,2012-01-16,25251,25299,24621,24911,1659841,42746903000,-2.65,1193461600.0,-356100000.0,477510400.0,-1314872000.0,101720.0,1659841.0,6.13,A009830
11,2012-01-17,25590,26171,25590,26026,2746566,73514408200,4.47,14548131000.0,-2534113500.0,-12790974750.0,776957250.0,49616.0,2746566.0,1.81,A009830
12,2012-01-18,26171,26705,25832,26220,3241317,87987618400,0.74,-1161185000.0,-1512469500.0,4132579500.0,-1458925000.0,71350.0,3241317.0,2.2,A009830
