,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,53400,54600,53200,54600,310567,16822232300,2.63,4408158600.0,-9512500.0,-2581377000.0,-1817269100.0,38339.0,310567.0,12.34,A012450
1,2012-01-03,55000,55400,54700,55300,346611,19092246400,1.28,3908461800.0,823939500.0,-6441417500.0,1709016200.0,49012.0,346611.0,14.14,A012450
2,2012-01-04,55700,57500,55500,56400,659230,37316047900,1.99,4049144200.0,271672300.0,-5920200100.0,1599383600.0,25969.0,659230.0,3.94,A012450
3,2012-01-05,56500,56600,55000,55500,383766,21276169100,-1.6,-2294091700.0,539596100.0,3414025900.0,-1659530300.0,52461.0,383766.0,13.67,A012450
4,2012-01-06,55900,55900,53800,54700,245391,13401088200,-1.44,-1369089500.0,3611800.0,1634930300.0,-269452600.0,20605.0,245391.0,8.4,A012450
5,2012-01-09,54500,54600,53100,53700,230272,12372123800,-1.83,-4529726600.0,53736800.0,4674864100.0,-198874300.0,17405.0,230272.0,7.56,A012450
6,2012-01-10,53700,54100,53200,53300,399001,21336448300,-0.74,-1703235400.0,-855697500.0,6161194300.0,-3602261400.0,13118.0,399001.0,3.29,A012450
7,2012-01-11,53800,54100,53200,53500,241423,12922100700,0.38,-2340461500.0,-223531800.0,2474211900.0,89781400.0,20421.0,241423.0,8.46,A012450
8,2012-01-12,53400,54000,53200,53900,240565,12897804500,0.75,-1028153900.0,-226612300.0,1214322600.0,40443600.0,26733.0,240565.0,11.11,A012450
9,2012-01-13,53900,55100,53600,54600,270557,14752253400,1.3,-549799400.0,25030600.0,-764234800.0,1289003600.0,8886.0,270557.0,3.28,A012450
10,2012-01-16,54000,54000,52900,53600,326594,17400973800,-1.83,-2539543400.0,1018771900.0,115607900.0,1405163600.0,10869.0,326594.0,3.33,A012450
11,2012-01-17,53900,54400,53500,53800,318620,17179283700,0.37,-2583017800.0,20282000.0,-589650700.0,3152386500.0,5942.0,318620.0,1.86,A012450
12,2012-01-18,54000,55000,53700,53900,321090,17397451900,0.19,-1438220000.0,-734470000.0,3277809700.0,-1105119700.0,7002.0,321090.0,2.18,A012450
13,2012-01-19,54500,55900,54000,54400,829696,45498803000,0.93,2884368200.0,1013315400.0,2167078800.0,-6064762400.0,16183.0,829696.0,1.95,A012450
14,2012-01-20,53900,54300,52300,53500,975331,51892476400,-1.65,-1790240400.0,-103605900.0,4568184000.0,-2674337700.0,40722.0,975331.0,4.18,A012450
15,2012-01-25,53700,54200,53200,53500,467657,25062792600,0.0,-1205314900.0,-214015800.0,2353823600.0,-934492900.0,16380.0,467657.0,3.5,A012450
16,2012-01-26,53700,53800,52600,53000,610300,32329472800,-0.93,-10193010100.0,187047700.0,14439236000.0,-4433273600.0,79372.0,610300.0,13.01,A012450
17,2012-01-27,53000,53700,52800,53600,488437,26078293100,1.13,-3130996100.0,83360600.0,6566882900.0,-3519247400.0,26203.0,488437.0,5.36,A012450
18,2012-01-30,53500,55400,53200,54000,844353,46063810800,0.75,182012400.0,-49223300.0,7119405000.0,-7252194100.0,77138.0,844353.0,9.14,A012450
19,2012-01-31,54300,57400,54300,56600,1380598,77656391500,4.81,3502933100.0,-487979300.0,1496491500.0,-4511445300.0,53132.0,1380598.0,3.85,A012450
