,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,192000,195000,188000,190000,45345,8636475000,-1.04,-224002000.0,-97567000.0,1692454000.0,-1370885000.0,2894.0,45345.0,6.38,A086280
1,2012-01-03,192000,198500,192000,198500,66488,13089450500,4.47,2623926500.0,138686500.0,-2713817500.0,-48795500.0,2097.0,66488.0,3.15,A086280
2,2012-01-04,199500,206000,199500,203000,86440,17595581000,2.27,2301410500.0,-571225000.0,-3072212500.0,1342027000.0,1292.0,86440.0,1.49,A086280
3,2012-01-05,203000,205500,200500,203000,33117,6764379500,0.0,2851826500.0,194531500.0,-1904714500.0,-1141643500.0,4122.0,33117.0,12.45,A086280
4,2012-01-06,203000,205500,194500,199000,44756,8955648000,-1.97,481737000.0,34757500.0,-213395500.0,-303099000.0,1553.0,44756.0,3.47,A086280
5,2012-01-09,199000,203000,195500,199500,45426,9015222000,0.25,-816192500.0,-14870500.0,503731000.0,327332000.0,804.0,45426.0,1.77,A086280
6,2012-01-10,199500,202000,197500,200000,44672,8913932500,0.25,580061000.0,-269842500.0,250254000.0,-560472500.0,1007.0,44672.0,2.25,A086280
7,2012-01-11,200000,200000,192000,194500,74180,14495256500,-2.75,-4969377000.0,-216913000.0,5122270000.0,64020000.0,3553.0,74180.0,4.79,A086280
8,2012-01-12,195500,196000,192000,194500,53345,10316091000,0.0,-3551397500.0,-13041500.0,2441455000.0,1122984000.0,542.0,53345.0,1.02,A086280
9,2012-01-13,195000,197000,193000,195000,37972,7402324000,0.26,-2515758000.0,91328000.0,1491108000.0,933322000.0,1227.0,37972.0,3.23,A086280
10,2012-01-16,195000,195000,189500,190500,36121,6894286500,-2.31,-3134818000.0,-93707000.0,3620850000.0,-392325000.0,40.0,36121.0,0.11,A086280
11,2012-01-17,191500,195500,189000,190000,82642,15782306000,-0.26,-7013818500.0,-401233000.0,4043773500.0,3371278000.0,126.0,82642.0,0.15,A086280
12,2012-01-18,190000,195500,190000,194000,61280,11868424000,2.11,-876643000.0,-584171000.0,-3198730500.0,4659544500.0,422.0,61280.0,0.69,A086280
13,2012-01-19,197000,207000,195500,202500,131349,26722497000,4.38,7590409500.0,229734500.0,-12056437000.0,4236293000.0,1948.0,131349.0,1.48,A086280
14,2012-01-20,201000,209500,201000,209000,93553,19365230500,3.21,1840485000.0,-78598500.0,-6354276500.0,4592390000.0,2431.0,93553.0,2.6,A086280
15,2012-01-25,208500,211000,203500,203500,50070,10349758500,-2.63,-1953991500.0,223504500.0,576019500.0,1154467500.0,6263.0,50070.0,12.51,A086280
16,2012-01-26,203500,205000,198000,201000,86323,17303711500,-1.23,-4908407000.0,440586000.0,2916987000.0,1550834000.0,4759.0,86323.0,5.51,A086280
17,2012-01-27,203500,203500,192500,194000,113513,22251866000,-3.48,-5836928500.0,598796000.0,8644555500.0,-3406423000.0,8850.0,113513.0,7.8,A086280
18,2012-01-30,195000,195500,186500,190000,166701,31539544000,-2.06,-140266500.0,410295500.0,10210238500.0,-10480267500.0,14712.0,166701.0,8.83,A086280
19,2012-01-31,191000,193500,189000,192500,109542,20961605000,1.32,-2494405500.0,1068702500.0,3042795000.0,-1617092000.0,272.0,109542.0,0.25,A086280
20,2012-02-01,190000,192000,186000,187500,168829,31760088500,-2.6,-19151888500.0,2330093000.0,19225041500.0,-2403246000.0,1228.0,168829.0,0.73,A086280
21,2012-02-02,188500,189500,181500,183500,239606,44112195000,-2.13,-14864462000.0,866359000.0,18499845000.0,-4501742000.0,10126.0,239606.0,4.23,A086280
22,2012-02-03,185000,189000,173500,177000,416757,74775039500,-3.54,-29121406000.0,1293591500.0,20356863500.0,7470951000.0,1061.0,416757.0,0.25,A086280
23,2012-02-06,178500,180500,172500,179000,210498,37118161000,1.13,-3303435500.0,474012500.0,1350926000.0,1478497000.0,2013.0,210498.0,0.96,A086280
24,2012-02-07,179000,184000,178500,183500,207246,37559249500,2.51,-7075159000.0,-376195000.0,4498696000.0,2952658000.0,2730.0,207246.0,1.32,A086280
25,2012-02-08,182500,184000,178500,181000,211333,38102238000,-1.36,-15357683000.0,1102401000.0,14923258500.0,-667976500.0,5445.0,211333.0,2.58,A086280
26,2012-02-09,180000,181000,172500,175000,310430,54181659000,-3.31,-20964967500.0,1074047500.0,27856118000.0,-7965198000.0,150.0,310430.0,0.05,A086280
