,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,56149,56400,54896,54896,80421,8925024500,-2.23,144630500.0,2190000.0,-54658500.0,-92162000.0,5202.0,80421.0,6.47,A010620
1,2012-01-03,55648,57403,55648,56901,95707,10815783500,3.65,667622500.0,-3122000.0,-1593732500.0,929232000.0,189.0,95707.0,0.2,A010620
2,2012-01-04,57403,58907,56901,58155,84129,9728322845,2.2,2873965000.0,-62975000.0,-4383077000.0,1572087000.0,938.0,84129.0,1.11,A010620
3,2012-01-05,58656,58656,56400,57152,61801,7045696000,-1.72,-3800000.0,1131000.0,272758500.0,-270089500.0,1896.0,61801.0,3.07,A010620
4,2012-01-06,56400,57152,55147,55397,112281,12433249000,-3.07,1572821000.0,246231000.0,2810503500.0,-4629555500.0,105.0,112281.0,0.09,A010620
5,2012-01-09,55147,55147,53893,54144,64582,6994315500,-2.26,152236500.0,-109327000.0,1300947000.0,-1343856500.0,267.0,64582.0,0.41,A010620
6,2012-01-10,54395,56149,54395,55397,69888,7723679000,2.31,-1785976500.0,116467000.0,971302500.0,698207000.0,6.0,69888.0,0.01,A010620
7,2012-01-11,55648,55899,54645,54896,81757,8992606500,-0.9,-1926862500.0,-106391500.0,2461923500.0,-428669500.0,16.0,81757.0,0.02,A010620
8,2012-01-12,54645,56400,54395,56149,77734,8590566500,2.28,-2767649000.0,32083500.0,-344334500.0,3079900000.0,8.0,77734.0,0.01,A010620
9,2012-01-13,56400,58405,56149,57403,95449,10978943500,2.23,50394000.0,-60260000.0,-3715110500.0,3724976500.0,725.0,95449.0,0.76,A010620
10,2012-01-16,56901,57152,55397,56149,77997,8759907000,-2.18,292519500.0,-210772000.0,-7340000.0,-74407500.0,16.0,77997.0,0.02,A010620
11,2012-01-17,57152,59659,56901,59659,128655,15062949000,6.25,1663915000.0,427310000.0,-4159499000.0,2068274000.0,5464.0,128655.0,4.25,A010620
12,2012-01-18,60160,62165,58907,59909,182449,22080372000,0.42,-231780500.0,108978000.0,-2371510000.0,2494312500.0,2871.0,182449.0,1.57,A010620
13,2012-01-19,60661,61413,59909,60912,214313,24034981000,1.67,-3670023500.0,67700000.0,-807248500.0,4409572000.0,2239.0,214313.0,1.04,A010620
14,2012-01-20,62667,62917,61664,62667,170334,21190103500,2.88,-5437423500.0,-97020000.0,-4771226000.0,10305669500.0,1871.0,170334.0,1.1,A010620
15,2012-01-25,63168,64171,61413,62165,98429,12349967500,-0.8,-4303619000.0,-96139000.0,-1820195500.0,6219953500.0,10860.0,98429.0,11.03,A010620
16,2012-01-26,62416,62416,60411,60912,72621,8857441000,-2.02,-2024573500.0,99048000.0,-433002500.0,2358528000.0,266.0,72621.0,0.37,A010620
17,2012-01-27,61664,62165,60661,61163,69207,8475256000,0.41,-1278014000.0,0.0,-787277500.0,2065291500.0,664.0,69207.0,0.96,A010620
18,2012-01-30,60661,62165,60411,61413,60062,7349920500,0.41,7800000.0,-68564000.0,-1957943000.0,2018707000.0,596.0,60062.0,0.99,A010620
19,2012-01-31,61915,63419,60912,63168,70079,8767096000,2.86,-410934000.0,-1000500.0,-323434000.0,735368500.0,3974.0,70079.0,5.67,A010620
20,2012-02-01,63168,64421,62667,63419,117076,14888629500,0.4,4885906000.0,-274008000.0,-2562594000.0,-2049304000.0,2467.0,117076.0,2.11,A010620
21,2012-02-02,64171,67931,64171,65675,162887,21427158500,3.56,2297134500.0,49590000.0,-2766831500.0,420107000.0,3373.0,162887.0,2.07,A010620
22,2012-02-03,66427,66427,63419,65675,105345,13724824500,0.0,4347276500.0,347540500.0,-4705932000.0,11115000.0,3921.0,105345.0,3.72,A010620
23,2012-02-06,66427,67179,63419,64672,85459,11020549000,-1.53,-2809395000.0,-217262000.0,725469000.0,2301188000.0,2551.0,85459.0,2.99,A010620
24,2012-02-07,64171,64672,61664,62917,151615,18968808000,-2.71,1435464000.0,24840000.0,-889977500.0,-570326500.0,2231.0,151615.0,1.47,A010620
25,2012-02-08,62667,67179,62165,66176,207971,27312181500,5.18,13215905500.0,16503500.0,-5238831000.0,-7993578000.0,6130.0,207971.0,2.95,A010620
26,2012-02-09,65925,69685,65675,69435,235558,31757138500,4.92,13408574500.0,319634000.0,-3832560500.0,-9895648000.0,4136.0,235558.0,1.76,A010620
27,2012-02-10,70688,72693,68683,69936,251229,35409127500,0.72,3156006500.0,495818000.0,-3505402000.0,-146422500.0,22885.0,251229.0,9.11,A010620
28,2012-02-13,70187,71941,68432,68933,98841,13735125000,-1.43,2374557000.0,11751000.0,432300000.0,-2818608000.0,7949.0,98841.0,8.04,A010620
29,2012-02-14,68933,72693,68181,71440,144211,20510652000,3.64,6655668500.0,372039000.0,-4626326500.0,-2401381000.0,7379.0,144211.0,5.12,A010620
30,2012-02-15,72693,74197,71189,71691,146171,21187125500,0.35,10464830500.0,187855000.0,-1738921500.0,-8913764000.0,26272.0,146171.0,17.97,A010620
31,2012-02-16,69936,71440,68181,68432,151814,20903777500,-4.55,767557000.0,845873000.0,3147282000.0,-4760712000.0,16628.0,151814.0,10.95,A010620
32,2012-02-17,70187,72443,69685,71941,170346,24309908500,5.13,6096186500.0,248195000.0,-4192295000.0,-2152086500.0,19536.0,170346.0,11.47,A010620
33,2012-02-20,73445,74699,70688,71941,113086,16235736000,0.0,1150759000.0,22194500.0,1445297500.0,-2618251000.0,16527.0,113086.0,14.61,A010620
