,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-09-17,111000,135000,91000,111500,17373529,1955251230100,0.45,147512809100.0,-3325933600.0,42085056800.0,-186271932300.0,1000.0,17373529.0,0.01,A329180
1,2021-09-23,112000,113000,99000,99100,2914293,302195907900,-11.12,9212492700.0,-716742100.0,31856906000.0,-40352656600.0,275.0,2914293.0,0.01,A329180
2,2021-09-24,100000,102000,95500,99200,2262592,223663766100,0.1,18584328000.0,-55917300.0,-7937336300.0,-10591074400.0,867.0,2262592.0,0.04,A329180
3,2021-09-27,98300,99400,96500,97000,672212,65928592000,-2.22,9807235400.0,-19904700.0,-10730445400.0,943114700.0,898.0,672212.0,0.13,A329180
4,2021-09-28,98000,103000,97000,100000,1037427,104337688400,3.09,15687619100.0,391905700.0,-16054319500.0,-25205300.0,145.0,1037427.0,0.01,A329180
5,2021-09-29,98300,108000,98000,107500,1435139,149302669100,7.5,18303008500.0,1428195400.0,-22062289600.0,2331085700.0,0.0,1435139.0,0.0,A329180
6,2021-09-30,107500,117000,106000,115500,1704373,193271010000,7.44,18632737500.0,2536855500.0,-17666230000.0,-3503363000.0,0.0,1704373.0,0.0,A329180
7,2021-10-01,114500,119500,109000,113500,1203513,137512525500,-1.73,5009337000.0,806933500.0,-3277050000.0,-2539220500.0,0.0,1203513.0,0.0,A329180
8,2021-10-05,111500,112500,104500,104500,706523,76410592500,-7.93,-1446221000.0,-9439000.0,2859695500.0,-1404035500.0,153.0,706523.0,0.02,A329180
9,2021-10-06,107000,111500,105500,107000,797435,86110230500,2.39,8417637000.0,24773000.0,-9760052000.0,1317642000.0,0.0,797435.0,0.0,A329180
10,2021-10-07,109000,112000,107000,109500,474072,51819928500,2.34,3627578500.0,-25357500.0,-5693701500.0,2091480500.0,193.0,474072.0,0.04,A329180
11,2021-10-08,109500,110000,103000,104500,423907,44799860500,-4.57,699383000.0,-155530000.0,-141836000.0,-402017000.0,242.0,423907.0,0.06,A329180
12,2021-10-12,104000,106000,100500,101000,292797,29742028000,-3.35,-3104190000.0,66987500.0,2843596500.0,193606000.0,1.0,292797.0,0.0,A329180
13,2021-10-13,101500,103000,99800,102000,252749,25581570300,0.99,1963284900.0,142362500.0,-2455252800.0,349605400.0,0.0,252749.0,0.0,A329180
14,2021-10-14,103000,103000,100000,102000,248276,25213320500,0.0,1451904000.0,28598500.0,-2088311500.0,607809000.0,4.0,248276.0,0.0,A329180
15,2021-10-15,104500,107000,103500,105000,292470,30736243000,2.94,3612514000.0,-28535000.0,-6679797500.0,3095818500.0,1.0,292470.0,0.0,A329180
16,2021-10-18,103000,104000,100000,101500,659149,67144906000,-3.33,-22156097500.0,-757314000.0,24224610500.0,-1311199000.0,6.0,659149.0,0.0,A329180
17,2021-10-19,102500,103000,100000,101500,332255,33687704000,0.0,2074354000.0,4543000.0,-1386606000.0,-692291000.0,31.0,332255.0,0.01,A329180
18,2021-10-20,101500,102500,100000,100500,269309,27108340500,-0.99,-2190643500.0,-321214500.0,3100023500.0,-588165500.0,20.0,269309.0,0.01,A329180
19,2021-10-21,100500,102500,100000,100500,239165,24139860500,0.0,1772758000.0,-509852500.0,-1736413500.0,473508000.0,0.0,239165.0,0.0,A329180
20,2021-10-22,101000,101500,100000,101000,169264,17028864000,0.5,2945799500.0,-305482500.0,-1931803500.0,-708513500.0,13.0,169264.0,0.01,A329180
21,2021-10-25,100500,106500,100000,106000,516573,53578525500,4.95,6009352000.0,-359235000.0,-10931631000.0,5281514000.0,50.0,516573.0,0.01,A329180
22,2021-10-26,106500,109500,104000,108500,388727,41628985000,2.36,12183162500.0,-365717000.0,-10732179000.0,-1085266500.0,2.0,388727.0,0.0,A329180
23,2021-10-27,108500,116500,108000,113500,771405,87804792000,4.61,23790027000.0,-28007000.0,-26413750000.0,2651730000.0,220.0,771405.0,0.03,A329180
24,2021-10-28,114500,118000,111000,112000,569668,65449979500,-1.32,14254044500.0,-687873000.0,-10824631000.0,-2741540500.0,33.0,569668.0,0.01,A329180
25,2021-10-29,113500,119000,113000,117000,693739,81021275500,4.46,10917087000.0,-154440500.0,-16695929500.0,5933283000.0,9.0,693739.0,0.0,A329180
26,2021-11-01,116500,119000,113500,118500,385442,45179495000,1.28,8119602000.0,-157541500.0,-6354803500.0,-1607257000.0,2.0,385442.0,0.0,A329180
