,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,214000,215500,209500,212500,255312,54110620000,-0.23,-3780829500.0,-1421405000.0,10635701000.0,-5433466500.0,735.0,255312.0,0.29,A005380
1,2012-01-03,215000,222500,214500,221500,666913,146291865000,4.24,50581165000.0,-400086000.0,-66810333000.0,16629254000.0,26762.0,666913.0,4.01,A005380
2,2012-01-04,224000,228000,222500,223500,584416,131149785295,0.9,43344799500.0,567829000.0,-48330211500.0,4417583000.0,25154.0,584416.0,4.3,A005380
3,2012-01-05,224500,228000,223000,223500,527310,119273685500,0.0,33460095000.0,-79521000.0,-36442248000.0,3061674000.0,16731.0,527310.0,3.17,A005380
4,2012-01-06,224000,224500,215000,219500,542671,118663020500,-1.79,-15582615000.0,526169500.0,12217690500.0,2838755000.0,58860.0,542671.0,10.85,A005380
5,2012-01-09,220000,225000,215500,221500,468107,103256412000,0.91,-8841236500.0,-303182500.0,-3230715500.0,12375134500.0,20045.0,468107.0,4.28,A005380
6,2012-01-10,221000,228000,221000,226500,720406,163256301500,2.26,11080255500.0,-94930000.0,-52157328500.0,41172003000.0,23030.0,720406.0,3.2,A005380
7,2012-01-11,227000,229500,224500,227000,666787,152214914986,0.22,12615843500.0,-1882886000.0,-43600011500.0,32867054000.0,19513.0,666787.0,2.93,A005380
8,2012-01-12,228500,230000,226500,229500,363763,83261397000,1.1,18902941500.0,-178472000.0,-32684156500.0,13959687000.0,7564.0,363763.0,2.08,A005380
9,2012-01-13,229500,231000,227500,227500,359602,82309243000,-0.87,17812092500.0,-436729000.0,-12618669000.0,-4756694500.0,5850.0,359602.0,1.63,A005380
10,2012-01-16,229500,230000,224000,226000,295250,66829060500,-0.66,-11219073500.0,-101765000.0,-4378645000.0,15699483500.0,85.0,295250.0,0.03,A005380
11,2012-01-17,230000,231000,229000,231000,481727,110866591500,2.21,12292848500.0,96444500.0,-39723503000.0,27334210000.0,6407.0,481727.0,1.33,A005380
12,2012-01-18,231500,231500,223000,226000,627141,141901504500,-2.16,-13965853000.0,949066000.0,16253464500.0,-3236677500.0,16835.0,627141.0,2.68,A005380
13,2012-01-19,227500,229500,224000,227500,782018,177636464500,0.66,-12123942500.0,-699343000.0,-27277990500.0,40101276000.0,38708.0,782018.0,4.95,A005380
14,2012-01-20,227500,233000,227500,232000,726716,167715113000,1.98,-39925319000.0,-283656500.0,-55723461500.0,95932437000.0,12988.0,726716.0,1.79,A005380
15,2012-01-25,232500,239000,231500,234000,813721,191988593500,0.86,-14902477500.0,-41153500.0,-29157780000.0,44101411000.0,11442.0,813721.0,1.41,A005380
16,2012-01-26,235000,237000,228000,229000,849285,195469953500,-2.14,-32838430500.0,-630367500.0,37518960500.0,-4050162500.0,20484.0,849285.0,2.41,A005380
17,2012-01-27,228000,228000,220000,221000,1484483,329173901500,-3.49,-75894245000.0,292253500.0,123917092000.0,-48315100500.0,13891.0,1484483.0,0.94,A005380
18,2012-01-30,217500,219500,215000,216000,987671,214283719240,-2.26,-23520129000.0,835987000.0,50668771500.0,-27984629500.0,13602.0,987671.0,1.38,A005380
19,2012-01-31,218000,221000,217000,221000,1074236,235847357000,2.31,-24142051000.0,-764305000.0,-9113864000.0,34020220000.0,9466.0,1074236.0,0.88,A005380
20,2012-02-01,221000,223000,216000,218500,881099,193654498660,-1.13,-75128423500.0,-525418500.0,36481696500.0,39172145500.0,4983.0,881099.0,0.57,A005380
21,2012-02-02,222000,222500,216500,218000,809479,177492204000,-0.23,-48888386000.0,2234392000.0,9483020000.0,37170974000.0,9567.0,809479.0,1.18,A005380
22,2012-02-03,218000,221000,215500,216500,775388,168795595500,-0.69,-23842562000.0,75612500.0,20089258000.0,3677691500.0,12502.0,775388.0,1.61,A005380
23,2012-02-06,219000,219500,210500,212500,1002654,213948785500,-1.85,-30892897000.0,720446000.0,34799984500.0,-4627533500.0,2808.0,1002654.0,0.28,A005380
24,2012-02-07,212500,220000,212000,219000,846119,184167696000,3.06,5780614000.0,131040500.0,-19192399500.0,13280745000.0,21027.0,846119.0,2.49,A005380
25,2012-02-08,219000,221500,216500,221500,584379,128489406000,1.14,-9738481000.0,316766000.0,-20897151500.0,30318866500.0,20738.0,584379.0,3.55,A005380
26,2012-02-09,217000,221500,215500,220000,798376,173636031000,-0.68,-17880980000.0,-658858000.0,21017283000.0,-2477445000.0,9209.0,798376.0,1.15,A005380
27,2012-02-10,218500,219000,215000,217500,713038,154326084000,-1.14,-26035488500.0,1394089500.0,24623496500.0,17902500.0,2349.0,713038.0,0.33,A005380
28,2012-02-13,217000,223000,217000,221500,873412,193313350000,1.84,4859606500.0,310204000.0,-45182389000.0,40012578500.0,48302.0,873412.0,5.53,A005380
29,2012-02-14,223000,225000,217500,219000,830169,183440800500,-1.13,-24640905000.0,1573103500.0,7807900500.0,15259901000.0,12365.0,830169.0,1.49,A005380
30,2012-02-15,220000,221000,216500,218500,734083,159934423000,-0.23,-47129025000.0,-915312500.0,15986162500.0,32058175000.0,8433.0,734083.0,1.15,A005380
31,2012-02-16,218000,221500,216500,219000,717061,156817521500,0.23,5006268500.0,790034500.0,-16150360000.0,10354057000.0,11688.0,717061.0,1.63,A005380
32,2012-02-17,221500,226500,220500,223000,1121772,251936772500,1.83,31608068000.0,677028000.0,-55583521000.0,23298425000.0,9442.0,1121772.0,0.84,A005380
