,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,38700,40150,38700,40150,346334,13760476600,4.29,430828650.0,408081000.0,-2031296650.0,1192387000.0,1400.0,346334.0,0.4,A008770
1,2012-01-03,40250,41600,40250,41100,512316,21057294400,2.37,3304195100.0,-378760500.0,-5097756100.0,2172321500.0,12664.0,512316.0,2.47,A008770
2,2012-01-04,40850,41500,40500,40650,223220,9121837350,-1.09,-224639050.0,-94637000.0,1221090550.0,-901814500.0,10840.0,223220.0,4.86,A008770
3,2012-01-05,40950,41450,40400,41100,147803,6066643900,1.11,1352217900.0,-107108000.0,-1794471400.0,549361500.0,11030.0,147803.0,7.46,A008770
4,2012-01-06,41300,41650,40550,41350,249759,10278474650,0.61,5026009250.0,-458164000.0,-4054255750.0,-513589500.0,15260.0,249759.0,6.11,A008770
5,2012-01-09,41350,42750,40300,42100,374503,15702776550,1.81,2293968100.0,374357000.0,-2262067900.0,-406257200.0,38712.0,374503.0,10.34,A008770
6,2012-01-10,42100,42400,41600,41700,155578,6530320200,-0.95,-51685600.0,-98660500.0,837655700.0,-687309600.0,20480.0,155578.0,13.16,A008770
7,2012-01-11,41700,42900,41150,42300,304176,12826303000,1.44,-1214702500.0,-360227000.0,387188000.0,1187741500.0,10840.0,304176.0,3.56,A008770
8,2012-01-12,42300,42450,41250,42000,302150,12634034200,-0.71,-4203640000.0,-310827000.0,1322712500.0,3191754500.0,33300.0,302150.0,11.02,A008770
9,2012-01-13,41900,42400,40550,40900,378603,15599735850,-2.62,-5551926700.0,57819000.0,5759313400.0,-265205700.0,31750.0,378603.0,8.39,A008770
10,2012-01-16,40350,41350,40350,41350,165898,6785380200,1.1,-1098791950.0,26269000.0,195575450.0,876947500.0,671.0,165898.0,0.4,A008770
11,2012-01-17,41550,41600,40750,40850,230820,9475751850,-1.21,-3330668100.0,20956500.0,3303393100.0,6318500.0,1640.0,230820.0,0.71,A008770
12,2012-01-18,41500,43000,40950,42800,625791,26594285800,4.77,4453499900.0,-77405000.0,-6577311400.0,2201216500.0,6800.0,625791.0,1.09,A008770
13,2012-01-19,43350,43350,42250,42600,343494,14691432950,-0.47,420879200.0,256194000.0,310743600.0,-987816800.0,16340.0,343494.0,4.76,A008770
14,2012-01-20,42600,43300,41800,42250,280339,11890399000,-0.82,-3565344750.0,76112500.0,3172867500.0,316364750.0,14150.0,280339.0,5.05,A008770
15,2012-01-25,42600,43500,42300,43050,348008,14979626400,1.89,-4123617600.0,54068000.0,-2358618900.0,6428168500.0,8950.0,348008.0,2.57,A008770
16,2012-01-26,43200,44200,42800,43900,325711,14193499100,1.97,-2147890500.0,206677300.0,-3911670200.0,5852883400.0,1710.0,325711.0,0.53,A008770
17,2012-01-27,43850,43900,42400,43800,467661,20140060650,-0.23,-7084872200.0,-87682500.0,4222943200.0,2949611500.0,19570.0,467661.0,4.18,A008770
18,2012-01-30,43800,44100,43300,43450,269496,11723458700,-0.8,-3759743350.0,137372500.0,-108161650.0,3730532500.0,55850.0,269496.0,20.72,A008770
19,2012-01-31,43850,45000,43550,44200,471937,20950045550,1.73,-3294309400.0,-234234500.0,-1933975100.0,5462519000.0,14970.0,471937.0,3.17,A008770
20,2012-02-01,44200,45500,43700,43900,364303,16292700600,-0.68,-3871811400.0,237679000.0,1383454900.0,2250677500.0,3770.0,364303.0,1.03,A008770
21,2012-02-02,44500,44650,43200,44500,425066,18654999000,1.37,-8159243000.0,105419500.0,1505914500.0,6547909000.0,1640.0,425066.0,0.39,A008770
22,2012-02-03,44300,45100,43900,44800,222686,9935253400,0.67,-497628100.0,136710500.0,-2174245400.0,2535163000.0,5600.0,222686.0,2.51,A008770
